pair,source,h_N,h_E,h_visits,h_dedup_ratio,h_depth,h_mean_indeg,h_max_outdeg,h_out_gini,h_n_constants,h_n_distinct_constants,h_constant_share,h_alpha_x2,h_alpha_x5,h_alpha_x10,h_has_sorry,h_truncated,a_N,a_E,a_visits,a_dedup_ratio,a_depth,a_mean_indeg,a_max_outdeg,a_out_gini,a_n_constants,a_n_distinct_constants,a_constant_share,a_alpha_x2,a_alpha_x5,a_alpha_x10,a_has_sorry,a_truncated
pair_00b23e63,cn_contest,4992,9523,9523,1.9076522435897436,65,1.9076522435897436,178,0.4435143483590336,180,180,0.036057692307692304,2.0141876900874904,2.3030457680950693,2.7843698895673086,False,True,3836,7253,7253,1.890771637122002,57,1.890771637122002,175,0.43828166030179594,166,166,0.043274244004171014,2.082632351806698,2.2949079055670474,2.8195689488665625,False,True
pair_01eb3f84,olympiads,4642,8628,8628,1.8586816027574322,65,1.8586816027574322,204,0.4275567339146296,267,267,0.057518311072813445,2.131960823341755,2.370042375705616,2.47555532139744,False,True,5292,9959,9959,1.8818972033257748,67,1.8818972033257748,171,0.4319838890471341,235,235,0.044406651549508694,2.1947599931088835,2.307575933644682,2.525844041120623,False,True
pair_064daf4b,olympiads,96,126,126,1.3125,22,1.3125,6,0.21626984126984128,23,23,0.23958333333333334,3.089268933575872,,,False,True,123,169,169,1.3739837398373984,23,1.3739837398373984,6,0.24573050464232454,28,28,0.22764227642276422,2.734625331909954,,,False,True
pair_06e244fd,olympiads,11185,21550,21550,1.9266875279392044,71,1.9266875279392044,468,0.4537136432514959,300,300,0.02682163611980331,2.033062413091403,2.1858571208953492,2.416894895749681,False,True,11192,21568,21568,1.9270907791279486,71,1.9270907791279486,461,0.4536398534985778,304,304,0.027162258756254467,2.035846533934855,2.194063152648548,2.3966104218853586,False,True
pair_0a7bd2c7,secondary_math,5365,10372,10372,1.9332712022367196,102,1.9332712022367196,189,0.45275828643250215,130,130,0.024231127679403542,2.0808340508729124,2.2276642065322227,2.506148750403861,False,True,5456,10551,10551,1.9338343108504399,101,1.9338343108504399,186,0.45215525220191494,130,130,0.023826979472140762,2.0926797593490924,2.23245047357328,2.4576053156782294,False,True
pair_0a891d0e,cn_contest,2202,4026,4026,1.8283378746594006,54,1.8283378746594006,134,0.4203039011186597,163,163,0.0740236148955495,2.1055075430257473,2.3593860588070923,2.7068227614823206,False,True,2294,4207,4207,1.8339145597210114,55,1.8339145597210114,134,0.4215389968435967,163,163,0.07105492589363557,2.12121658440146,2.3126335920282743,2.7754556571078774,False,True
pair_0a983018,olympiads_ref,10271,19785,19785,1.926297342030961,97,1.926297342030961,355,0.45213954794490585,252,252,0.02453509882192581,2.050222837715621,2.1828724816068816,2.3413332927988915,False,True,8628,16519,16519,1.9145804357904497,85,1.9145804357904497,317,0.4490543026233289,253,253,0.02932313398238294,2.045821333318419,2.132250658911519,2.404692787060241,False,True
pair_0b123512,math_train,5188,9617,9617,1.8537008481110255,75,1.8537008481110255,189,0.4281796787669355,244,244,0.047031611410948346,2.24763151738091,2.282150938699081,2.346645250387116,False,True,203,312,312,1.5369458128078817,31,1.5369458128078817,27,0.32007073386383733,31,31,0.15270935960591134,2.442213074819302,,,False,True
pair_0bc9ff8b,math_test,6133,11728,11728,1.912277841187021,74,1.912277841187021,201,0.4443360611048097,216,216,0.03521930539703245,1.9917012703033377,2.389057049211397,2.6689773951242257,False,True,9794,18982,18982,1.938125382887482,76,1.938125382887482,363,0.45493060534525714,242,242,0.024709005513579744,1.9708148138944266,2.289801535200575,2.478430627609458,False,True
pair_0c9ecd6b,math_train,6804,12997,12997,1.9101998824221047,74,1.9101998824221047,248,0.44596947642735985,269,269,0.039535567313345094,2.0321023136761625,2.268151199218554,2.509293461264697,False,True,7707,14781,14781,1.9178668742701441,74,1.9178668742701441,271,0.44863942236203963,270,270,0.03503308680420397,2.0270925504878794,2.1806988213531353,2.6461712274873124,False,True
