pair,source,h_N,h_E,h_visits,h_dedup_ratio,h_depth,h_mean_indeg,h_max_outdeg,h_out_gini,h_n_constants,h_n_distinct_constants,h_constant_share,h_alpha_x2,h_alpha_x5,h_alpha_x10,h_has_sorry,h_truncated,a_N,a_E,a_visits,a_dedup_ratio,a_depth,a_mean_indeg,a_max_outdeg,a_out_gini,a_n_constants,a_n_distinct_constants,a_constant_share,a_alpha_x2,a_alpha_x5,a_alpha_x10,a_has_sorry,a_truncated
pair_0f3deadd,math_train,370,611,611,1.6513513513513514,29,1.6513513513513514,40,0.3521254478701287,49,49,0.13243243243243244,2.3389326170464644,3.4444955660148446,,False,True,370,611,611,1.6513513513513514,29,1.6513513513513514,40,0.3521254478701287,49,49,0.13243243243243244,2.3389326170464644,3.4444955660148446,,False,True
pair_0f421760,amc_aime,6407,12177,12177,1.9005774933666302,76,1.9005774933666302,221,0.4405154812978573,225,225,0.03511783986265023,2.074502784221976,2.204582771889717,2.6422578842569697,False,True,490,800,800,1.6326530612244898,43,1.6326530612244898,64,0.3550357142857143,58,58,0.11836734693877551,2.452598346016905,,,False,True
pair_0f905113,math_test,7728,14676,14676,1.8990683229813665,76,1.8990683229813665,296,0.44045682815057835,312,312,0.040372670807453416,2.0816145571218345,2.2918408730655284,2.6569410395956536,False,True,7587,14431,14431,1.9020693291155926,86,1.9020693291155926,260,0.44368158456675394,285,285,0.03756425464610518,2.010515891395493,2.2624981491847436,2.5979498905569054,False,True
pair_11362c17,secondary_math,14452,28450,28450,1.96858566288403,106,1.96858566288403,511,0.4596718401670982,191,191,0.013216163852753943,1.9987809763864095,2.3124707536341362,2.5591170500492706,False,True,14407,28364,28364,1.9687651835913098,106,1.9687651835913098,504,0.4599705019683969,191,191,0.013257444297910738,1.995492914759824,2.297873133163738,2.617738049674271,False,True
pair_121126b4,math_train,4622,8621,8621,1.8652098658589356,68,1.8652098658589356,261,0.431785069324696,265,265,0.05733448723496322,2.125326180009188,2.371504758802077,2.638073287557579,False,True,4336,8056,8056,1.8579335793357934,72,1.8579335793357934,251,0.43027148292212813,265,265,0.06111623616236162,2.0951397861285184,2.316116141267198,2.6358252460093174,False,True
pair_136afae1,olympiads,3740,6995,6995,1.8703208556149733,70,1.8703208556149733,165,0.43178706715644866,191,191,0.05106951871657754,2.0133510775124153,2.252405799141478,2.890321866836977,False,True,5943,11327,11327,1.9059397610634359,68,1.9059397610634359,165,0.43747248904319114,227,227,0.03819619720679791,2.0732727165296234,2.334276451662117,2.9668073012975373,False,True
pair_13d805d4,amc_aime,915,1569,1569,1.7147540983606557,51,1.7147540983606557,108,0.3827783524363783,98,98,0.10710382513661203,2.239979986061516,2.593138484815004,,False,True,1862,3351,3351,1.7996777658431793,55,1.7996777658431793,134,0.4090221396950619,145,145,0.07787325456498388,2.0957359548706656,2.5174773114972773,2.8457375013849724,False,True
pair_13dbafa5,math_train,1102,1862,1862,1.6896551724137931,49,1.6896551724137931,129,0.3762117895204696,147,147,0.13339382940108893,2.2094289968909298,2.8221862203627506,,False,True,413,662,662,1.602905569007264,29,1.602905569007264,50,0.3424650519739874,58,58,0.14043583535108958,2.2851607904227254,3.3060436482519213,,False,True
pair_1435e660,olympiads,3176,5887,5887,1.853589420654912,79,1.853589420654912,197,0.4303685510361172,199,199,0.0626574307304786,2.1463524184598004,2.4193834723287972,2.3620449454744104,False,True,3913,7284,7284,1.8614873498594429,66,1.8614873498594429,216,0.4317070360516972,198,198,0.050600562228469204,2.0821926899904026,2.3645890424870237,2.5459268011715626,False,True
pair_149000e5,aops_forum,9727,18972,18972,1.9504472088002467,103,1.9504472088002467,389,0.45763448186514405,190,190,0.019533257941811454,1.9826604160379866,2.203971572854708,2.5107701174899457,False,True,11737,23000,23000,1.9596148930731874,120,1.9596148930731874,477,0.45921437594230063,194,194,0.01652892561983471,1.9896008168125014,2.2738574070462487,2.475962538835695,False,True
pair_149fe16f,olympiads_ref,24474,48089,48089,1.964901528152325,88,1.964901528152325,1017,0.4683122342823485,232,232,0.009479447577020511,1.9369677303234467,2.3633533104144315,2.2864163188418543,False,True,16539,32261,32261,1.950601608319729,77,1.950601608319729,546,0.4615965518212273,211,211,0.01275772416712014,1.9585609150350702,2.3468310497939924,2.3792733968547424,False,True
pair_152731e7,olympiads,3505,6496,6496,1.8533523537803138,61,1.8533523537803138,165,0.4259530719661567,189,189,0.05392296718972896,2.034936218286798,2.2976717276283756,2.9982800954190747,False,True,3930,7409,7409,1.8852417302798983,64,1.8852417302798983,157,0.4352536303931296,180,180,0.04580152671755725,2.0197001493565363,2.3609691359425784,2.889493634646673,False,True
pair_1565703f,cn_k12,2895,5358,5358,1.8507772020725388,61,1.8507772020725388,156,0.41502829207660685,189,189,0.06528497409326425,2.29523621237138,2.543301458312203,2.5777918756943947,False,True,2675,4862,4862,1.817570093457944,80,1.817570093457944,167,0.4093734742442824,221,221,0.08261682242990655,2.294821273740274,2.508445909005113,2.6863735348103503,False,True
pair_171e8749,amc_aime,302,507,507,1.6788079470198676,31,1.6788079470198676,25,0.3704886555115796,23,23,0.076158940397351,2.2516223007674023,,,False,True,6119,11786,11786,1.926131720869423,74,1.926131720869423,265,0.4471620291116844,162,162,0.02647491420166694,1.9792823467659306,2.399972738881605,2.699096665440227,False,True
pair_17275427,amc_aime,270,455,455,1.6851851851851851,26,1.6851851851851851,25,0.35352869352869354,28,28,0.1037037037037037,2.3620711395741454,,,False,True,391,666,666,1.7033248081841432,29,1.7033248081841432,43,0.36900839458384216,44,44,0.11253196930946291,2.268962238447631,2.891462714143204,,False,True
pair_17a4d7d8,olympiads,3123,5713,5713,1.829330771693884,64,1.829330771693884,223,0.42345294582091086,238,238,0.07620877361511368,2.1131450987468012,2.4454118017266477,2.4591754694452312,False,True,4778,8964,8964,1.8760987861029719,71,1.8760987861029719,242,0.43676926206290206,253,253,0.05295102553369611,2.0611571190802156,2.3324441235713778,2.4981314324511894,False,True
pair_19517b6c,olympiads,5981,11182,11182,1.8695870255810065,71,1.8695870255810065,164,0.426559350541007,257,257,0.04296940310984785,2.2961046899218895,2.2788111359141183,2.308375215912463,False,True,2064,3606,3606,1.747093023255814,70,1.747093023255814,139,0.3921527213472808,186,186,0.09011627906976744,2.3179512430335985,2.3713959667296205,2.4220252556076014,False,True
pair_19f291ba,math_test,5702,10718,10718,1.8796913363732024,64,1.8796913363732024,224,0.4351454386026804,254,254,0.0445457734128376,2.0027651906179313,2.3523988152169317,2.714018104587176,False,True,6487,12249,12249,1.8882380144905195,64,1.8882380144905195,239,0.4377242965367046,268,268,0.04131339602281486,2.026970287797031,2.299356521260931,2.7757421752868274,False,True
pair_1d99af92,cn_k12,4068,7530,7530,1.851032448377581,75,1.851032448377581,213,0.42923396548189413,252,252,0.061946902654867256,2.1602258402429535,2.2394231107810736,2.3955642908351207,False,True,10917,21267,21267,1.9480626545754327,95,1.9480626545754327,449,0.4588952323369416,230,230,0.021068058990565172,2.022862735708596,2.166572693315412,2.430550677994061,False,True
pair_1e273c45,math_test,11534,22420,22420,1.943818276400208,90,1.943818276400208,426,0.4552335591766313,244,244,0.021154846540662388,2.0631727810752674,2.203442663293303,2.47285948353138,False,True,23768,46809,46809,1.969412655671491,99,1.969412655671491,934,0.4676273276134179,247,247,0.01039212386401885,2.0251640216616824,2.12610939342868,2.350730445194848,False,True
pair_1e4638c2,olympiads,1702,3114,3114,1.8296122209165688,55,1.8296122209165688,110,0.4191260876357634,112,112,0.06580493537015276,2.155129051083983,2.2572033316542,2.6866188322798816,False,True,3789,7103,7103,1.8746371074162047,70,1.8746371074162047,147,0.42519475617731584,193,193,0.050936922670889416,2.1668019610048397,2.337035809064346,3.0686278241445573,False,True
pair_1e6ca847,olympiads,3087,5704,5704,1.8477486232588274,79,1.8477486232588274,145,0.42097362554184836,168,168,0.05442176870748299,2.0852797765221096,2.461912138020569,2.8396769707757095,False,True,461,775,775,1.6811279826464207,40,1.6811279826464207,27,0.36471065705688893,33,33,0.07158351409978309,2.3699284832084793,2.5208416922212358,,False,True
pair_1eac5349,olympiads_ref,4486,8333,8333,1.857556843513152,69,1.857556843513152,218,0.4284670807251372,261,261,0.05818100757913509,2.0996124172650994,2.33007603968406,2.626216636871902,False,True,6147,11654,11654,1.8958841711403938,74,1.8958841711403938,250,0.4428938520687412,248,248,0.040344883683097445,2.040161257627166,2.192537218816025,2.546451186220371,False,True
pair_2000cc20,cn_k12,4024,7564,7564,1.8797216699801194,59,1.8797216699801194,166,0.43554130005792846,202,202,0.05019880715705766,2.049433883363209,2.30658892444822,2.7132281827747997,False,True,4353,8274,8274,1.9007580978635423,66,1.9007580978635423,197,0.4443036764978223,180,180,0.04135079255685734,2.00631715100565,2.2165394735530843,2.60884846726987,False,True
pair_204207d6,olympiads_ref,3443,6513,6513,1.891664246296834,65,1.891664246296834,177,0.43939012655891996,159,159,0.046180656404298574,1.986332138709127,2.3161755223714815,2.5054306026418836,False,True,3326,6244,6244,1.8773301262778113,62,1.8773301262778113,164,0.43634230412609215,176,176,0.052916416115454,2.0158804606064935,2.3998264410316144,2.4339499463431418,False,True
pair_22599b6f,olympiads_ref,8342,15818,15818,1.8961879645169024,82,1.8961879645169024,293,0.44572550098536035,252,252,0.030208583073603454,2.078055469569712,2.1956380514458367,2.3569699570596683,False,True,11918,22956,22956,1.9261621077361974,108,1.9261621077361974,269,0.4513718956752188,255,255,0.021396207417351903,1.9656296839540608,2.3972984070797896,2.3480032683144394,False,True
pair_2347fae1,olympiads,8234,15893,15893,1.9301675977653632,101,1.9301675977653632,233,0.46084465824638754,178,178,0.02161768277872237,2.047136501153459,2.094015269200317,2.1502019297900086,False,True,2940,5499,5499,1.870408163265306,88,1.870408163265306,149,0.4298002852714099,81,81,0.027551020408163266,2.346463700504718,2.1654077568505317,2.1303876730825553,False,True
pair_2590c3a7,olympiads,1732,3094,3094,1.7863741339491916,67,1.7863741339491916,69,0.4050684405935051,104,104,0.06004618937644342,2.2096243150667934,2.387485684516862,2.3985073624158058,False,True,1585,2803,2803,1.7684542586750789,63,1.7684542586750789,69,0.4005573118481663,103,103,0.06498422712933755,2.2063502202039125,2.342293747573094,2.486585660405652,False,True
pair_26771bf6,olympiads_ref,2909,5386,5386,1.8514953592299759,61,1.8514953592299759,177,0.42634412301247765,188,188,0.06462701959436232,2.060529976301029,2.4063946953316147,2.82105856033629,False,True,2460,4461,4461,1.8134146341463415,62,1.8134146341463415,181,0.41479716713777764,193,193,0.07845528455284553,2.1482403634838914,2.4409565989939876,2.7270009117171248,False,True
pair_271fa579,olympiads,25399,50212,50212,1.9769282255206897,114,1.9769282255206897,980,0.4666322419226977,206,206,0.008110555533682428,2.023044587047271,2.2437738652372694,2.416650465466968,False,True,35696,70585,70585,1.9773924249215598,118,1.9773924249215598,1199,0.4672209405472172,204,204,0.005714926042133572,2.028607103958362,2.339876726872126,2.417484077426802,False,True
pair_2748f3f1,olympiads,4836,9243,9243,1.9112903225806452,76,1.9112903225806452,245,0.44605143256869234,174,174,0.03598014888337469,2.0509487646150046,2.179767421877422,2.459495688800623,False,True,8327,16149,16149,1.9393539089708178,80,1.9393539089708178,429,0.45404131512976054,202,202,0.02425843641167287,2.0569409505089964,2.1934927947305107,2.43929074653815,False,True
pair_29059eae,math_train,2825,5113,5113,1.8099115044247787,49,1.8099115044247787,203,0.41326163224402834,221,221,0.07823008849557522,2.159104241536535,2.473490486962022,2.4505361500898366,False,True,5249,9876,9876,1.8815012383311107,68,1.8815012383311107,245,0.4383289733059532,264,264,0.05029529434177939,2.035628013774639,2.292682644870741,2.6186759336366423,False,True
pair_2a4dc8cc,math_test,4435,8454,8454,1.9062006764374295,72,1.9062006764374295,190,0.4423916791955083,155,155,0.03494926719278467,1.962054421232791,2.3226520904647776,2.837193427362237,False,True,3925,7423,7423,1.8912101910828025,70,1.8912101910828025,162,0.4375682741968284,162,162,0.04127388535031847,1.9921362774880835,2.309280502181789,2.8953980823895007,False,True
pair_2a66f969,olympiads,16852,32877,32877,1.9509257061476382,115,1.9509257061476382,555,0.457110942200096,325,325,0.019285544742463804,2.0171193949646984,2.2909315411214908,2.467218983615484,False,True,11426,22171,22171,1.940399089795204,91,1.940399089795204,467,0.45543484339138457,281,281,0.024593033432522317,2.0057786167459666,2.2522971201040694,2.493788742541917,False,True
pair_2b09aabd,olympiads,999,1753,1753,1.7547547547547548,60,1.7547547547547548,84,0.39950389636641775,86,86,0.08608608608608609,2.1319185346652425,2.3193713511190532,2.5714569295422782,False,True,2257,4012,4012,1.7775808595480727,79,1.7775808595480727,131,0.4036285030597176,209,209,0.09260079751883031,2.2639954147760877,2.3813338728913958,2.4920348356660655,False,True
pair_2d283418,olympiads,2572,4693,4693,1.8246500777604977,62,1.8246500777604977,199,0.4149148876308615,197,197,0.07659409020217729,2.3020101013488756,2.3300480505031276,2.480608681114205,False,True,2463,4523,4523,1.8363784003248071,59,1.8363784003248071,179,0.4187884740141267,174,174,0.07064555420219244,2.2901776057512055,2.297957134407469,2.3950923425037685,False,True
pair_2fba10ea,olympiads_ref,12447,24007,24007,1.9287378484775448,119,1.9287378484775448,582,0.45516673956625536,297,297,0.02386117136659436,2.0567465360026245,2.1547085731382056,2.4067628371970766,False,True,10168,19656,19656,1.933123524783635,112,1.933123524783635,418,0.4542282651055271,238,238,0.023406766325727774,1.97988805145796,2.171517183665667,2.555548155522559,False,True
pair_2fde2018,math_test,9023,16920,16920,1.8752078022830545,82,1.8752078022830545,409,0.4395247081990888,368,368,0.040784661420813474,2.0610729988085135,2.2684284830819967,2.515487612376729,False,True,6242,11796,11796,1.8897789170137775,99,1.8897789170137775,282,0.4417333264231658,251,251,0.04021147068247356,2.0520370408329507,2.155566604130674,2.537737367438181,False,True
pair_301c1ff9,aops_forum,10857,21162,21162,1.9491572257529703,102,1.9491572257529703,435,0.455420487820997,198,198,0.0182370820668693,2.0072185842736623,2.2821765426162557,2.4698302385166313,False,True,12891,25204,25204,1.955162516484369,105,1.955162516484369,513,0.457297609831292,208,208,0.016135288185555815,2.0229286770590864,2.2708730084465207,2.4975175123834017,False,True
pair_326a8dc3,cn_contest,23454,46020,46020,1.9621386543873114,131,1.9621386543873114,996,0.4648782435493676,316,316,0.01347318154685768,2.0170123974955274,2.1342158530995787,2.3936071065822087,False,True,50205,99347,99347,1.9788268100786774,200,1.9788268100786774,1244,0.46944609168300233,250,250,0.004979583706802112,2.005304062937558,2.2946745677560747,2.369334988221121,False,True
pair_32d5762e,aops_forum,3457,6455,6455,1.8672259184263813,79,1.8672259184263813,182,0.4324202602427477,200,200,0.05785363031530229,2.0369320891289338,2.424687376695685,2.6218813983024907,False,True,3066,5677,5677,1.8515981735159817,68,1.8515981735159817,176,0.4285737841240579,197,197,0.06425309849967384,2.039474895434804,2.4910129580548745,2.367811250281998,False,True
pair_32e87abf,cn_k12,4194,7843,7843,1.8700524558893659,68,1.8700524558893659,206,0.43436663038598883,220,220,0.05245588936576061,2.069865354610376,2.2440418055652867,2.5127933104761633,False,True,4945,9200,9200,1.8604651162790697,70,1.8604651162790697,243,0.4321320613707302,271,271,0.05480283114256825,2.097075309676982,2.236504456313723,2.5928618315416387,False,True
pair_33135e91,olympiads,3614,6750,6750,1.8677365799667958,73,1.8677365799667958,166,0.43477644551025846,205,205,0.05672385168788047,2.071099502445441,2.2042813130835315,2.7397102479529365,False,True,3495,6516,6516,1.8643776824034335,72,1.8643776824034335,171,0.43475595672498907,198,198,0.05665236051502146,2.0695061999307436,2.2086163333952396,2.705342259744694,False,True
pair_33b83cd5,cn_k12,7525,14258,14258,1.894750830564784,73,1.894750830564784,306,0.44257563859934784,325,325,0.04318936877076412,2.047409285243359,2.3111053204579273,2.5893251849332017,False,True,7225,13673,13673,1.8924567474048444,80,1.8924567474048444,306,0.4410211927277181,310,310,0.042906574394463666,2.0686001542301566,2.345321023571042,2.478273125974376,False,True
pair_34b2dbc3,math_train,4943,9446,9446,1.910985231640704,64,1.910985231640704,187,0.4417749599296044,170,170,0.034392069593364355,1.9870727375592052,2.4327190318839182,2.7358835499490763,False,True,278,459,459,1.6510791366906474,26,1.6510791366906474,32,0.3596887196125453,29,29,0.10431654676258993,2.306976748033958,,,False,True
pair_34e33ffa,secondary_math,7127,13549,13549,1.9010803984846358,73,1.9010803984846358,276,0.44101878714846154,264,264,0.03704223375894486,2.054533574663947,2.3405956017032845,2.8359399444108067,False,True,13332,25833,25833,1.9376687668766877,78,1.9376687668766877,483,0.4571920175410875,266,266,0.019951995199519953,2.030443825189553,2.1308172293096312,2.3624275103676142,False,True
pair_358e95d5,number_theory,1218,2072,2072,1.7011494252873562,41,1.7011494252873562,72,0.38083826261166165,108,108,0.08866995073891626,2.1927013410197294,2.604793599131484,,False,True,518,846,846,1.6332046332046333,32,1.6332046332046333,31,0.35747601705048515,56,56,0.10810810810810811,2.2589585239945302,2.357392925701214,,False,True
pair_3757881d,olympiads,7868,15060,15060,1.9140823589222167,83,1.9140823589222167,405,0.44966404505685104,255,255,0.03240976105744789,1.9924381555968382,2.2315542434124804,2.5412222746122453,False,True,7792,14919,14919,1.9146560574948666,81,1.9146560574948666,403,0.450222620700723,256,256,0.03285420944558522,1.9720460816569712,2.207513314260635,2.5964794165605216,False,True
pair_37c40664,math_train,1670,2891,2891,1.731137724550898,52,1.731137724550898,163,0.3936526117602222,174,174,0.10419161676646707,2.2388793826436393,2.27206666871017,2.5529315756573663,False,True,1905,3343,3343,1.7548556430446194,54,1.7548556430446194,180,0.39640130236487414,196,196,0.10288713910761155,2.274516630288347,2.3887234552954695,2.7064858087289565,False,True
pair_37d880cd,number_theory,1849,3292,3292,1.7804218496484587,53,1.7804218496484587,131,0.41001539697987877,153,153,0.08274743104380747,2.1194829438407945,2.2506556455926874,2.5337803293078442,False,True,697,1182,1182,1.6958393113342898,42,1.6958393113342898,53,0.3768847392863299,60,60,0.08608321377331421,2.251460977792117,2.416359896995958,,False,True
pair_3b1172ec,cn_k12,2999,5652,5652,1.8846282094031344,60,1.8846282094031344,124,0.43108861245798613,145,145,0.048349449816605536,2.1041340464551306,2.4607220504869205,2.7920200624045437,False,True,1244,2259,2259,1.8159163987138263,65,1.8159163987138263,82,0.4057015951912251,91,91,0.07315112540192927,2.1974122744189426,2.3938365708210583,3.0573787052889094,False,True
pair_3b470502,math_train,3062,5519,5519,1.802416721097322,70,1.802416721097322,195,0.4092657642874701,249,249,0.08131939908556499,2.1834047188973003,2.513798074688907,2.782691744757796,False,True,3049,5505,5505,1.805510003279764,70,1.805510003279764,188,0.4105625673788908,248,248,0.08133814365365694,2.1777049134125575,2.4711169895959264,2.7894039237268733,False,True
pair_3cca9874,math_train,1537,2660,2660,1.730644111906311,50,1.730644111906311,104,0.38443114944159357,174,174,0.11320754716981132,2.292467721233013,2.6175255561093618,2.6077136608647757,False,True,5728,10993,10993,1.9191689944134078,88,1.9191689944134078,240,0.45955131363432394,113,113,0.019727653631284914,2.0380001605178863,1.9578699561546966,1.9241688336626996,False,True
pair_3da844f5,inequalities,8106,15768,15768,1.9452257586972612,79,1.9452257586972612,283,0.4527759595306381,186,186,0.0229459659511473,2.036897494941295,2.311269203026037,2.4338572730342385,False,True,11787,23082,23082,1.958259099007381,83,1.958259099007381,362,0.46009437495030187,192,192,0.01628913209468058,2.0043283443953053,2.2525339139748817,2.316178346183607,False,True
pair_3db79af4,cn_contest,51830,88689,88689,1.7111518425622227,86,1.7111518425622227,1903,0.41159307748170393,1994,1994,0.03847192745514181,1.569237477371636,1.5423388775976572,1.7126482403834986,False,True,51933,88889,88889,1.7116091887624438,86,1.7116091887624438,1903,0.4117246405923074,2000,2000,0.038511158608206725,1.5743373689373845,1.5453079715683358,1.7150414345643472,False,True
pair_3e5837da,amc_aime,2068,3734,3734,1.8056092843326885,60,1.8056092843326885,168,0.4125688042028969,171,171,0.08268858800773694,2.1124691162695006,2.5198270381386267,2.7935842446332693,False,True,3807,7153,7153,1.8789072760703966,66,1.8789072760703966,194,0.4332526142271198,188,188,0.04938271604938271,2.079115791230044,2.3410254573125115,2.847781870610062,False,True
pair_3e7604ad,aops_forum,4830,9070,9070,1.8778467908902692,80,1.8778467908902692,217,0.4315151764171466,248,248,0.05134575569358178,2.046937896119101,2.4582277532973418,2.9601432370846674,False,True,4759,8968,8968,1.8844295019962176,73,1.8844295019962176,210,0.43474915550403676,235,235,0.04938012187434335,2.0137027243307823,2.459107731386442,2.9203693065347274,False,True
pair_40400f26,math_test,5208,9695,9695,1.8615591397849462,106,1.8615591397849462,142,0.4358622906481796,257,257,0.04934715821812596,2.1796572025901906,2.269931451717744,2.0821681762649584,False,True,362,576,576,1.591160220994475,27,1.591160220994475,38,0.3396255371393493,59,59,0.16298342541436464,2.282541394052981,,,False,True
pair_412ad836,number_theory,227,374,374,1.6475770925110131,33,1.6475770925110131,32,0.35124502343989256,30,30,0.13215859030837004,2.5858211829992017,,,False,True,227,374,374,1.6475770925110131,33,1.6475770925110131,32,0.35124502343989256,30,30,0.13215859030837004,2.5858211829992017,,,False,True
pair_43cbe160,math_test,10338,19930,19930,1.9278390404333527,83,1.9278390404333527,386,0.4538347167300681,247,247,0.023892435674211645,2.0139317744048877,2.1552155708995,2.520053808214552,False,True,15268,29910,29910,1.9589992140424417,114,1.9589992140424417,510,0.4612995041363721,192,192,0.012575320932669635,1.9663919370065817,2.230832246627894,2.4023725136353726,False,True
pair_44418174,math_train,4086,7641,7641,1.8700440528634361,70,1.8700440528634361,207,0.42900826190573654,234,234,0.05726872246696035,2.0841364085830993,2.4635580049880903,2.906432591996648,False,True,4230,7942,7942,1.8775413711583924,60,1.8775413711583924,206,0.4307290503907466,227,227,0.053664302600472814,2.0762184522562173,2.442099837442134,2.959416686918718,False,True
pair_4453d7a8,olympiads,1854,3390,3390,1.8284789644012944,53,1.8284789644012944,134,0.4181401609531174,100,100,0.05393743257820928,2.0897783168602992,2.525241509934805,3.0105136824146297,False,True,562,912,912,1.6227758007117439,41,1.6227758007117439,64,0.3576239308235,42,42,0.07473309608540925,2.37211267927929,2.2307778514238468,,False,True
pair_452bb14f,olympiads_ref,12793,24770,24770,1.9362151176424607,78,1.9362151176424607,529,0.4556113319061592,312,312,0.024388337372000312,2.041880141782646,2.2231007219880086,2.381368543730411,False,True,4050,7502,7502,1.8523456790123456,69,1.8523456790123456,253,0.4249659185534063,255,255,0.06296296296296296,2.1367709817516434,2.40703238953553,2.4691126609065375,False,True
pair_45b25f4e,olympiads_ref,6365,12097,12097,1.9005498821681068,72,1.9005498821681068,270,0.4445799179855477,223,223,0.03503534956794972,2.04717203640125,2.3067537994361142,2.499811701489409,False,True,5451,10395,10395,1.906989543203082,68,1.906989543203082,246,0.4450251040601435,219,219,0.040176114474408366,2.0024392302193106,2.3463191323184,2.565487351782883,False,True
pair_47d24c12,olympiads_ref,1707,3018,3018,1.7680140597539542,43,1.7680140597539542,101,0.41592351767155317,88,88,0.051552431165787935,1.998861080485741,1.8697832626781592,1.964577536783758,False,True,8917,17101,17101,1.9177974655153078,82,1.9177974655153078,202,0.4533019976042041,222,222,0.024896265560165973,2.136124070344504,2.028134176443323,2.1459909991217962,False,True
pair_4860e4db,olympiads,8386,16036,16036,1.9122346768423564,99,1.9122346768423564,259,0.44621789740077433,264,264,0.031481039828285234,2.0342392905905493,2.241352565011741,2.60953307603454,False,True,13320,25898,25898,1.9442942942942942,106,1.9442942942942942,359,0.45908831644216613,259,259,0.019444444444444445,1.9784711142843578,2.243210571483852,2.35109929108778,False,True
pair_48881c66,amc_aime,10880,20546,20546,1.8884191176470588,105,1.8884191176470588,381,0.4382738643130765,321,321,0.029503676470588235,2.2345242095827973,2.1972003480625784,2.343841379260911,False,True,8851,16867,16867,1.9056603773584906,118,1.9056603773584906,328,0.4409458550009476,292,292,0.03299062252852785,2.1309335868116817,2.2156584290036148,2.5415986823893775,False,True
