corpus,name,schema,constructor,positive_nodes
Coq root values,Cauchy_Schwarz_inequality,shared binary core,Pi,9
Coq root values,Cayley_Hamilton,all normalized constructors,App,653
Coq root values,Cayley_Hamilton,all normalized constructors,Pi,73
Coq root values,Cayley_Hamilton,all normalized constructors,Lam,53
Coq root values,Cayley_Hamilton,all normalized constructors,Let,1
Coq root values,Cayley_Hamilton,all normalized constructors,Cast,1
Coq root values,Cayley_Hamilton,all normalized constructors,Coq:CaseMatch,3
Coq root values,Cayley_Hamilton,all normalized constructors,Coq:CaseBranches,3
Coq root values,Cayley_Hamilton,all normalized constructors,Coq:Case,3
Coq root values,Cayley_Hamilton,all normalized constructors,Coq:Sort,1
Coq root values,Cayley_Hamilton,shared binary core,App,653
Coq root values,Cayley_Hamilton,shared binary core,Pi,73
Coq root values,Cayley_Hamilton,shared binary core,Lam,53
Coq root values,Cayley_Hamilton,shared binary core,Let,1
Coq root values,Ceva,all normalized constructors,App,1366
Coq root values,Ceva,all normalized constructors,Pi,49
Coq root values,Ceva,all normalized constructors,Let,64
Coq root values,Ceva,all normalized constructors,Lam,88
Coq root values,Ceva,all normalized constructors,Coq:Sort,1
Coq root values,Ceva,all normalized constructors,Cast,19
Coq root values,Ceva,shared binary core,App,1366
Coq root values,Ceva,shared binary core,Pi,49
Coq root values,Ceva,shared binary core,Let,64
Coq root values,Ceva,shared binary core,Lam,88
Coq root values,Desargues,all normalized constructors,App,1464
Coq root values,Desargues,all normalized constructors,Let,58
Coq root values,Desargues,all normalized constructors,Pi,51
Coq root values,Desargues,all normalized constructors,Lam,88
Coq root values,Desargues,all normalized constructors,Coq:CaseMatch,1
Coq root values,Desargues,all normalized constructors,Coq:Sort,1
Coq root values,Desargues,all normalized constructors,Cast,19
Coq root values,Desargues,all normalized constructors,Coq:CaseBranches,1
Coq root values,Desargues,all normalized constructors,Coq:Case,1
Coq root values,Desargues,shared binary core,App,1464
Coq root values,Desargues,shared binary core,Let,58
Coq root values,Desargues,shared binary core,Pi,51
Coq root values,Desargues,shared binary core,Lam,88
Coq root values,Euler_Poincare_criterion,all normalized constructors,App,19
Coq root values,Euler_Poincare_criterion,all normalized constructors,Pi,2
Coq root values,Euler_Poincare_criterion,all normalized constructors,Lam,2
Coq root values,Euler_Poincare_criterion,shared binary core,App,19
Coq root values,Euler_Poincare_criterion,shared binary core,Pi,2
Coq root values,Euler_Poincare_criterion,shared binary core,Lam,2
Coq root values,Euler_exp_totient,all normalized constructors,App,424
Coq root values,Euler_exp_totient,all normalized constructors,Pi,20
Coq root values,Euler_exp_totient,all normalized constructors,Lam,53
Coq root values,Euler_exp_totient,all normalized constructors,Coq:CaseMatch,3
Coq root values,Euler_exp_totient,all normalized constructors,Coq:CaseBranches,3
Coq root values,Euler_exp_totient,all normalized constructors,Coq:Case,3
Coq root values,Euler_exp_totient,all normalized constructors,Coq:Sort,1
Coq root values,Euler_exp_totient,all normalized constructors,Cast,1
Coq root values,Euler_exp_totient,all normalized constructors,Let,1
Coq root values,Euler_exp_totient,shared binary core,App,424
Coq root values,Euler_exp_totient,shared binary core,Pi,20
Coq root values,Euler_exp_totient,shared binary core,Lam,53
Coq root values,Euler_exp_totient,shared binary core,Let,1
Coq root values,FTA,all normalized constructors,App,47
Coq root values,FTA,all normalized constructors,Lam,7
Coq root values,FTA,shared binary core,App,47
Coq root values,FTA,shared binary core,Lam,7
Coq root values,FTC1,all normalized constructors,App,822
Coq root values,FTC1,all normalized constructors,Pi,70
Coq root values,FTC1,all normalized constructors,Lam,54
Coq root values,FTC1,all normalized constructors,Coq:CaseMatch,1
Coq root values,FTC1,all normalized constructors,Coq:CaseBranches,2
Coq root values,FTC1,all normalized constructors,Coq:Case,2
Coq root values,FTC1,all normalized constructors,Let,6
Coq root values,FTC1,all normalized constructors,Cast,2
Coq root values,FTC1,shared binary core,App,822
Coq root values,FTC1,shared binary core,Pi,70
Coq root values,FTC1,shared binary core,Lam,54
Coq root values,FTC1,shared binary core,Let,6
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,App,111
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Pi,11
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Lam,16
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Coq:CaseMatch,1
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Coq:CaseBranches,1
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Coq:Case,1
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Let,9
Coq root values,Goedel_sIncompleteness1st,all normalized constructors,Cast,3
Coq root values,Goedel_sIncompleteness1st,shared binary core,App,111
Coq root values,Goedel_sIncompleteness1st,shared binary core,Pi,11
Coq root values,Goedel_sIncompleteness1st,shared binary core,Lam,16
Coq root values,Goedel_sIncompleteness1st,shared binary core,Let,9
Coq root values,IVT_cor,all normalized constructors,Pi,3
Coq root values,IVT_cor,all normalized constructors,App,412
Coq root values,IVT_cor,all normalized constructors,Lam,65
Coq root values,IVT_cor,all normalized constructors,Coq:CaseMatch,9
Coq root values,IVT_cor,all normalized constructors,Let,15
Coq root values,IVT_cor,all normalized constructors,Coq:CaseBranches,10
Coq root values,IVT_cor,all normalized constructors,Coq:Case,10
Coq root values,IVT_cor,all normalized constructors,Cast,2
Coq root values,IVT_cor,shared binary core,Pi,3
Coq root values,IVT_cor,shared binary core,App,412
Coq root values,IVT_cor,shared binary core,Lam,65
Coq root values,IVT_cor,shared binary core,Let,15
Coq root values,Lagrange,all normalized constructors,App,90
