alpha,alpha_err,dL1_mean,dL1_min,depth,edges,eps_crit,f2,frac_axioms,group,max_out_degree,mean_belief_e2,mean_in_degree,modularity,n_modules,name,nodes,ntail,out_gini,theorem,xmin
2.42,0.125,6.28,3.25,-1,997,0.3,1.0,0.20353982300884957,default,26,0.9836,2.2057522123893807,0.612,21,apollonius,452,129,0.6412223395851271,B5.P74,3
2.419,0.1,3.7,1.91,-1,369,,0.9238,0.23432343234323433,default,60,0.8841,1.2178217821782178,0.764,34,herstein,303,203,0.5820386916740454,T5.7.3,1
2.204,0.172,3.82,2.91,9,86,,0.9,0.45901639344262296,default,7,0.8678,1.4098360655737705,0.657,9,orlik_strauch,61,49,0.4247045367899352,T5.8,1
2.678,0.144,7.04,3.63,-1,1498,0.4,1.0,0.1314878892733564,default,27,0.991,2.5916955017301038,0.57,22,spinoza_ethics,578,135,0.6001750892770522,P5.P20.S1,4
2.727,0.151,3.12,2.26,8,184,0.15,0.9017,0.6621621621621622,default,5,0.8886,1.2432432432432432,0.735,11,wiles_flt,148,131,0.3271151586368978,FLT,1
