in_alpha_xmin10,in_fit_status,name,out_alpha_auto,out_alpha_xmin10,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail_auto,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin_auto
,insufficient degree variation,banach_fixed_point_term,2.503271484374999,2.1273613730732954,6.790878392954812,-1.2626112395407358,5.350910747844949,4355,1.1145284407888e-11,0.2067289266264074,8.751267807760032e-08,2
,insufficient degree variation,basel_problem_term,2.135016455470493,2.153885930681572,5.193253350998895,-0.1626313286408627,0.8160764832276918,296,2.0665066198157858e-07,0.8708087186822854,0.4144563931803995,7
,insufficient degree variation,bertrand_postulate_term,2.3588837720855667,2.273912121706145,6.153078442816567,0.2574128037048877,3.1586395696834555,2416,7.599319378727425e-10,0.7968601199043471,0.00158507390788497,2
,insufficient degree variation,bezout_gcd_term,2.80927734375,1.9027265463568164,6.6538992012865075,-6.336169808687476,15.473740223020778,13154,2.854281923795007e-11,2.3554718203045774e-10,5.2184857864597335e-54,1
,insufficient degree variation,binomial_theorem_term,2.8512451171874993,2.0583457923122452,6.628550117959324,-5.817067796044902,17.489680754035636,15162,3.39000027667768e-11,5.988885673782031e-09,1.7171649277261315e-68,1
,insufficient degree variation,cantor_theorem_term,2.4493652343749988,1.9918430860693626,6.2828803176058745,-1.4756685021757252,5.102704927034395,1685,3.3235692673055483e-10,0.14003290559679515,3.348328578495976e-07,2
,insufficient degree variation,cayley_hamilton_term,1.9721999454090613,1.9346269549822674,6.6425852859850645,-2.0688826995714353,1.516871068082838,508,3.082282010132256e-11,0.03855709542212456,0.12929923953546568,7
,insufficient degree variation,divergence_harmonic_term,2.9736328125,2.0221999673980697,6.734486410329005,-7.277985710156775,33.99061716509426,16851,1.6450997752253406e-11,3.388412147186168e-13,3.0656553303229755e-253,1
,insufficient degree variation,euclid_infinite_primes_term,2.4306884765624988,2.1405053960322364,5.998380730017306,-1.352637979470704,4.575541725249149,2379,1.992948168238651e-09,0.17617131294792288,4.749892826436699e-06,2
,insufficient degree variation,extreme_value_term,2.1387256649548654,2.066016362787659,5.503765097652908,-1.016840932995264,2.399881875485226,597,3.717648213360734e-08,0.30922910612990184,0.016400363285251848,4
,insufficient degree variation,fermat_last_four_term,2.3354356876040248,2.284180878460904,8.390959479247222,-1.9611600047692732,4.192493526077816,2648,4.8219052269526517e-17,0.049860360793766725,2.7590495832391853e-05,2
,insufficient degree variation,fermat_last_three_term,2.4704589843749987,2.068350430096996,7.645186379248689,-1.7202468814119205,42.96986122151603,5789,2.0864289218709496e-14,0.08538757449846868,0.0,2
,insufficient degree variation,fermat_little_term,2.9572998046875005,2.0928576150671203,5.323111553680004,-6.537964072452868,70.10886378045801,13179,1.0200714528803639e-07,6.236189952650227e-11,0.0,1
,insufficient degree variation,fta_complex_term,2.455444335937499,2.265764886775603,6.329240652008624,-1.3598264567683145,11.058672010114366,4418,2.463706101817319e-10,0.17388484805811433,1.9902232165910098e-28,2
,insufficient degree variation,ftc_term,2.4244628906249983,2.178732782086919,5.848490398603171,-1.1715062318738931,3.144515773243275,1950,4.960542689011187e-09,0.24139535435938153,0.0016636194275073616,2
,insufficient degree variation,fund_thm_arithmetic_term,2.9629394531249997,2.036337537300776,6.867636395319476,-9.81330202870482,104.79093062513351,21158,6.527433356894317e-12,9.868532910795729e-23,0.0,1
,insufficient degree variation,intermediate_value_term,1.9396391719334463,1.886571843964577,4.922709923388612,-0.3460045136587393,0.5727110760364252,270,8.535392561296703e-07,0.7293393226078364,0.5668403367615933,7
,insufficient degree variation,lagrange_subgroup_term,2.0072098948337533,1.982296600509821,5.446582131056893,-0.7487780225109169,1.1309183429686205,286,5.134689951033066e-08,0.4539910082502844,0.2580894620560795,7
,insufficient degree variation,law_of_cosines_term,2.511840820312499,2.216171025195641,5.789457495170355,-1.1317677205729957,3.7935746407770554,2497,7.061412276121408e-09,0.2577321019481268,0.00014849396613698346,2
,insufficient degree variation,leibniz_pi_term,2.476757812499999,2.171117543648223,6.3984359006525,-1.08159697197465,3.7874699880449088,3134,1.5697661551100434e-10,0.2794316505964336,0.0001521890608960747,2
,insufficient degree variation,liouville_term,2.432373046874999,2.2654808441179304,5.878533119147696,-1.4663185340184646,3.7197350978306054,2206,4.139180003996062e-09,0.14256152852941906,0.0001994318371086454,2
,insufficient degree variation,mean_value_term,2.4625488281249988,2.2245883520216245,5.880545950675202,-1.4379915023956855,3.8628634885569566,1640,4.089154646301537e-09,0.1504364652291302,0.00011206563828630206,2
,insufficient degree variation,mvt2_term,2.465624999999999,2.1567390900013876,6.171195932679866,-1.304882556378479,4.2248304197841655,2322,6.777537029468057e-10,0.19193284185743398,2.3912077153955433e-05,2
,insufficient degree variation,pi_irrational2_term,2.4194824218749984,2.2865019229866914,6.925223364474958,-1.6252557863498138,4.17671099200466,4117,4.3528815762095215e-12,0.10410806808699216,2.9575440694755205e-05,2
,insufficient degree variation,ptolemy_term,2.4818847656249985,2.2596983109247177,6.367123929780345,-1.194561965102066,3.776360614258844,2611,1.9260554998566537e-10,0.23225821710047068,0.0001591365471124571,2
,insufficient degree variation,quadratic_reciprocity_term,2.9043457031249997,2.0024942121282843,7.7446761107158535,-8.093925847729174,95.6932234422673,20539,9.58257953147473e-15,5.777186664323156e-16,0.0,1
,insufficient degree variation,reals_uncountable_term,2.9477783203124996,2.040803842839801,7.6212331711280665,-9.814079620397376,31.055414232800537,24611,2.512635899870332e-14,9.792751677653532e-23,9.641381560018877e-212,1
,insufficient degree variation,schroeder_bernstein_term,2.0857882711483304,2.041356418807281,5.560031070714076,-0.5396240780761422,1.791892084681162,458,2.697266271343204e-08,0.5894563080335566,0.07315025414101103,5
,insufficient degree variation,sqrt2_irrational_term,2.476611328124999,2.1041332881639874,6.465874400790207,-1.3700364386081785,5.120460326375588,3648,1.0071470728697892e-10,0.17067552727410584,3.04790736674099e-07,2
