pair,h_N,h_E,h_visits,h_dedup_ratio,h_depth,h_mean_indeg,h_max_outdeg,h_out_gini,h_n_constants,h_n_distinct_constants,h_constant_share,h_alpha_x2,h_alpha_x5,h_alpha_x10,h_has_sorry,h_truncated,a_N,a_E,a_visits,a_dedup_ratio,a_depth,a_mean_indeg,a_max_outdeg,a_out_gini,a_n_constants,a_n_distinct_constants,a_constant_share,a_alpha_x2,a_alpha_x5,a_alpha_x10,a_has_sorry,a_truncated,source
pair_00b23e63,6816,13197,13197,1.9361795774647887,65,1.9361795774647887,296,0.4522138403023023,180,180,0.0264084507042253,1.9793585432940433,2.3002846832008217,2.6970829479501663,False,True,4429,8469,8469,1.9121697900203205,57,1.9121697900203205,210,0.4455778730130775,166,166,0.0374802438473696,2.033328833053773,2.2200197139705864,2.816122940449577,False,True,cn_contest
pair_01eb3f84,5111,9641,9641,1.8863236157307768,65,1.8863236157307768,208,0.4345690995447178,267,267,0.0522402660927411,2.120685485146313,2.3363874488896057,2.6032358040545005,False,True,5776,11049,11049,1.912915512465374,67,1.912915512465374,171,0.441163359063592,235,235,0.040685595567867,2.1619585318947543,2.2360064272106746,2.564741596858216,False,True,olympiads
pair_064daf4b,92,124,124,1.3478260869565215,22,1.3478260869565215,6,0.2301893408134642,23,23,0.25,3.069354799840544,,,False,True,118,167,167,1.4152542372881356,23,1.4152542372881356,6,0.2590581548766873,28,28,0.2372881355932203,2.767550087623743,,,False,True,olympiads
pair_06e244fd,15403,30138,30138,1.956631824969162,71,1.956631824969162,805,0.4629767968123536,300,300,0.0194767253132506,1.9949382591981395,2.1801750419853008,2.417254477613659,False,True,15481,30291,30291,1.956656546734707,71,1.956656546734707,805,0.462807031723808,304,304,0.0196369743556617,1.9953693490894735,2.192264417581869,2.3864031006464677,False,True,olympiads
pair_070c0d6f,5841,10867,10867,1.8604690977572331,115,1.8604690977572331,173,0.4255298145243291,346,346,0.059236432117788,2.238567489418798,2.229607747896523,2.368889696903424,False,True,579,963,963,1.6632124352331603,41,1.6632124352331603,58,0.3656069027237493,76,76,0.1312607944732297,2.1322847828089,2.609561784632565,,False,True,amc_aime
pair_0a7bd2c7,5443,10586,10586,1.94488333639537,102,1.94488333639537,189,0.4562240090602506,130,130,0.0238838875620062,2.0707858609518475,2.220099741630613,2.46497875023041,False,True,5543,10787,10787,1.946058091286307,101,1.946058091286307,191,0.4557906505115764,130,130,0.0234530037885621,2.084376175508286,2.224067840056541,2.425374274078303,False,True,secondary_math
pair_0a891d0e,2311,4262,4262,1.844223279965383,54,1.844223279965383,135,0.4235674525827855,163,163,0.0705322371267849,2.1069207957015488,2.3633215944263304,2.755508608668877,False,True,2719,5077,5077,1.8672305994851048,55,1.8672305994851048,137,0.430325977373965,163,163,0.0599485104817947,2.078797991079928,2.3266781051352594,2.7683446783216317,False,True,cn_contest
pair_0a983018,10726,20812,20812,1.940331903785195,97,1.940331903785195,367,0.4556111917675114,252,252,0.0234943128845795,2.037439618645444,2.180174297408355,2.37370577095657,False,True,11238,21849,21849,1.9442071542979176,85,1.9442071542979176,454,0.4577006040692621,253,253,0.0225129026517173,2.025807194438886,2.1264572560536683,2.3643136832523517,False,True,olympiads_ref
pair_0b123512,5273,9949,9949,1.8867817181869904,75,1.8867817181869904,189,0.4374653231004007,244,244,0.0462734686136923,2.2305530417338035,2.2482106921122424,2.3036506730240554,False,True,179,278,278,1.553072625698324,31,1.553072625698324,27,0.3249869378240424,31,31,0.1731843575418994,2.4688273950163184,,,False,True,math_train
pair_0bc9ff8b,6126,11730,11730,1.9147894221351616,74,1.9147894221351616,201,0.444860737805321,216,216,0.0352595494613124,1.9916468966722367,2.383277235186618,2.678107829565172,False,True,11312,22040,22040,1.9483734087694484,76,1.9483734087694484,474,0.456287638907785,242,242,0.0213932107496463,1.98185792930024,2.3410989160423954,2.451577257526015,False,True,math_test
pair_0c9ecd6b,6868,13157,13157,1.9156959813628425,74,1.9156959813628425,249,0.4468430498585494,269,269,0.0391671520093185,2.0352786221262873,2.269257080225479,2.5033441710390423,False,True,11644,22697,22697,1.9492442459635864,74,1.9492442459635864,518,0.4580969694298556,270,270,0.0231879079354173,2.005258490061002,2.1715192048933396,2.4422656977628328,False,True,math_train
pair_0f3deadd,343,573,573,1.6705539358600583,29,1.6705539358600583,40,0.3580663379787218,49,49,0.1428571428571428,2.378198146042396,,,False,True,343,573,573,1.6705539358600583,29,1.6705539358600583,40,0.3580663379787218,49,49,0.1428571428571428,2.378198146042396,,,False,True,math_train
pair_0f421760,6716,12909,12909,1.922126265634306,76,1.922126265634306,247,0.4460709204132044,225,225,0.0335020845741512,2.0737783413934707,2.200462003420591,2.64694115722515,False,True,443,738,738,1.6659142212189617,43,1.6659142212189617,60,0.3639205466546765,58,58,0.1309255079006772,2.4805319154503005,,,False,True,amc_aime
pair_0f905113,8052,15404,15404,1.9130650769995032,76,1.9130650769995032,302,0.4434455866780236,312,312,0.0387481371087928,2.0856719785310713,2.2775159057987695,2.6936372042379704,False,True,9568,18465,18465,1.9298704013377928,86,1.9298704013377928,324,0.4502861272841052,285,285,0.0297867892976588,1.9934541567472288,2.2755521245740633,2.547946605203395,False,True,math_test
pair_11362c17,14422,28420,28420,1.970600471501872,106,1.970600471501872,511,0.4600400016356276,191,191,0.0132436555262792,1.998508666192711,2.3107492948169037,2.5664216598327165,False,True,14377,28334,28334,1.970786673158517,106,1.970786673158517,504,0.4603408739927819,191,191,0.0132851081588648,1.9952251772917244,2.296187979653018,2.6251654224764085,False,True,secondary_math
pair_121126b4,4994,9411,9411,1.8844613536243493,68,1.8844613536243493,260,0.436546020775882,265,265,0.053063676411694,2.117276654658621,2.3592198528221937,2.6144994913310673,False,True,4604,8630,8630,1.874456993918332,72,1.874456993918332,252,0.4345540630194108,265,265,0.0575586446568201,2.096999828536542,2.29670242109024,2.7560979104685153,False,True,math_train
pair_136afae1,5760,11053,11053,1.9189236111111112,70,1.9189236111111112,260,0.4421269646501201,191,191,0.0331597222222222,2.0010189708626456,2.3882758299714,2.7518881332477587,False,True,5975,11423,11423,1.9117991631799165,68,1.9117991631799165,165,0.4384789844463402,227,227,0.0379916317991631,2.0781778754847418,2.335521857743013,2.9353277622473524,False,True,olympiads
pair_13d805d4,911,1585,1585,1.7398463227222831,51,1.7398463227222831,108,0.3905577467129753,98,98,0.1075740944017563,2.1918066029443146,2.6017574584224628,,False,True,1846,3361,3361,1.8206933911159264,55,1.8206933911159264,134,0.4138186637044707,145,145,0.0785482123510292,2.0849025557941774,2.5245996305527982,2.8440141271869503,False,True,amc_aime
pair_13dbafa5,1092,1856,1856,1.6996336996336996,49,1.6996336996336996,129,0.3789728590375142,147,147,0.1346153846153846,2.2011189345852835,2.8438134541606974,,False,True,411,668,668,1.6253041362530414,29,1.6253041362530414,50,0.3483689555196177,58,58,0.1411192214111922,2.2649726746719505,3.504438436485056,,False,True,math_train
pair_1435e660,3220,6011,6011,1.866770186335404,79,1.866770186335404,198,0.4338266490729728,199,199,0.0618012422360248,2.1213828132418726,2.4183060052307415,2.3956183097898363,False,True,4721,9018,9018,1.910188519381487,66,1.910188519381487,226,0.4469178802131198,198,198,0.0419402668926075,2.064005015317492,2.2397425641890116,2.3794559891557756,False,True,olympiads
pair_149000e5,9713,18984,18984,1.9544939771440335,103,1.9544939771440335,389,0.4585013941416591,190,190,0.0195614125398949,1.98300631315763,2.1995244407215715,2.510989266496587,False,True,12068,23708,23708,1.964534305601591,120,1.964534305601591,512,0.4605509936131003,194,194,0.0160755717600265,1.9868786290535991,2.2881338220902236,2.494583526675193,False,True,aops_forum
pair_149fe16f,24598,48359,48359,1.9659728433205952,88,1.9659728433205952,1017,0.4685532800631701,232,232,0.0094316611106594,1.9313886168822296,2.365011159734557,2.2933460559242316,False,True,16663,32531,32531,1.952289503690812,77,1.952289503690812,546,0.4620355447181811,211,211,0.0126627858128788,1.9532774820710177,2.349287582502442,2.396394671519567,False,True,olympiads_ref
pair_152731e7,3702,6956,6956,1.8789843327930849,61,1.8789843327930849,166,0.4338559826076637,189,189,0.0510534846029173,2.0199729702371014,2.2613515068768075,2.9478302624114994,False,True,4562,8685,8685,1.9037702761946516,64,1.9037702761946516,199,0.4395606417510727,180,180,0.0394563787812363,1.9883725859183017,2.4169672064511523,2.87542135270257,False,True,olympiads
pair_1565703f,2922,5428,5428,1.8576317590691307,61,1.8576317590691307,156,0.4162093073812518,189,189,0.0646817248459959,2.2935210957070655,2.5669802530718586,2.6338945827557514,False,True,2673,4868,4868,1.8211747100635989,80,1.8211747100635989,167,0.4101811197584045,221,221,0.0826786382341937,2.2904081742019584,2.518384147069126,2.7164032116897827,False,True,cn_k12
pair_171e8749,274,469,469,1.7116788321167884,31,1.7116788321167884,25,0.3745583863788461,23,23,0.083941605839416,2.25265952887485,,,False,True,7104,13792,13792,1.9414414414414416,74,1.9414414414414416,347,0.4527688601630923,162,162,0.022804054054054,1.964149181498371,2.3466862653749123,2.6924972380429195,False,True,amc_aime
pair_17275427,249,421,421,1.6907630522088353,26,1.6907630522088353,25,0.3541004874605309,28,28,0.1124497991967871,2.405032870596303,,,False,True,378,646,646,1.708994708994709,29,1.708994708994709,43,0.3689861909676151,44,44,0.1164021164021164,2.31788223693348,3.0573877252725254,,False,True,amc_aime
pair_17a4d7d8,3105,5711,5711,1.8392914653784216,64,1.8392914653784216,221,0.4255842117268959,238,238,0.0766505636070853,2.1287805682631147,2.414273686816197,2.453558509753455,False,True,7074,13614,13614,1.9245122985581,71,1.9245122985581,388,0.451829427364827,253,253,0.0357647724059937,2.022565174240452,2.2365485157613794,2.429188824340023,False,True,olympiads
pair_19517b6c,6126,11677,11677,1.9061377734247469,71,1.9061377734247469,168,0.4374358253446765,257,257,0.0419523343127652,2.2868608697115764,2.1962411358725937,2.198561090621369,False,True,2191,3961,3961,1.807850296668188,70,1.807850296668188,140,0.4104924888958998,186,186,0.0848927430397079,2.268370435505751,2.3248427321738,2.478938865632413,False,True,olympiads
pair_19f291ba,6089,11578,11578,1.901461652159632,64,1.901461652159632,226,0.4396674752046293,254,254,0.0417145672524224,2.0251391957165104,2.3755690164533103,2.6381871117029263,False,True,7047,13463,13463,1.910458351071378,64,1.910458351071378,241,0.4427902252130597,268,268,0.0380303675322832,2.023720681450464,2.2938771213261,2.729916343827631,False,True,math_test
pair_1d99af92,5710,10882,10882,1.9057793345008756,75,1.9057793345008756,253,0.4470236844146618,252,252,0.0441330998248686,2.060597864235913,2.2126424598139547,2.4101870884763548,False,True,13651,26805,26805,1.9635924108123948,95,1.9635924108123948,659,0.4644163219794277,230,230,0.016848582521427,1.987610073393772,2.1787302969928675,2.387555348044968,False,True,cn_k12
pair_1e273c45,12038,23504,23504,1.9524838012958965,90,1.9524838012958965,458,0.4574229343633972,244,244,0.0202691476989533,2.0555332241075064,2.217840588486915,2.4722745294020907,False,True,26688,52755,52755,1.9767311151079137,99,1.9767311151079137,1073,0.4694367813966058,247,247,0.0092550959232613,2.0299930063168814,2.1257666137850366,2.327253867755848,False,True,math_test
pair_1e4638c2,1757,3252,3252,1.85088218554354,55,1.85088218554354,110,0.4239394556723029,112,112,0.0637450199203187,2.172772730907015,2.245821358314084,2.7187396303692393,False,True,4710,8993,8993,1.9093418259023351,70,1.9093418259023351,179,0.4347232324834862,193,193,0.0409766454352441,2.1435826207601103,2.354757876776429,2.883556582326073,False,True,olympiads
pair_1e6ca847,3402,6376,6376,1.8741916519694295,79,1.8741916519694295,145,0.4302348718039503,168,168,0.0493827160493827,2.1009996404267124,2.3373047043245565,2.772782235246949,False,True,706,1285,1285,1.820113314447592,40,1.820113314447592,51,0.4177544339237883,33,33,0.046742209631728,2.2399411710459662,1.973859576361261,3.178865491569062,False,True,olympiads
pair_1eac5349,4718,8861,8861,1.8781263247138615,69,1.8781263247138615,220,0.4334388647348414,261,261,0.0553200508690122,2.0949664352781165,2.281284746969254,2.6027388215757736,False,True,7136,13718,13718,1.922365470852018,74,1.922365470852018,317,0.4496654709500855,248,248,0.0347533632286995,2.0207157661825703,2.2089323311573628,2.489882613045154,False,True,olympiads_ref
pair_2000cc20,4537,8634,8634,1.9030196164866653,59,1.9030196164866653,196,0.4425494565595041,202,202,0.0445228124311218,2.03899070129152,2.257897313403189,2.683114462429365,False,True,4460,8526,8526,1.911659192825112,66,1.911659192825112,198,0.446294531420114,180,180,0.0403587443946188,2.0204366516578056,2.2299241247839197,2.5674270393108314,False,True,cn_k12
pair_204207d6,3480,6609,6609,1.8991379310344827,65,1.8991379310344827,182,0.4407550744978547,159,159,0.0456896551724137,2.021938336258074,2.368240832651296,2.827706094137218,False,True,3307,6234,6234,1.8850922286059872,62,1.8850922286059872,164,0.438051851202944,176,176,0.0532204414877532,2.0177811158032535,2.383453043894298,2.457939315415768,False,True,olympiads_ref
pair_20f6251a,3189,5875,5875,1.8422703041705863,56,1.8422703041705863,241,0.4254468351981212,235,235,0.0736908121668234,2.1503787144406497,2.316215045111079,2.5781437130748857,False,True,3553,6562,6562,1.84688995215311,55,1.84688995215311,249,0.4268751169322334,254,254,0.0714888826343934,2.15147482470488,2.2871366453624304,2.5864290623841533,False,True,olympiads
pair_22599b6f,7845,15077,15077,1.9218610579987252,82,1.9218610579987252,324,0.4499547405113491,252,252,0.0321223709369024,2.047605388037568,2.1821454069895188,2.4592159401761773,False,True,11855,22920,22920,1.9333614508646144,108,1.9333614508646144,269,0.4529009931671455,255,255,0.0215099114297764,1.966045413395087,2.397558507209258,2.3663652026829545,False,True,olympiads_ref
pair_2347fae1,8424,16401,16401,1.9469373219373216,101,1.9469373219373216,226,0.4644126160166849,178,178,0.0211301044634377,2.0958628728094366,2.078243927903822,2.0958883175987904,False,True,6533,12724,12724,1.9476503903260372,88,1.9476503903260372,418,0.4544024622316233,81,81,0.0123985917648859,2.5876002135397353,1.948603743983658,2.0235359131320987,False,True,olympiads
pair_2590c3a7,1980,3661,3661,1.848989898989899,67,1.848989898989899,77,0.4238154558422244,104,104,0.0525252525252525,2.2384874159552925,2.248879459873182,2.194717075228616,False,True,1796,3296,3296,1.8351893095768377,63,1.8351893095768377,72,0.4204505832810777,103,103,0.0573496659242761,2.2282261006772934,2.200857195318853,2.189522478186354,False,True,olympiads
