pair,h_N,h_E,h_visits,h_dedup_ratio,h_depth,h_mean_indeg,h_max_outdeg,h_out_gini,h_n_constants,h_n_distinct_constants,h_constant_share,h_alpha_x2,h_alpha_x5,h_alpha_x10,h_has_sorry,h_truncated,a_N,a_E,a_visits,a_dedup_ratio,a_depth,a_mean_indeg,a_max_outdeg,a_out_gini,a_n_constants,a_n_distinct_constants,a_constant_share,a_alpha_x2,a_alpha_x5,a_alpha_x10,a_has_sorry,a_truncated,source
pair_26771bf6,3296,6180,6180,1.875,61,1.875,181,0.4315367062556948,188,188,0.0570388349514563,2.040989992312073,2.481542638090066,2.8551519820168956,False,True,3086,5743,5743,1.8609850939727803,62,1.8609850939727803,185,0.4282029383682059,193,193,0.0625405055087491,2.072134101032584,2.3759168250611244,2.671948798196824,False,True,olympiads_ref
pair_271fa579,31173,61820,61820,1.9831264235075223,114,1.9831264235075223,1317,0.4681836504545453,206,206,0.0066082828088409,2.017613311571746,2.266485053902702,2.4674152798991447,False,True,37713,74659,74659,1.979662185453292,118,1.979662185453292,1319,0.4677353474139046,204,204,0.0054092753162039,2.0181993343696543,2.35867719443341,2.4321962405761415,False,True,olympiads
pair_2748f3f1,8440,16503,16503,1.9553317535545025,76,1.9553317535545025,441,0.4588741225564905,174,174,0.0206161137440758,2.013781466926211,2.239259529386642,2.455920179838139,False,True,13835,27237,27237,1.968702565955909,80,1.968702565955909,760,0.464403230055249,202,202,0.0146006505240332,2.026364698354983,2.219664348998204,2.3861647261630976,False,True,olympiads
pair_29059eae,3191,5907,5907,1.851143842055782,49,1.851143842055782,206,0.4251095150429696,221,221,0.0692572861172046,2.120025184485841,2.4211083488612317,2.5012642290565377,False,True,5882,11200,11200,1.9041142468548111,68,1.9041142468548111,252,0.4444922766794579,264,264,0.0448826929615776,2.0030215939291622,2.274664758583484,2.6916776443169765,False,True,math_train
pair_2a4dc8cc,5238,10076,10076,1.9236349751813668,72,1.9236349751813668,194,0.4452828605689543,155,155,0.0295914471172203,1.9819081966071708,2.335823395124003,2.7936529253177316,False,True,4520,8635,8635,1.9103982300884956,70,1.9103982300884956,183,0.44131618592782,162,162,0.0358407079646017,1.9980127678924111,2.38454306946211,2.876383300881568,False,True,math_test
pair_2a66f969,17296,33839,33839,1.956463922294172,115,1.956463922294172,585,0.4584228091261666,325,325,0.0187904717853839,2.0190222583228037,2.2857199016238563,2.4695737188374385,False,True,14007,27405,27405,1.9565217391304348,91,1.9565217391304348,619,0.4601719261827631,281,281,0.0200613978724923,2.0050121840751824,2.234043108182957,2.4823172805886404,False,True,olympiads
pair_2b09aabd,1127,2045,2045,1.8145519077196095,60,1.8145519077196095,86,0.4167205055722724,86,86,0.0763087843833185,2.0991618319934675,2.4170206141390884,2.8642493885316664,False,True,2276,4097,4097,1.8000878734622143,79,1.8000878734622143,131,0.4114460921939968,209,209,0.0918277680140597,2.234005137570154,2.314695319158055,2.5728037805557107,False,True,olympiads
pair_2d283418,2500,4585,4585,1.834,62,1.834,198,0.4169033805888767,197,197,0.0788,2.3134053167607647,2.3328612516889637,2.333626806552128,False,True,2374,4379,4379,1.8445661331086771,59,1.8445661331086771,178,0.4204191791527034,174,174,0.0732940185341196,2.297083234530019,2.3293003934040053,2.455137697709846,False,True,olympiads
pair_2fba10ea,16424,32105,32105,1.9547613248904043,119,1.9547613248904043,892,0.4626026308888281,297,297,0.0180832927423283,2.028529948644085,2.1854612057803067,2.372814855142458,False,True,10899,21212,21212,1.9462335994127904,112,1.9462335994127904,454,0.4575711861210635,238,238,0.0218368657675016,1.9836276948757516,2.183480486109916,2.608681600628359,False,True,olympiads_ref
pair_2fde2018,8581,16339,16339,1.904090432350542,82,1.904090432350542,385,0.4454226044886187,368,368,0.0428854445868779,2.0556764377422567,2.2430751812918484,2.5375506330022546,False,True,8382,16195,16195,1.932116439990456,99,1.932116439990456,441,0.4557644105567665,251,251,0.0299451204963016,2.009170639317172,2.083237092890811,2.4267941106146944,False,True,math_test
pair_301c1ff9,10837,21166,21166,1.953123558180308,102,1.953123558180308,435,0.4563321204801853,198,198,0.0182707391344468,2.006962069118364,2.281131466282235,2.468572706392517,False,True,12871,25208,25208,1.958511382176987,105,1.958511382176987,513,0.4580614915169869,208,208,0.0161603605003496,2.0226736983031604,2.269900365085882,2.4978316165920003,False,True,aops_forum
pair_326a8dc3,30462,60181,60181,1.9756089554198677,131,1.9756089554198677,1448,0.4690837581638026,316,316,0.0103735801982798,2.005479307879985,2.177813106859668,2.4221416762591703,False,True,54506,108058,108058,1.9824973397424135,200,1.9824973397424135,1517,0.4703857161252208,250,250,0.0045866510108978,2.001651724492166,2.3028437249150837,2.4053881243623763,False,True,cn_contest
pair_32d5762e,3494,6553,6553,1.875500858614768,79,1.875500858614768,182,0.4345765158575346,200,200,0.0572409845449341,2.032596541207944,2.4108612901631927,2.638918402715866,False,True,3083,5741,5741,1.8621472591631527,68,1.8621472591631527,176,0.4311139131985796,197,197,0.0638987998702562,2.0374578220504285,2.5082968663158036,2.393598830625596,False,True,aops_forum
pair_32e87abf,3717,6969,6969,1.874899112187248,68,1.874899112187248,204,0.4344936160458169,220,220,0.0591875168146354,2.1073617260685937,2.2327456051332204,2.556330189664603,False,True,4560,8530,8530,1.8706140350877192,70,1.8706140350877192,240,0.4339205281668415,271,271,0.0594298245614035,2.112903482616761,2.2632047064754444,2.5704335926102404,False,True,cn_k12
pair_33135e91,4561,8686,8686,1.9044069283051963,73,1.9044069283051963,241,0.4442085066539623,205,205,0.0449462837097127,2.0407811533297906,2.2588726169082225,2.6382118575655698,False,True,4487,8550,8550,1.9055047916202363,72,1.9055047916202363,239,0.4453190699056533,198,198,0.0441274793848896,2.0230792613077577,2.2241987895727307,2.690116842186806,False,True,olympiads
pair_33b83cd5,9336,17981,17981,1.9259854327335049,73,1.9259854327335049,380,0.4515498710030348,325,325,0.0348114824335904,2.0230284059628327,2.2976229764482685,2.4743404670927376,False,True,9361,18064,18064,1.9297083644909732,80,1.9297083644909732,396,0.4525709440890247,310,310,0.0331161200726418,2.04129890388253,2.319551440734438,2.361186831230002,False,True,cn_k12
pair_34b2dbc3,5021,9620,9620,1.9159529974108744,64,1.9159529974108744,187,0.4425759833646708,170,170,0.0338577972515435,1.9875936909830956,2.444094224832531,2.7703805609005157,False,True,267,449,449,1.6816479400749065,26,1.6816479400749065,32,0.3664572958634668,29,29,0.1086142322097378,2.2712802384994504,,,False,True,math_train
pair_34e33ffa,7709,14818,14818,1.9221688935011023,73,1.9221688935011023,278,0.4454641687761609,264,264,0.0342456868595148,2.056650187567234,2.3611186684196617,2.88147235141387,False,True,16593,32579,32579,1.9634183089254504,78,1.9634183089254504,627,0.4630460952767751,266,266,0.0160308563852226,2.022606021846778,2.1623563367282665,2.3634744000917314,False,True,secondary_math
pair_358e95d5,1454,2650,2650,1.8225584594222837,41,1.8225584594222837,66,0.4221634528042355,108,108,0.0742778541953232,2.095745390243479,2.2475656798397248,2.51190476073313,False,True,505,880,880,1.7425742574257426,32,1.7425742574257426,31,0.3887038703870387,56,56,0.1108910891089108,2.169293038341875,2.637746900193723,,False,True,number_theory
pair_3757881d,11075,21583,21583,1.948803611738149,83,1.948803611738149,620,0.4617207611249092,255,255,0.0230248306997742,1.9497950602173488,2.20128632574196,2.4602750996823755,False,True,9630,18690,18690,1.940809968847352,81,1.940809968847352,516,0.4584154430904404,256,256,0.0265835929387331,1.948918369482302,2.194715876720773,2.4935017747599137,False,True,olympiads
pair_37c40664,1651,2909,2909,1.7619624470018171,52,1.7619624470018171,163,0.4008516771297498,174,174,0.1053906723198061,2.2569076208343324,2.2495397821526733,2.4764136835750468,False,True,1907,3388,3388,1.7766124803356056,54,1.7766124803356056,180,0.4014743420282821,196,196,0.1027792343995804,2.296135380905952,2.3239062680904605,2.744583046916004,False,True,math_train
pair_37d880cd,1904,3462,3462,1.8182773109243695,53,1.8182773109243695,134,0.4204578278451762,153,153,0.0803571428571428,2.134214353976227,2.2266670824713937,2.448119845918594,False,True,1021,1852,1852,1.8139079333986288,42,1.8139079333986288,55,0.4156302951199751,60,60,0.058765915768854,2.336928583074727,2.110616130410665,,False,True,number_theory
pair_3b1172ec,2991,5648,5648,1.8883316616516217,60,1.8883316616516217,124,0.4318247471403824,145,145,0.0484787696422601,2.10335042895107,2.466241552796925,2.7961657526344035,False,True,1237,2249,2249,1.8181083265966047,65,1.8181083265966047,82,0.4059822869267685,91,91,0.0735650767987065,2.199131633314275,2.406470741767465,3.0704927414302667,False,True,cn_k12
pair_3b470502,3347,6137,6137,1.8335823125186737,70,1.8335823125186737,197,0.4186181287647807,249,249,0.0743949805796235,2.201968011848769,2.384119886572708,2.7717152373341993,False,True,3325,6103,6103,1.8354887218045113,70,1.8354887218045113,190,0.4194560791623496,248,248,0.0745864661654135,2.1881662061216733,2.3580723046003476,2.752335662352035,False,True,math_train
pair_3cca9874,1495,2606,2606,1.7431438127090302,50,1.7431438127090302,104,0.3863505109125583,174,174,0.1163879598662207,2.306592757133291,2.54836753470346,2.604100883657948,False,True,5899,11495,11495,1.9486353619257504,88,1.9486353619257504,296,0.4670721831119628,113,113,0.0191557891167994,2.0295326614780045,1.9480715758506584,1.9099110293264552,False,True,math_train
pair_3da844f5,8092,15774,15774,1.949332674246169,79,1.949332674246169,283,0.4535668517513286,186,186,0.0229856648541769,2.0396560335605898,2.3006444630608653,2.4322872788988255,False,True,11771,23086,23086,1.9612607255118513,83,1.9612607255118513,362,0.4606735764554476,192,192,0.0163112734686942,2.006827158011996,2.24560983883662,2.3207162353125295,False,True,inequalities
pair_3db79af4,40141,76137,76137,1.8967389950424751,86,1.8967389950424751,1919,0.4675550665725559,1994,1994,0.0496748959916295,1.5789826335892516,1.6288925238242626,1.9006745459312064,False,True,40252,76347,76347,1.8967256285401968,86,1.8967256285401968,1918,0.4675113757146889,2000,2000,0.0496869720759216,1.5833021229413382,1.6315137768777428,1.903461172399518,False,True,cn_contest
pair_3e5837da,2056,3740,3740,1.8190661478599224,60,1.8190661478599224,168,0.4148681828585697,171,171,0.0831712062256809,2.1271624537417724,2.56041622998769,2.803717727357682,False,True,6169,11925,11925,1.9330523585670287,66,1.9330523585670287,247,0.4514319212210372,188,188,0.0304749554222726,2.055460224615408,2.254370552265125,2.6745604478719818,False,True,amc_aime
pair_3e7604ad,4855,9154,9154,1.8854788877445932,80,1.8854788877445932,214,0.4334460103319625,248,248,0.0510813594232749,2.0443469729157084,2.4627673446185883,2.911401043449231,False,True,4746,8972,8972,1.8904340497260852,73,1.8904340497260852,208,0.4361353456433923,235,235,0.0495153813737884,2.014093658074927,2.4614160014349116,2.937378817446066,False,True,aops_forum
pair_40400f26,5416,10219,10219,1.8868168389955688,106,1.8868168389955688,173,0.4439441121275673,257,257,0.0474519940915805,2.190015693507895,2.2113929960502654,2.024883214566842,False,True,412,674,674,1.635922330097087,27,1.635922330097087,38,0.3559318371697733,59,59,0.1432038834951456,2.1326110234387645,3.228044682484561,,False,True,math_test
pair_412ad836,222,370,370,1.6666666666666667,33,1.6666666666666667,32,0.3556610664718773,30,30,0.1351351351351351,2.552098259800136,,,False,True,222,370,370,1.6666666666666667,33,1.6666666666666667,32,0.3556610664718773,30,30,0.1351351351351351,2.552098259800136,,,False,True,number_theory
pair_43cbe160,16730,32848,32848,1.9634190077704723,83,1.9634190077704723,680,0.4643511136007574,247,247,0.0147638971906754,2.0167576613996676,2.1879447880496707,2.3662529508326906,False,True,15895,31260,31260,1.966656181189053,114,1.966656181189053,549,0.4631520351990037,192,192,0.0120792702107581,1.975178583083028,2.2422591773244296,2.377416638050355,False,True,math_test
pair_44418174,4138,7757,7757,1.874577090381827,70,1.874577090381827,206,0.4304564897275776,234,234,0.056549057515708,2.0790872149326702,2.4679451813373223,2.814217993737671,False,True,4227,7952,7952,1.881239649869884,60,1.881239649869884,205,0.4316911642554641,227,227,0.0537023894014667,2.0702131861910456,2.440114306878371,2.9688477117082046,False,True,math_train
pair_4453d7a8,1777,3312,3312,1.86381541924592,53,1.86381541924592,137,0.4275097257223949,100,100,0.056274620146314,2.118244790160743,2.454690563520971,2.856270810479874,False,True,581,1034,1034,1.7796901893287436,41,1.7796901893287436,95,0.4066523069342859,42,42,0.072289156626506,2.356101182386395,2.4543830796024677,,False,True,olympiads
pair_452bb14f,12423,24189,24189,1.9471142236174837,78,1.9471142236174837,521,0.4570665964210636,312,312,0.0251147065926104,2.0770799701038283,2.244412316961069,2.408618584427191,False,True,5137,9732,9732,1.8944909480241383,69,1.8944909480241383,258,0.4375681341517792,255,255,0.0496398676270196,2.0934249379918395,2.40509079185743,2.622083216364585,False,True,olympiads_ref
pair_45b25f4e,5994,11507,11507,1.9197530864197532,72,1.9197530864197532,253,0.4480615576904792,223,223,0.0372038705372038,2.039829940513223,2.303698254759152,2.5811220936401895,False,True,5380,10291,10291,1.912825278810409,68,1.912825278810409,241,0.4462790238989639,219,219,0.0407063197026022,2.0103741775276385,2.333188487357426,2.5657877435619967,False,True,olympiads_ref
pair_47d24c12,1602,2958,2958,1.8464419475655431,43,1.8464419475655431,53,0.4358779888898174,88,88,0.0549313358302122,1.9572323030433656,1.891190886513268,2.0215128695414117,False,True,8880,17161,17161,1.932545045045045,82,1.932545045045045,202,0.4565323649212991,222,222,0.025,2.127215748384007,2.028783563418499,2.1586915766502903,False,True,olympiads_ref
