corpus,name,nodes,positive_nodes,zero_fraction,positive_mean,positive_variance,variance_ratio_to_ztp,fraction_degree_1,fraction_degree_2,fraction_degree_3,max_degree,poisson_lambda,poisson_ks,poisson_bootstrap_p,poisson_aic,geometric_aic,negative_binomial_aic,cmp_aic,cmp_nu,cmp_at_bound,aic_winner,delta_aic_poisson_cmp,delta_aic_poisson_cmp_per_positive_node,ordinary_poisson_aic_all,zero_inflated_poisson_aic_all,zip_lambda,zip_pi,zip_at_zero_boundary,zip_ks,zip_bootstrap_p,hurdle_poisson_aic_all,hurdle_geometric_aic_all,hurdle_negative_binomial_aic_all,hurdle_cmp_aic_all,mixed_model_aic_winner,delta_aic_zip_hurdle_cmp,delta_aic_zip_best_full_model,delta_aic_hurdle_poisson_cmp
Coq expanded terms,Alt_PI_eq,13619,10681,0.2157280270210735,4.02303155135287,7.222950495119108,1.9469405675532747,0.0155416159535624,0.07283962175826234,0.5294448085385264,31,3.9451962760395487,0.22722643346910776,0.005,46529.982804549036,48193.482974006256,44909.52343279234,45745.16265147661,0.566219982937819,False,negative_binomial,784.8201530724255,0.0734781530823355,67814.4073448351,60735.17372661028,3.9451962760395487,0.20025502627125621,False,0.17820732328978217,0.005,60735.17372661028,62398.6738960675,59114.71435485358,59950.353573537854,hurdle_negative_binomial,784.8201530724255,1620.4593717566968,784.8201530724255
Coq expanded terms,Bertrand,22434,18069,0.19457074083979672,3.5392108030328187,4.129916937630817,1.319022938017685,0.021749958492445626,0.12806464109801316,0.5782832475510543,35,3.423883324650889,0.19000622388316157,0.005,68816.22184116449,76146.56674658756,68470.96782893284,68791.0783214933,1.0840599195993357,False,negative_binomial,25.14351967118273,0.001391528013237187,97618.98907171589,90928.41498235043,3.423883324650889,0.16744127506472004,False,0.15303657213804245,0.005,90928.41498235043,98258.75988777351,90583.1609701188,90903.27146267926,hurdle_negative_binomial,25.14351967116818,345.2540122316277,25.14351967116818
Coq expanded terms,CSB,1331,1012,0.2396694214876033,3.2796442687747036,1.7765421659454135,0.6315836598118139,0.06027667984189723,0.15711462450592886,0.46047430830039526,8,3.137309677360983,0.14821713259863445,0.005,3475.1298831314125,4084.159126892333,3477.1302442902365,3342.7249613909025,2.089302165632264,False,cmp,132.40492174050996,0.13083490290564226,5377.320121553757,4943.089496031309,3.137309677360983,0.20517447092124688,False,0.11269401817416835,0.005,4943.089496031309,5552.1187397922295,4945.089857190133,4810.684574290799,hurdle_cmp,132.40492174050996,132.40492174050996,132.40492174050996
Coq expanded terms,Cardan_Tartaglia,11271,9166,0.18676248780055008,4.069823259873445,7.579239920759435,2.0131307445846973,0.01058258782456906,0.08356971416102989,0.48941741217543094,33,3.9949007722988643,0.2413901899765436,0.005,40307.268179798346,41601.47042383469,38787.705440439124,39546.77629120568,0.5474572207661532,False,negative_binomial,760.4918885926672,0.08296878557633289,56058.95851011462,51163.11351788671,3.9949007722988643,0.1715106002379252,False,0.1963075575658768,0.005,51163.11351788671,52457.315761923055,49643.55077852749,50402.621629294044,hurdle_negative_binomial,760.4918885926672,1519.5627393592222,760.4918885926672
Coq expanded terms,Cauchy_Schwarz_inequality,12647,10195,0.1938799715347513,3.687788131436979,5.265446750599696,1.590391732202021,0.0163805787150564,0.12712113781265327,0.5335948994605199,30,3.5855582650385283,0.17254276535921287,0.005,40548.35450627369,43946.455284706884,39996.04054263561,40506.382107275684,0.8718857883049765,False,negative_binomial,41.97239899800479,0.004116959195488454,57298.143185392815,52989.95144565824,3.5855582650385283,0.17089623044911256,False,0.13909017892284148,0.005,52989.95144565824,56388.052224091436,52437.63748202016,52947.979046660235,hurdle_negative_binomial,41.97239899800479,552.3139636380802,41.97239899800479
Coq expanded terms,Cayley_Hamilton,11407,9599,0.15849916717804857,3.5163037816439213,1.9440773474500184,0.6264803137271611,0.021773101364725492,0.17772684654651527,0.41483487863319096,14,3.398813961420149,0.11765289296318038,0.005,33874.03067308568,40306.553753202345,33876.701134133196,32547.651399945884,2.062310159630113,False,cmp,1326.379273139799,0.13817890125427637,46137.302916648296,43849.689908604094,3.398813961420149,0.12941026066870415,False,0.09900500741242818,0.005,43849.689908604094,50282.212988720756,43852.36036965161,42523.310635464295,hurdle_cmp,1326.379273139799,1326.379273139799,1326.379273139799
Coq expanded terms,Ceva,15279,11439,0.25132534851757315,3.822099833901565,7.835385362530789,2.256894769753141,0.023516041612029023,0.11355887752425911,0.5691056910569106,35,3.7304368739425735,0.23094681566598985,0.005,49797.83417392979,50260.29253455966,47446.46478133468,48473.274098215974,0.46223084176859885,False,negative_binomial,1324.5600757138163,0.11579334519746624,75637.78708959463,67028.02235135126,3.7304368739425735,0.23292918288868875,False,0.17290402672971128,0.005,67028.02235135126,67490.48071198113,64676.65295875615,65703.46227563744,hurdle_negative_binomial,1324.5600757138163,2351.3693925951084,1324.5600757138163
Coq expanded terms,Desargues,18213,14034,0.2294514906934607,4.161821291150064,8.174968209191835,2.111000615335692,0.0122559498361123,0.07930739632321505,0.47249536839105033,35,4.092316807733314,0.23611884843475517,0.005,63075.67768311535,64413.44918478174,60318.82675888648,61514.52197525343,0.4984528268812297,False,negative_binomial,1561.1557078619153,0.11124096535997686,93979.79252623965,82697.18468256365,4.092316807733314,0.21636438659006121,False,0.1819410266805772,0.005,82697.18468256365,84034.95618423003,79940.33375833477,81136.02897470172,hurdle_negative_binomial,1561.1557078619226,2756.850924228871,1561.1557078619226
Coq expanded terms,Euler_Poincare_criterion,23750,20297,0.1453894736842105,3.3596590629157017,1.2116317111255543,0.41615534068324966,0.007538059811794846,0.08912647189239789,0.6700497610484308,13,3.2262615901851976,0.2519205122754097,0.005,67026.69277972047,83039.45445075477,67028.7004727011,58685.91477618541,3.48666470415716,False,cmp,8340.778003535059,0.4109364932519613,89987.83676072166,86723.50323843308,3.2262615901851976,0.11005356517442746,False,0.2152939215854312,0.005,86723.50323843308,102736.26490946738,86725.51093141371,78382.72523489803,hurdle_cmp,8340.778003535059,8340.778003535059,8340.778003535059
Coq expanded terms,Euler_exp_totient,22444,18727,0.16561219034040278,3.16206546697282,1.4329647732011264,0.5372963592869704,0.027767394670796176,0.21893522721204678,0.5041384097826668,11,3.0054987971176614,0.14514451693151012,0.005,61828.58160019132,73904.71109755908,61830.60614399024,57405.52830038394,2.672651896526107,False,cmp,4423.053299807376,0.23618589735715148,85023.35384809479,81979.01309566274,3.0054987971176614,0.12214608719259061,False,0.12110681556658298,0.005,81979.01309566274,94055.1425930305,81981.03763946166,77555.95979585536,hurdle_cmp,4423.053299807376,4423.053299807376,4423.053299807376
