corpus,n_files,n_decls,n_proofs,n_citation_edges,frac_never_cited,mean_reuse,alpha_x5,alpha_x10,alpha_x20,median_n_lines,median_n_tactics,median_n_have,median_n_distinct_premises,median_vocab_ratio,median_automation_share,median_dup_line_share,median_depth_indent
dsp15rl-proofnet-sampling,639,61,0,0,1.0,0.0,,,,,,,,,,,
dsp15rl-minif2f-sampling,927,262,923,0,1.0,0.0,,,,21.0,4.0,1.0,12.0,0.8,0.5,0.0,4.0
dsp15rl-minif2f-rmaxts,1440,4,1440,0,1.0,0.0,,,,18.0,4.0,0.0,11.0,0.7692,0.6667,0.0,4.0
internlm-lean-workbook,2000,2000,96,0,1.0,0.0,,,,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0
leanabell-v2-coldstart,1788,17,1765,0,1.0,0.0,,,,21.0,8.0,4.0,5.0,0.6667,0.4,0.0,6.0
leanabell-sft,2000,1444,1782,505,0.9965373961218836,0.3497229916897507,,,,18.0,4.0,0.0,11.0,0.7368,0.4286,0.0,2.0
leanagent2603,838,455,854,322,0.9230769230769231,0.7076923076923077,,,,10.0,4.0,2.0,1.0,0.0625,0.4,0.0,4.0
ahyxie-minif2f-deepseek,475,250,476,0,1.0,0.0,,,,10.0,4.0,2.0,1.0,0.2,0.25,0.0,4.0
cartinoe-dsproverv2,2000,2011,1799,4919,0.9751367478866235,2.446046742913973,1.302,1.39,1.455,37.0,13.0,5.0,7.0,0.7143,0.2632,0.25,4.0
cartinoe-lean-solution,1469,472,926,0,1.0,0.0,,,,31.0,14.0,9.0,3.0,0.2162,0.3333,0.1,8.0
kevew-minif2f-kimina8b,311,1,311,0,1.0,0.0,,,,11.0,3.0,2.0,1.0,0.24,0.3158,0.0,4.0
lukebailey-dsprover-sols-v0,2000,1999,1077,0,1.0,0.0,,,,15.0,8.0,4.0,2.0,0.2,0.5,0.0504,4.0
lukebailey-dsprover-sols,2000,1999,1077,0,1.0,0.0,,,,15.0,8.0,4.0,2.0,0.2,0.5,0.0504,4.0
ahyxie-minif2f-kimina,2000,33,2002,0,1.0,0.0,,,,8.0,3.0,1.0,1.0,0.188,0.25,0.0,4.0
maoliyuan-lw-filtered,2000,2000,1997,0,1.0,0.0,,,,14.0,4.0,0.0,10.0,0.7778,0.5,0.0,4.0
qwen3-8b-minif2f,187,208,70,208,0.9182692307692307,1.0,,,,16.5,7.0,4.0,0.0,0.0,0.0,0.0,4.0
slim205-lw-rl-minif2f,2000,2065,365,0,1.0,0.0,,,,7.0,3.0,1.0,0.0,0.0,0.7273,0.0,2.0
maoliyuan-lw-standard,2000,2000,1997,0,1.0,0.0,,,,15.0,4.0,0.0,10.0,0.7857,0.5,0.0,4.0
vivacem-pset10k-kimina17b,2000,2028,1856,779,0.9758382642998028,0.38412228796844183,,,,13.0,4.0,2.0,1.0,0.224,0.3333,0.0,4.0
yidan-dsproverv2,2000,232,2000,0,1.0,0.0,,,,24.0,10.0,5.0,3.0,0.5,0.5417,0.0625,6.0
BonnAnalysis,16,102,66,182,0.20588235294117646,1.7843137254901962,,,,9.0,5.0,0.0,6.5,0.7093,0.0,0.0,4.0
yidan-kimina,2000,220,2000,0,1.0,0.0,,,,10.0,4.0,2.0,1.0,0.096,0.3333,0.0,4.0
ExponentialRamsey,39,999,344,3041,0.2862862862862863,3.044044044044044,2.07,1.969,2.03,7.0,2.0,0.0,5.0,0.8,0.0833,0.0,4.0
