corpus,n_files,n_decls,n_proofs,n_citation_edges,frac_never_cited,mean_reuse,alpha_x5,alpha_x10,alpha_x20,median_n_lines,median_n_tactics,median_n_have,median_n_distinct_premises,median_vocab_ratio,median_automation_share,median_dup_line_share,median_depth_indent
EVO,20,13,18,6,0.5384615384615384,0.46153846153846156,,,,6.5,1.0,0.0,9.0,0.6429,0.0,0.0,5.0
Claude_Opus_4.7_4.8_and_Fable_5_+_OSS_contributions,310,4164,2218,41644,0.17267050912584053,10.000960614793469,1.907,1.916,1.931,14.0,3.0,1.0,13.0,0.5929,0.0,0.0,6.0
GPT-5.5_Codex,4,19,12,29,0.3157894736842105,1.5263157894736843,,,,13.0,2.0,0.0,4.0,0.4531,0.0625,0.0,6.0
EVO_deepthought.com.au,27,56,48,56,0.25,1.0,,,,13.0,7.0,4.0,6.5,0.5778,0.2,0.0,6.0
GPT_5.5,5,32,25,48,0.21875,1.5,,,,9.0,3.0,1.0,5.0,0.7143,0.1909,0.0,6.0
Gemini_3.1_Pro,4,5,4,2,0.6,0.4,,,,20.5,11.0,2.0,12.0,0.6107,0.184,0.0769,8.0
Grok_4.3,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Grok_4.5,6,20,18,24,0.15,1.2,,,,12.0,3.5,1.5,8.0,0.6771,0.1181,0.0,5.0
GPT-5.5,23,489,366,1041,0.12474437627811862,2.128834355828221,2.535,3.028,,12.5,4.0,1.0,8.0,0.5714,0.1361,0.0,6.0
Hy3,2,1,1,0,1.0,0.0,,,,57.0,30.0,9.0,34.0,0.3178,0.3,0.0351,8.0
Kimi_K2.6,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Kimi_K2.7,14,11,9,2,0.8181818181818182,0.18181818181818182,,,,4.0,0.0,0.0,3.0,0.875,0.0,0.0,4.0
Leanstral-2603,4,3,3,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Mistral_Large_3,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Qwen3.6_Max,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Trellis,610,608,175,2449,0.039473684210526314,4.027960526315789,1.976,2.188,2.25,66.0,27.0,10.0,26.0,0.4127,0.1389,0.1236,12.0
UNICO_NOUS_pipeline_-_Claude_Anthropic,2,45,32,84,0.06666666666666667,1.8666666666666667,,,,20.0,7.0,3.5,11.5,0.317,0.25,0.0,6.0
Community_multi-model_project,558,7274,3960,80666,0.1712950233709101,11.08963431399505,1.911,1.894,1.905,14.0,3.0,1.0,12.0,0.6,0.0,0.0,6.0
GPT-5.6,1098,15181,9864,148948,0.1647454054410118,9.811474869903169,1.943,1.914,1.886,15.0,4.0,1.0,12.0,0.5263,0.0909,0.0,6.0
mostly_ChatGPT_5.6_Sol,123,6401,3902,24692,0.498047180128105,3.8575222621465395,2.003,2.062,1.967,12.0,3.0,0.0,11.0,0.7222,0.0,0.0,6.0
Humanifa_+_GPT_5.6_sol,1230,16654,11995,80288,0.1542572354989792,4.820943917377207,2.25,2.337,2.26,11.0,3.0,0.0,7.0,0.5789,0.125,0.0,6.0
AgreeToDisagree,4,47,55,79,0.44680851063829785,1.6808510638297873,,,,12.0,4.0,1.0,16.0,0.6154,0.0,0.0,4.0
Biswal,2,240,184,486,0.03333333333333333,2.025,2.323,,,11.0,3.5,0.0,7.0,0.5714,0.2,0.0,6.0
Granville,3,223,173,381,0.1210762331838565,1.7085201793721974,2.393,,,9.0,3.0,1.0,8.0,0.4667,0.125,0.0,6.0
HigherDyson,4,75,34,207,0.2,2.76,,,,8.0,2.0,0.0,8.5,0.7596,0.1971,0.0,4.0
IMO2026,6,265,203,710,0.09433962264150944,2.6792452830188678,2.347,2.54,,18.0,8.0,3.0,11.0,0.64,0.1667,0.0,6.0
LatentError,1,51,30,172,0.11764705882352941,3.372549019607843,2.202,,,28.0,10.0,7.5,19.5,0.4546,0.1659,0.0,8.0
PartitionElliptic,1,7,2,8,0.2857142857142857,1.1428571428571428,,,,9.0,2.5,0.5,10.0,0.5344,0.3,0.0,5.0
PartitionPolynomial,6,754,686,2169,0.07427055702917772,2.876657824933687,2.055,2.157,2.792,11.0,4.0,2.0,7.0,0.7857,0.1111,0.0,6.0
Putnam2025,12,506,400,1485,0.04743083003952569,2.9347826086956523,2.02,2.352,,14.0,5.5,2.0,7.0,0.6154,0.2143,0.0,4.0
RogersRamanujan-artifacts,9,336,298,1291,0.07142857142857142,3.8422619047619047,1.92,2.088,,7.0,2.0,0.0,5.0,0.6,0.0,0.0,4.0
RogersRamanujan,71,811,473,1882,0.45006165228113443,2.3205918618988903,2.174,2.106,2.248,5.0,1.0,0.0,5.0,0.6667,0.0,0.0,4.0
andrews_dhar_problem,5,404,314,1356,0.022277227722772276,3.3564356435643563,1.842,2.181,2.741,10.0,4.0,1.0,7.0,0.75,0.2152,0.0,4.5
challenge_3,2,53,39,170,0.1320754716981132,3.207547169811321,2.452,,,9.0,4.0,1.0,13.0,0.5652,0.2667,0.0,4.0
dead-ends,1,195,162,411,0.10256410256410256,2.1076923076923078,2.404,,,18.0,6.5,3.0,10.5,0.3846,0.1111,0.0,6.0
erdos-public,7,196,132,473,0.18877551020408162,2.413265306122449,2.566,,,11.0,5.0,1.0,6.0,0.7029,0.2427,0.0,4.0
fel-polynomial,1,195,144,499,0.05641025641025641,2.5589743589743588,,,,9.0,3.0,0.0,10.0,0.6667,0.25,0.0,4.0
gdm-formal-conjectures,2,73,57,150,0.0410958904109589,2.0547945205479454,,,,10.0,3.0,0.0,4.0,0.5789,0.2857,0.0,6.0
kaprekar4,1,79,53,312,0.0759493670886076,3.949367088607595,2.397,3.374,,22.0,9.0,3.0,13.0,0.4265,0.1429,0.0,6.0
lattice-triangle,1,531,434,962,0.02824858757062147,1.8116760828625236,2.041,,,12.5,4.0,2.5,5.0,0.4495,0.1111,0.0,6.0
parity-differential,1,14,12,17,0.07142857142857142,1.2142857142857142,,,,7.0,2.5,0.5,3.0,0.875,0.0769,0.0,6.0
partial-regularity,1,200,186,274,0.055,1.37,,,,12.0,4.0,3.0,6.0,0.4808,0.1667,0.0,4.0
quadratic-dinv,1,180,134,672,0.05555555555555555,3.7333333333333334,1.962,2.229,,11.5,4.0,2.0,6.0,0.4118,0.25,0.0,4.0
ramanujan-tau-misses-primes,1,520,410,900,0.007692307692307693,1.7307692307692308,1.934,2.299,,8.0,2.0,1.0,4.0,0.4,0.0,0.0,4.0
record-compositions,1,192,117,820,0.041666666666666664,4.270833333333333,2.603,3.89,,10.0,4.0,1.0,8.0,0.75,0.2,0.0,4.0
zeta-h123,4,163,127,604,0.03067484662576687,3.705521472392638,1.96,2.431,,19.0,9.0,3.0,11.0,0.6364,0.2222,0.0,8.0
various_model_deepseek-v4_gpt-5.,599,17445,9405,96893,0.10220693608483807,5.554198910862711,1.947,1.906,1.954,17.0,5.0,2.0,13.0,0.4048,0.0667,0.0,6.0
deepseek-v4_and_gpt-5.x,1834,18681,28885,104470,0.1113966061773995,5.592313045340185,1.947,1.905,1.931,17.0,5.0,2.0,13.0,0.4074,0.0667,0.0,6.0
Various_models_with_human_in_the_loop,590,8090,4409,90399,0.22756489493201484,11.17416563658838,1.917,1.833,1.769,17.0,5.0,1.0,19.0,0.5172,0.0,0.0,6.0
