corpus,n_files,n_decls,n_proofs,n_citation_edges,frac_never_cited,mean_reuse,alpha_x5,alpha_x10,alpha_x20,median_n_lines,median_n_tactics,median_n_have,median_n_distinct_premises,median_vocab_ratio,median_automation_share,median_dup_line_share,median_depth_indent
Autoform-Bot,2,137,113,247,0.1678832116788321,1.802919708029197,2.985,,,11.0,3.0,1.0,8.0,0.6,0.2,0.0,6.0
Claude_Fable_5_orchestrating_Opus_Sonnet_4.8,6,175,87,428,0.2342857142857143,2.4457142857142857,2.538,,,14.0,5.0,1.0,15.0,0.5882,0.1053,0.0,6.0
Claude_Opus_4.7,2,4,3,2,0.5,0.5,,,,11.0,6.0,1.0,14.0,0.6364,0.0978,0.0,4.0
Claude_Opus_4.7_+_GPT-5.5_human-in-the-loop,2,42,21,87,0.19047619047619047,2.0714285714285716,,,,22.0,8.0,5.0,22.0,0.4017,0.0112,0.0,8.0
Claude_Opus_4.7_1M_context,31,247,184,695,0.22672064777327935,2.8137651821862346,2.316,2.289,,17.5,7.0,3.0,12.0,0.5,0.1291,0.0,6.0
Antigravity_Multi-Model_Ensemble_Gemini_3.1_Pro_Gemini_3_Flash_Claude_4.6_Sonnet,47,727,513,3139,0.06327372764786796,4.317744154057771,1.821,1.827,2.356,11.0,6.0,1.0,8.0,0.6667,0.1429,0.0,4.0
Aristotle_Harmonic,152,952,741,1577,0.2668067226890756,1.656512605042017,2.572,2.983,,12.0,4.0,1.0,10.0,0.5833,0.2,0.0,4.0
Claude_Opus_4.8_+_Fable_5_multi-agent,32,706,578,3218,0.28611898016997167,4.558073654390935,1.897,1.923,1.791,11.0,4.0,2.0,7.0,0.6667,0.2256,0.0,4.0
Claude_Sonnet_4.6,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Claude_Fable_5,255,3150,1905,18478,0.23333333333333334,5.866031746031746,2.046,2.084,1.983,13.0,4.0,1.0,11.0,0.6,0.0625,0.0,6.0
DeepSeek_V4_Flash,6,3,3,0,1.0,0.0,,,,235.0,130.0,100.0,55.0,0.1823,0.1684,0.2,12.0
DeepSeek_V4_Pro,2,1,1,0,1.0,0.0,,,,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Claude_Opus_4.8_1M_context,26,711,503,2631,0.17440225035161744,3.70042194092827,2.44,2.308,2.402,16.0,6.0,2.0,13.0,0.5882,0.1667,0.0,6.0
