alpha,alpha_err,dL1_mean,dL1_min,depth,edges,eps_crit,f2,frac_axioms,group,max_out_degree,mean_belief_e2,mean_in_degree,modularity,n_modules,name,nodes,ntail,out_gini,theorem,xmin
1.829,0.031,25.15,7.41,33,22825,0.4,1.0,0.05616898703792607,default,949,0.9987,10.957753240518484,0.41,10,euclid_primes_decl,2083,701,0.8180281305030711,0,4
2.431,0.029,3.43,2.67,305,29980,0.15,1.0,0.028280254777070062,default,1128,0.994,1.9095541401273886,0.679,28,euclid_primes_term,15700,2379,0.4587296966555198,161,2
2.477,0.024,3.73,2.64,360,43474,0.1,0.9857,0.04465441366813357,default,1537,0.992,1.875657951505738,0.727,29,sqrt2_term,23178,3648,0.4479455334884101,39,2
