alpha_powerlaw,alpha_xmin10,corpus,fit_status,lr_power_vs_exponential,lr_power_vs_lognormal,lr_power_vs_stretched_exponential,maximum_out_degree,n_tail,name,nodes,p_power_vs_exponential,p_power_vs_lognormal,p_power_vs_stretched_exponential,positive_nodes,schema,xmin
2.0377336872051615,2.0377336872051615,Coq root values,,0.6599903932337796,-1.655536863976938,-1.7696791952802948,165,87,Wilson,5611,0.5092599942893193,0.09781564509391442,0.0767805975948574,5464,shared binary core,10
2.0661595508291213,2.0661595508291213,Coq root values,,1.010629689925802,-1.4692518586744006,-1.566269439995746,166,90,Wilson,5689,0.31219370015029924,0.1417644891210054,0.11728555219021687,5614,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,5,0,Zgcd_is_gcd,24,,,,23,shared binary core,10
,,Coq root values,insufficient tail variation,,,,5,0,Zgcd_is_gcd,24,,,,23,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,25,3,Zis_gcd_bezout,255,,,,247,shared binary core,10
,,Coq root values,insufficient tail variation,,,,25,3,Zis_gcd_bezout,257,,,,253,all normalized constructors,10
2.55826222877584,2.55826222877584,Coq root values,,-2.8074784810717377,-2.120701144298166,-2.219089986239299,57,41,bertrand_ballot,2034,0.004993101570702122,0.03394696017287161,0.02648060316907895,1854,shared binary core,10
2.602317227226155,2.6023172272261546,Coq root values,,-2.7089632952352956,-2.1227625223174793,-2.206567431174746,57,44,bertrand_ballot,2150,0.006749380613092067,0.033773756836220664,0.02734429442531796,2109,all normalized constructors,10
2.3885795957825127,2.388579595782512,Coq root values,,2.143828750127414,-0.20796278760241896,0.07589809461625588,159,47,binomial,2487,0.03204661080999546,0.8352580232805343,0.939500172764786,2417,shared binary core,10
2.402061488865004,2.402061488865004,Coq root values,,2.1811904647749043,-0.20180680638017076,0.09310851813795834,159,48,binomial,2530,0.029169331801807127,0.8400677603065196,0.9258173503401204,2516,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,365,1,birthday_paradox,555,,,,543,shared binary core,10
,,Coq root values,insufficient tail variation,,,,365,1,birthday_paradox,559,,,,553,all normalized constructors,10
2.999999999999999,4.162156944518571,Coq root values,,-1.4611986633966394,-1.3957304415637053,-1.4703195340110526,25,19,card_powerset,988,0.14396092975233316,0.16279568368050734,0.1414752329537794,896,shared binary core,10
2.999999999999999,4.132359325403549,Coq root values,,-1.464302889725329,-1.3723242133550433,-1.4539912154446433,25,19,card_powerset,1000,0.14311120796950846,0.16996253114314896,0.14594874169377034,923,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,26,4,div3,205,,,,202,shared binary core,10
,,Coq root values,insufficient tail variation,,,,26,4,div3,205,,,,202,all normalized constructors,10
1.9931018344631979,1.9931018344631979,Coq root values,,0.875136135355827,-1.1119425048954268,-1.164595455725921,223,64,divisors_correct,4801,0.38149983750876393,0.2661628717178516,0.24418278412261796,4620,shared binary core,10
2.05257034388707,2.05257034388707,Coq root values,,1.4515672872352594,-0.8610427262562148,-0.8935975641368785,223,69,divisors_correct,4893,0.1466219601467811,0.38921451148404473,0.3715372501252405,4793,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,11,1,edivpP,195,,,,187,shared binary core,10
,,Coq root values,insufficient tail variation,,,,11,1,edivpP,199,,,,195,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,4,0,four_color,25,,,,24,shared binary core,10
,,Coq root values,insufficient tail variation,,,,4,0,four_color,25,,,,24,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,20,9,fun_power_series_conv_IR,625,,,,599,shared binary core,10
,,Coq root values,insufficient tail variation,,,,20,9,fun_power_series_conv_IR,636,,,,622,all normalized constructors,10
2.295252371062609,2.295252371062609,Coq root values,,1.521845536942929,-0.84330015387013,-0.8923239771141697,132,68,herron_qin,3847,0.1280477884156475,0.3990605967919436,0.3722193061418798,3734,shared binary core,10
2.2984935269692555,2.2984935269692555,Coq root values,,1.4920546347483141,-0.8751948527830046,-0.9278247574518566,132,69,herron_qin,3904,0.13568482320653077,0.3814678933961674,0.3534984795239823,3857,all normalized constructors,10
2.188109068565258,2.188109068565258,Coq root values,,-0.2164610651298237,-1.3107776678738976,-1.394174112076436,103,52,inclusion_exclusion,3201,0.828628371228652,0.18993288957333454,0.1632650334419825,2806,shared binary core,10
2.2072615004583085,2.2072615004583085,Coq root values,,0.20088554363946162,-1.1305715414685653,-1.198484942904263,103,60,inclusion_exclusion,3509,0.8407880717980245,0.2582354711865015,0.23072828134443324,3354,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,15,3,is_hexamy,112,,,,111,shared binary core,10
,,Coq root values,insufficient tail variation,,,,15,3,is_hexamy,112,,,,111,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,21,4,isosceles_conga,132,,,,128,shared binary core,10
,,Coq root values,insufficient tail variation,,,,21,4,isosceles_conga,133,,,,131,all normalized constructors,10
1.9127338527758302,1.9127338527758302,Coq root values,,6.790382941876052,-1.609576637100302,-1.413900058542981,3230,755,konigsberg_bridges,65917,1.1183628909088425e-11,0.10749031195585855,0.15739124876518562,61518,shared binary core,10
1.9154421739113365,1.9154421739113365,Coq root values,,7.043531568214582,-1.7244543251993865,-1.5454473560542614,3230,814,konigsberg_bridges,69018,1.8742751240225887e-12,0.08462585767536424,0.1222380932256636,68381,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,23,1,mul_adj_mx,155,,,,154,shared binary core,10
,,Coq root values,insufficient tail variation,,,,23,1,mul_adj_mx,155,,,,154,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,6,0,nat_ind,37,,,,28,shared binary core,10
,,Coq root values,insufficient tail variation,,,,6,0,nat_ind,43,,,,40,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,7,0,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,50,,,,49,shared binary core,10
,,Coq root values,insufficient tail variation,,,,7,0,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,50,,,,49,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,55,7,pytha_thm3,601,,,,597,shared binary core,10
,,Coq root values,insufficient tail variation,,,,55,7,pytha_thm3,603,,,,601,all normalized constructors,10
2.329981843781954,2.3299818437819546,Coq root values,,-3.4726439852594364,-2.142616205613995,-2.442967642220026,47,28,pythagoras,1326,0.0005153584884577569,0.03214392880415227,0.01456704329358161,1267,shared binary core,10
2.326162984767646,2.326162984767646,Coq root values,,-3.51695556961286,-2.151697830520472,-2.4623675551580466,47,28,pythagoras,1328,0.00043652684484194923,0.031421161130516115,0.013802313944717017,1271,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,3,0,reals_not_countable,47,,,,45,shared binary core,10
,,Coq root values,insufficient tail variation,,,,3,0,reals_not_countable,47,,,,45,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,5,0,sum_of_two_squares,23,,,,22,shared binary core,10
,,Coq root values,insufficient tail variation,,,,5,0,sum_of_two_squares,23,,,,22,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,20,8,triangle,625,,,,604,shared binary core,10
,,Coq root values,insufficient tail variation,,,,20,8,triangle,637,,,,632,all normalized constructors,10
2.7170911878985535,2.7170911878985535,Human Lean root values,,-3.2222803745518855,-2.0636098481337837,-2.044529355732698,30,12,banach_fixed_point_term,518,0.0012717462195977634,0.039054723102500334,0.040901280403841785,517,shared binary core,10
2.7170911878985535,2.7170911878985535,Human Lean root values,,-3.2222803745518855,-2.0636098481337837,-2.044529355732698,30,12,banach_fixed_point_term,518,0.0012717462195977634,0.039054723102500334,0.040901280403841785,517,all normalized constructors,10
2.474189973501363,2.474189973501363,Human Lean root values,,1.439593603863689,-0.2896368390066994,-0.20590678717005534,126,25,basel_problem_term,1519,0.14998241028170756,0.7720940809695209,0.8368637236578169,1518,shared binary core,10
2.474189973501363,2.474189973501363,Human Lean root values,,1.439593603863689,-0.2896368390066994,-0.20590678717005534,126,25,basel_problem_term,1519,0.14998241028170756,0.7720940809695209,0.8368637236578169,1518,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,0,0,bertrand_postulate_term,1,,,,0,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,0,0,bertrand_postulate_term,1,,,,0,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,26,6,bezout_gcd_term,245,,,,244,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,26,6,bezout_gcd_term,245,,,,244,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,6,0,binomial_theorem_term,38,,,,37,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,6,0,binomial_theorem_term,38,,,,37,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,19,2,cantor_theorem_term,190,,,,189,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,19,2,cantor_theorem_term,190,,,,189,all normalized constructors,10
2.2643340777250724,2.264334077725072,Human Lean root values,,-0.9448961577315433,-0.9567005758419449,-1.0085186676963067,56,23,cayley_hamilton_term,1123,0.3447118933275706,0.3387184074015659,0.31320553052085987,1122,shared binary core,10
2.2643340777250724,2.264334077725072,Human Lean root values,,-0.9448961577315433,-0.9567005758419449,-1.0085186676963067,56,23,cayley_hamilton_term,1123,0.3447118933275706,0.3387184074015659,0.31320553052085987,1122,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,60,4,divergence_harmonic_term,519,,,,518,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,60,4,divergence_harmonic_term,519,,,,518,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,17,2,euclid_infinite_primes_term,148,,,,147,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,17,2,euclid_infinite_primes_term,148,,,,147,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,8,0,extreme_value_term,93,,,,92,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,8,0,extreme_value_term,93,,,,92,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,58,9,fermat_last_four_term,492,,,,491,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,58,9,fermat_last_four_term,492,,,,491,all normalized constructors,10
2.7368008431953292,2.7368008431953292,Human Lean root values,,0.8999689254132779,-0.4227042203842054,-0.46216179309219774,100,29,fermat_last_three_term,1463,0.36813678790311144,0.6725110760080126,0.6439652998697613,1462,shared binary core,10
2.7368008431953292,2.7368008431953292,Human Lean root values,,0.8999689254132779,-0.4227042203842054,-0.46216179309219774,100,29,fermat_last_three_term,1463,0.36813678790311144,0.6725110760080126,0.6439652998697613,1462,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,19,4,fermat_little_term,274,,,,273,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,19,4,fermat_little_term,274,,,,273,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,129,3,fta_complex_term,674,,,,673,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,129,3,fta_complex_term,674,,,,673,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,40,5,ftc_term,314,,,,313,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,40,5,ftc_term,314,,,,313,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,41,2,fund_thm_arithmetic_term,282,,,,281,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,41,2,fund_thm_arithmetic_term,282,,,,281,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,15,3,intermediate_value_term,202,,,,201,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,15,3,intermediate_value_term,202,,,,201,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,14,2,lagrange_subgroup_term,123,,,,122,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,14,2,lagrange_subgroup_term,123,,,,122,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,0,0,law_of_cosines_term,1,,,,0,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,0,0,law_of_cosines_term,1,,,,0,all normalized constructors,10
2.5049805717058153,2.504980571705815,Human Lean root values,,1.3722581758982446,-0.11237943086614838,0.10574502677330917,308,47,leibniz_pi_term,2934,0.16998308069626222,0.9105225637968979,0.9157846544028461,2933,shared binary core,10
2.5049805717058153,2.504980571705815,Human Lean root values,,1.3722581758982446,-0.11237943086614838,0.10574502677330917,308,47,leibniz_pi_term,2934,0.16998308069626222,0.9105225637968979,0.9157846544028461,2933,all normalized constructors,10
2.7774818984662404,2.777481898466241,Human Lean root values,,1.4752665614758158,-1.0193825476907663,0.5042169977975761,163,32,liouville_term,1881,0.14014089261322096,0.3080213883029985,0.614108897025766,1880,shared binary core,10
2.7774818984662404,2.777481898466241,Human Lean root values,,1.4752665614758158,-1.0193825476907663,0.5042169977975761,163,32,liouville_term,1881,0.14014089261322096,0.3080213883029985,0.614108897025766,1880,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,35,1,mean_value_term,170,,,,169,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,35,1,mean_value_term,170,,,,169,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,95,7,mvt2_term,549,,,,548,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,95,7,mvt2_term,549,,,,548,all normalized constructors,10
2.5040232233467528,2.5040232233467528,Human Lean root values,,1.35232004250292,-0.5723430062576619,-0.5842429895904596,265,84,pi_irrational2_term,4345,0.17627295547913957,0.5670896194565377,0.559056842234382,4344,shared binary core,10
2.5040232233467528,2.5040232233467528,Human Lean root values,,1.35232004250292,-0.5723430062576619,-0.5842429895904596,265,84,pi_irrational2_term,4345,0.17627295547913957,0.5670896194565377,0.559056842234382,4344,all normalized constructors,10
2.247536684233202,2.247536684233202,Human Lean root values,,-0.13354721485113163,-1.465870974082967,-1.4842538768112552,195,67,ptolemy_term,3739,0.8937606265964351,0.14268344086258708,0.13774158146601384,3738,shared binary core,10
2.247536684233202,2.247536684233202,Human Lean root values,,-0.13354721485113163,-1.465870974082967,-1.4842538768112552,195,67,ptolemy_term,3739,0.8937606265964351,0.14268344086258708,0.13774158146601384,3738,all normalized constructors,10
2.311036789116166,2.3110367891161654,Human Lean root values,,-1.4782745676011069,-1.600068540956332,-1.7579608300206018,78,27,quadratic_reciprocity_term,1669,0.13933430206542127,0.10958337899267066,0.07875417433164095,1668,shared binary core,10
2.311036789116166,2.3110367891161654,Human Lean root values,,-1.4782745676011069,-1.600068540956332,-1.7579608300206018,78,27,quadratic_reciprocity_term,1669,0.13933430206542127,0.10958337899267066,0.07875417433164095,1668,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,1,0,reals_uncountable_term,5,,,,4,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,1,0,reals_uncountable_term,5,,,,4,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,7,0,schroeder_bernstein_term,109,,,,108,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,7,0,schroeder_bernstein_term,109,,,,108,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,2,0,sqrt2_irrational_term,12,,,,11,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,2,0,sqrt2_irrational_term,12,,,,11,all normalized constructors,10
2.60339332931341,2.60339332931341,Human Lean root values,,1.2070772749036238,-0.04595880555593099,0.16747780366556056,159,24,stirling_term,1730,0.2274023857119457,0.9633430835966281,0.8669941109686026,1729,shared binary core,10
2.60339332931341,2.60339332931341,Human Lean root values,,1.2070772749036238,-0.04595880555593099,0.16747780366556056,159,24,stirling_term,1730,0.2274023857119457,0.9633430835966281,0.8669941109686026,1729,all normalized constructors,10
2.3003254794451298,2.3003254794451298,Human Lean root values,,2.242581777126959,-0.23088165541745975,0.11515981312245592,97,60,strong_law_large_numbers_term,2529,0.024923796442053774,0.8174067425980789,0.9083184511801933,2528,shared binary core,10
2.3003254794451298,2.3003254794451298,Human Lean root values,,2.242581777126959,-0.23088165541745975,0.11515981312245592,97,60,strong_law_large_numbers_term,2529,0.024923796442053774,0.8174067425980789,0.9083184511801933,2528,all normalized constructors,10
,,Human Lean root values,insufficient tail variation,,,,21,5,sylow_theorem_term,302,,,,301,shared binary core,10
,,Human Lean root values,insufficient tail variation,,,,21,5,sylow_theorem_term,302,,,,301,all normalized constructors,10
2.3763695390700095,2.3763695390700095,Human Lean root values,,-0.5404862830890287,-1.0601735432395558,-1.1082267470446625,66,34,wilsons_lemma_term,1860,0.5888617181463238,0.28906565495574277,0.26776390223871593,1859,shared binary core,10
2.3763695390700095,2.3763695390700095,Human Lean root values,,-0.5404862830890287,-1.0601735432395558,-1.1082267470446625,66,34,wilsons_lemma_term,1860,0.5888617181463238,0.28906565495574277,0.26776390223871593,1859,all normalized constructors,10
2.4812569000599787,2.4812569000599787,Matched human Lean root values,,1.9266468678150117,-0.637881037342418,-0.6194237538452564,206,122,pair_00b23e63,4674,0.05402365357870369,0.523551122473636,0.5356372366796275,4673,shared binary core,10
2.4812569000599787,2.4812569000599787,Matched human Lean root values,,1.9266468678150117,-0.637881037342418,-0.6194237538452564,206,122,pair_00b23e63,4674,0.05402365357870369,0.523551122473636,0.5356372366796275,4673,all normalized constructors,10
2.283974737375182,2.2839747373751815,Matched AI Lean root values,,1.073715880673108,-0.9695915643327057,-1.031881221484813,145,61,pair_00b23e63,2956,0.2829500415253463,0.3322501193806222,0.3021277639638148,2955,shared binary core,10
2.283974737375182,2.2839747373751815,Matched AI Lean root values,,1.073715880673108,-0.9695915643327057,-1.031881221484813,145,61,pair_00b23e63,2956,0.2829500415253463,0.3322501193806222,0.3021277639638148,2955,all normalized constructors,10
2.4288609245281743,2.4288609245281743,Matched human Lean root values,,2.344965238429925,-0.3414728886941119,-0.09012173033769261,200,79,pair_01eb3f84,4110,0.01902885362125103,0.7327476113577774,0.9281904811706427,4109,shared binary core,10
2.4288609245281743,2.4288609245281743,Matched human Lean root values,,2.344965238429925,-0.3414728886941119,-0.09012173033769261,200,79,pair_01eb3f84,4110,0.01902885362125103,0.7327476113577774,0.9281904811706427,4109,all normalized constructors,10
2.4059942462529684,2.4059942462529684,Matched AI Lean root values,,1.811379672404234,-0.9299254754935213,-0.9738421303747695,166,93,pair_01eb3f84,4304,0.07008210037731635,0.3524096717176264,0.3301349308462044,4303,shared binary core,10
2.4059942462529684,2.4059942462529684,Matched AI Lean root values,,1.811379672404234,-0.9299254754935213,-0.9738421303747695,166,93,pair_01eb3f84,4304,0.07008210037731635,0.3524096717176264,0.3301349308462044,4303,all normalized constructors,10
,,Matched human Lean root values,insufficient tail variation,,,,6,0,pair_064daf4b,83,,,,82,shared binary core,10
,,Matched human Lean root values,insufficient tail variation,,,,6,0,pair_064daf4b,83,,,,82,all normalized constructors,10
,,Matched AI Lean root values,insufficient tail variation,,,,6,0,pair_064daf4b,110,,,,109,shared binary core,10
,,Matched AI Lean root values,insufficient tail variation,,,,6,0,pair_064daf4b,110,,,,109,all normalized constructors,10
2.26075381673887,2.2607538167388697,Matched human Lean root values,,1.7916036973101237,-1.6350009819499347,-1.649838131687012,470,264,pair_06e244fd,11225,0.07319647046262016,0.1020488417749628,0.09897604739031995,11224,shared binary core,10
2.26075381673887,2.2607538167388697,Matched human Lean root values,,1.7916036973101237,-1.6350009819499347,-1.649838131687012,470,264,pair_06e244fd,11225,0.07319647046262016,0.1020488417749628,0.09897604739031995,11224,all normalized constructors,10
2.2441292180635717,2.2441292180635717,Matched AI Lean root values,,1.6545683043138402,-1.7612773505105128,-1.7710974018984926,476,262,pair_06e244fd,11309,0.09801209731887064,0.07819147164342169,0.0765445059937975,11308,shared binary core,10
