alpha_powerlaw,alpha_xmin10,corpus,fit_status,lr_power_vs_exponential,lr_power_vs_lognormal,lr_power_vs_stretched_exponential,maximum_out_degree,n_tail,name,nodes,p_power_vs_exponential,p_power_vs_lognormal,p_power_vs_stretched_exponential,positive_nodes,schema,xmin
2.248610099173727,2.2486100991737272,Coq root values,,-1.347699984918085,-2.59846406963842,-2.6714531313520635,119,101,Alt_PI_eq,5267,0.17775489694532554,0.009364184444369384,0.007552361851885146,4898,shared binary core,10
2.2526333192172343,2.252633319217235,Coq root values,,-1.3346635561176412,-2.6003482324476797,-2.667259319243646,119,103,Alt_PI_eq,5428,0.18198648642802928,0.00931292026768073,0.00764726408322756,5246,all normalized constructors,10
2.999999999999999,3.3352331189085067,Coq root values,,-0.7619059811616874,-1.197072828377524,-1.292921455802661,35,20,Bertrand,1167,0.4461161199727084,0.23127816959587144,0.19603822592095022,1106,shared binary core,10
2.999999999999999,3.3352331189085067,Coq root values,,-0.7619059811616874,-1.197072828377524,-1.292921455802661,35,20,Bertrand,1197,0.4461161199727084,0.23127816959587144,0.19603822592095022,1182,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,11,2,CSB,74,,,,69,shared binary core,10
,,Coq root values,insufficient tail variation,,,,11,2,CSB,75,,,,71,all normalized constructors,10
2.0908966252574728,2.0908966252574728,Coq root values,,1.320858904615909,-1.5897593858415102,-1.6896920926514132,241,121,Cardan_Tartaglia,8015,0.18654841453037707,0.11188905187018261,0.09108687683227705,7504,shared binary core,10
2.0918794022116196,2.0918794022116196,Coq root values,,1.3009263749850966,-1.6164310657522623,-1.7165892896908452,241,123,Cardan_Tartaglia,8253,0.19328365716859663,0.10600114625237281,0.08605424077635442,8024,all normalized constructors,10
2.0864175923161437,2.0864175923161437,Coq root values,,-1.4766843470326152,-1.5191228209856635,-1.6054471775498675,99,28,Cauchy_Schwarz_inequality,1643,0.13976026997189564,0.12873158341088659,0.10839542905325573,1591,shared binary core,10
2.1188538366040444,2.1188538366040444,Coq root values,,-1.1991237240744317,-1.396508055416882,-1.4735838100066223,99,29,Cauchy_Schwarz_inequality,1678,0.23047984052181592,0.16256155654977522,0.1405936830849513,1664,all normalized constructors,10
2.999999999999999,4.467419477795104,Coq root values,,-1.7456184582382088,-1.756643568675121,-1.8526397758595847,25,26,Cayley_Hamilton,971,0.08087727267048228,0.0789785817901064,0.06393400731923217,914,shared binary core,10
2.999999999999999,4.467419477795104,Coq root values,,-1.7456184582382088,-1.756643568675121,-1.8526397758595847,25,26,Cayley_Hamilton,982,0.08087727267048228,0.0789785817901064,0.06393400731923217,938,all normalized constructors,10
2.4650374903755976,2.4650374903755976,Coq root values,,-1.313401295209183,-1.1555740185049486,-1.2605455999342248,50,31,Ceva,2040,0.18904776130640566,0.247855440393688,0.20747260890015218,1793,shared binary core,10
2.44115495490525,2.44115495490525,Coq root values,,-1.5216052277948349,-1.2438290970909747,-1.3612665965557553,50,32,Ceva,2060,0.12810802686200842,0.2135624689924488,0.17342945506933571,1843,all normalized constructors,10
2.367502379596319,2.367502379596319,Coq root values,,-1.190987422270043,-1.3258173665713748,-1.4377861439972985,72,32,Desargues,2032,0.23365852259930298,0.18490019915910882,0.1504947419813607,1889,shared binary core,10
2.366755877376483,2.366755877376483,Coq root values,,-1.3373363242902248,-1.4012304326000313,-1.5251126983688996,72,33,Desargues,2055,0.18111287914308516,0.16114517662344074,0.1272309904751914,1946,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,6,0,Euler_Poincare_criterion,40,,,,38,shared binary core,10
,,Coq root values,insufficient tail variation,,,,6,0,Euler_Poincare_criterion,40,,,,38,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,28,8,Euler_exp_totient,613,,,,587,shared binary core,10
,,Coq root values,insufficient tail variation,,,,28,8,Euler_exp_totient,624,,,,610,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,6,0,FTA,81,,,,79,shared binary core,10
,,Coq root values,insufficient tail variation,,,,6,0,FTA,81,,,,79,all normalized constructors,10
2.5781015957112254,2.578101595711225,Coq root values,,-1.3337146817636394,-1.2123672275723152,-1.2429149948291531,49,18,FTC1,1174,0.18229738128222195,0.22537184011553824,0.21389915948649352,1136,shared binary core,10
2.5781015957112254,2.578101595711225,Coq root values,,-1.3337146817636394,-1.2123672275723152,-1.2429149948291531,49,18,FTC1,1181,0.18229738128222195,0.22537184011553824,0.21389915948649352,1152,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,11,2,Goedel_sIncompleteness1st,215,,,,200,shared binary core,10
,,Coq root values,insufficient tail variation,,,,11,2,Goedel_sIncompleteness1st,221,,,,213,all normalized constructors,10
2.340371583286749,2.340371583286749,Coq root values,,-4.038467767817203,-2.8907822559166427,-2.5572380890853115,36,13,IVT_cor,612,5.380148434617351e-05,0.003842842739558918,0.010550697637761133,562,shared binary core,10
2.4358832472647163,2.435883247264716,Coq root values,,-2.6161086063764194,-1.7142871317708899,-1.788658820684903,36,14,IVT_cor,643,0.008893826347294102,0.08647600529140484,0.07366977862573283,631,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,8,0,Lagrange,143,,,,133,shared binary core,10
,,Coq root values,insufficient tail variation,,,,8,0,Lagrange,148,,,,144,all normalized constructors,10
2.8329341851649357,2.8329341851649357,Coq root values,,0.4381648761380074,-0.25476665830231865,-0.25811724672682834,46,18,Law_of_the_Mean,1107,0.6612667680510048,0.7989033285048065,0.7963164215079586,1097,shared binary core,10
2.8329341851649357,2.8329341851649357,Coq root values,,0.4381648761380074,-0.25476665830231865,-0.25811724672682834,46,18,Law_of_the_Mean,1108,0.6612667680510048,0.7989033285048065,0.7963164215079586,1099,all normalized constructors,10
2.999999999999999,3.917986182701639,Coq root values,,-1.9388365631139768,-1.6623145595107016,-1.7744087388907661,27,17,Liouville_theorem,1040,0.05252124241360535,0.0964497200394545,0.07599556540751162,979,shared binary core,10
2.999999999999999,3.86664975836998,Coq root values,,-2.327302611147596,-1.7986822536146374,-1.9295521272307108,27,19,Liouville_theorem,1094,0.019949164904013803,0.0720689577003894,0.053662355351313556,1071,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,7,0,Pigeonhole,108,,,,97,shared binary core,10
,,Coq root values,insufficient tail variation,,,,7,0,Pigeonhole,110,,,,102,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,19,4,Q_countable,301,,,,248,shared binary core,10
,,Coq root values,insufficient tail variation,,,,19,4,Q_countable,338,,,,316,all normalized constructors,10
1.9636314393438563,1.9636314393438563,Coq root values,,4.768323750515701,-1.0067934518332076,1.3195770570527179,1502,186,Quadratic_reciprocity,20881,1.8576508877133913e-06,0.3140340420409584,0.18697626709656168,19923,shared binary core,10
1.9767599671774043,1.976759967177404,Coq root values,,4.774497634884016,-1.0065813851881966,1.3373057904752101,1502,193,Quadratic_reciprocity,21097,1.801564004617814e-06,0.3141359835753408,0.18112284165859172,20343,all normalized constructors,10
,,Coq root values,insufficient tail variation,,,,7,0,Strict_Rel_is_Strict_Included,44,,,,37,shared binary core,10
,,Coq root values,insufficient tail variation,,,,7,0,Strict_Rel_is_Strict_Included,48,,,,46,all normalized constructors,10
2.228805143587775,2.2288051435877745,Coq root values,,0.8463457748358839,-1.2435047344957064,-1.265396193755552,287,90,Sylow_s_theorem,5154,0.3973598789427343,0.21368189738452492,0.20572933896538803,4890,shared binary core,10
2.25558751242328,2.25558751242328,Coq root values,,0.8996163859683175,-1.2343279810818102,-1.2528595118335308,287,95,Sylow_s_theorem,5280,0.3683244340048656,0.21708071338882617,0.2102568389471431,5115,all normalized constructors,10
2.5742081701312305,2.5742081701312305,Coq root values,,-2.8503055439190543,-1.6201076819646185,-1.8641141388426135,35,17,Taylor,964,0.004367724873843519,0.10520914753164672,0.06230567741602148,945,shared binary core,10
2.5742081701312305,2.5742081701312305,Coq root values,,-2.8503055439190543,-1.6201076819646185,-1.8641141388426135,35,17,Taylor,971,0.004367724873843519,0.10520914753164672,0.06230567741602148,964,all normalized constructors,10
