pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_00b23e63,cn_contest,a,175,0.6639408667375254,0.00234098,4.255984999999993,3,-0.9344410466244959,-0.9761761047048779,-0.7984743417061625,-0.8402093997865445
pair_00b23e63,cn_contest,h,214,0.5912467426248209,0.000573979,3.7060274999999994,5,0.5706325352573998,0.6710580140054183,0.28846695446455,0.3888924332125686
pair_01eb3f84,olympiads,a,807,0.5198095650756556,0.000614828,3.5005049999999995,18,0.3040955708145,0.35134726834360364,0.6771600809353056,0.7244117784644092
pair_01eb3f84,olympiads,h,460,1.1799474358041306,0.029814300000000002,7.293034499999986,4,-0.32023094681250003,-0.31245673267127405,-0.5095155597499998,-0.5017413456087739
pair_064daf4b,olympiads,a,75,1.455477382218,0.0461881,8.44328,2,-0.5443014089999999,-0.45570765901989796,2.19113183,2.2797255799801017
pair_064daf4b,olympiads,h,68,0.9894413461129413,0.005240725,7.207967999999998,1,0.006871416700000001,0.12473696681862748,0.972473072775,1.0903386228936274
pair_06e244fd,olympiads,a,1058,0.3027042007781891,0.000131677,1.8159649999999996,13,-0.3382841086108461,-0.3334519549534232,-0.2251092000548846,-0.22027704639746173
pair_06e244fd,olympiads,h,1051,0.34635526442056325,0.000268258,1.997825,15,-0.3977824916248939,-0.3833893131857805,-0.009711069393862246,0.004682109045251273
pair_070c0d6f,amc_aime,a,149,0.9849062182784766,0.042044,4.794713999999995,0,,,,
pair_070c0d6f,amc_aime,h,656,0.7915650682178325,0.0004708205,4.9262175,8,1.438918989195,1.5475677319987065,1.95344500776375,2.0620937505674566
pair_0a7bd2c7,secondary_math,a,207,0.6244544607412028,0.0020554,3.6588249999999984,0,,,,
pair_0a7bd2c7,secondary_math,h,159,0.9346485283411636,0.0440785,4.766022999999996,0,,,,
pair_0a891d0e,cn_contest,a,157,0.9403930091579249,0.00789626,5.061085999999994,2,-0.27623745275149997,-0.21293279483627095,0.31759002526875,0.380894683183979
pair_0a891d0e,cn_contest,h,109,1.0789739682019266,0.036968,5.989057999999995,0,,,,
pair_0a983018,olympiads_ref,a,640,0.5143720468017593,0.000880638,2.9968764999999973,14,0.1369101155816606,0.1284558931829609,-0.3940141968341965,-0.40246841923289617
pair_0a983018,olympiads_ref,h,387,1.0409508581555558,0.0505114,5.9807649999999954,1,4.093127775,4.115823707824324,2.40569895,2.4283948828243243
pair_0b123512,math_train,a,122,1.228818503931295,0.1164425,6.974877499999995,0,,,,
pair_0b123512,math_train,h,708,1.081117169123125,0.02684325,7.402822,5,1.1808405294,1.215603077664006,-0.6817921109499999,-0.647029562685994
pair_0bc9ff8b,math_test,a,182,1.1215044530006022,0.04182005,5.709764499999996,4,0.07976606176282486,0.08731710952261507,-0.29345573377178763,-0.2859046860119974
pair_0bc9ff8b,math_test,h,86,1.9651229687294192,1.0791,7.13764,0,,,,
pair_0c9ecd6b,math_train,a,376,0.7816572568206167,0.012895799999999999,4.02078,10,-0.6490164115086624,-0.6544929029089912,-0.5127756521439341,-0.5182521435442629
pair_0c9ecd6b,math_train,h,87,0.9453254291872171,0.236592,4.1150530000000005,1,-1.3116053250000002,-1.2705076274707359,-1.3600841533,-1.3189864557707358
pair_0f3deadd,math_train,a,138,1.1504745527926956,0.02389855,6.498945000000001,1,2.235966125,2.1894253555725207,1.1417667150000002,1.0952259455725208
pair_0f3deadd,math_train,h,119,1.018798786037227,0.0217299,6.492839999999999,0,,,,
pair_0f421760,amc_aime,a,135,1.1103066348140742,0.26226,4.869857999999999,0,,,,
pair_0f421760,amc_aime,h,635,1.0564287855741732,0.0329348,5.83055599999999,7,-1.2176996990928572,-1.2303083918739475,-0.37125742787785715,-0.3838661206589475
pair_0f905113,math_test,a,453,0.6259133673783576,0.000661066,4.335183999999994,4,0.7857588735525001,0.8402934165956406,0.783674423507875,0.8382089665510155
pair_0f905113,math_test,h,363,1.4280127725509613,0.0658015,7.273926999999991,3,-1.6065387314999997,-1.5305981020901216,-0.14909478733333303,-0.07315415792345492
pair_11362c17,secondary_math,a,271,0.33926857122726195,3.904e-05,2.404785,0,,,,
pair_11362c17,secondary_math,h,239,0.3769943556798795,4.76051e-05,2.5718229999999997,0,,,,
pair_121126b4,math_train,a,316,0.8824174315067248,0.00838765,5.3907175,6,0.4440760641416667,0.47149396764329077,-0.04509699778750001,-0.017679094285876
pair_121126b4,math_train,h,196,1.423573404642602,0.17652099999999998,7.77713,1,2.932123585,2.910893342514944,0.13736308500000005,0.1161328425149442
pair_136afae1,olympiads,a,320,0.7163136379594844,0.004610195,4.147829500000001,5,1.10640366502195,1.2151718249824726,1.2750805263631002,1.3838486863236226
pair_136afae1,olympiads,h,258,1.1417830116610348,0.0172561,5.98264949999999,4,0.7798407904012501,0.955251505492583,1.7158373721249998,1.8912480872163329
pair_13d805d4,amc_aime,a,224,1.107051384901607,0.02037075,5.7236255,3,-1.4716263104991665,-1.2072706969933333,0.3664791870416669,0.6308348005475003
pair_13d805d4,amc_aime,h,272,1.0888695926358603,0.01228775,6.749700499999998,3,2.0195657467916672,2.134159068585021,-0.990378132075,-0.8757848102816457
pair_13dbafa5,math_train,a,107,0.6843258426666822,0.00665206,4.472885999999995,1,-0.0741201225,-0.044368044749444446,0.15625540575,0.18600748350055554
pair_13dbafa5,math_train,h,99,1.5314730717836362,0.07679,8.092814999999995,0,,,,
pair_1435e660,olympiads,a,720,0.3588762672918502,0.00020001049999999999,1.4579494999999996,17,-0.06234254980372061,-0.07217260083060499,-0.10038226596063247,-0.11021231698751674
pair_1435e660,olympiads,h,322,0.69886446596732,0.009111115,4.347926,9,0.30746440673388886,0.35241831357852405,0.3269828219005555,0.37193672874519074
pair_149000e5,aops_forum,a,262,0.7338939273321985,0.00294832,3.9690514999999995,2,-2.3566942372812503,-2.347868285954672,-1.9810057038500002,-1.972179752523422
pair_149000e5,aops_forum,h,173,0.828290579135763,0.0078675,5.230448000000004,0,,,,
pair_149fe16f,olympiads_ref,a,251,0.7192242410524302,0.000912993,4.35543,5,0.276129226268,0.23821825412002023,-0.31758974105750004,-0.3555007132054798
pair_149fe16f,olympiads_ref,h,263,0.8825249629240305,0.00367152,4.6045599999999975,5,1.1849851110350003,1.1771354560379763,-0.311770933215,-0.31962058821202377
pair_152731e7,olympiads,a,306,0.8637353297498366,0.008565495,3.921335,7,-0.4366020892821428,-0.3967001404451534,-0.7884900924582141,-0.7485881436212248
pair_152731e7,olympiads,h,281,1.3506018449040214,0.0781081,8.63944,4,-1.05632601861875,-1.013334647401134,-0.11406680705624998,-0.07107543583863388
pair_1565703f,cn_k12,a,118,1.7443899273686438,0.811716,5.465248999999992,0,,,,
pair_1565703f,cn_k12,h,167,2.1384605757245505,0.918222,8.740103999999997,0,,,,
pair_171e8749,amc_aime,a,191,0.4327632893122303,0.000786677,3.1759899999999996,4,0.3812325591824375,0.4798683863661059,-0.6268828657150625,-0.5282470385313941
pair_171e8749,amc_aime,h,159,1.1762855724601948,0.0696281,5.910025999999994,0,,,,
pair_17275427,amc_aime,a,112,1.2527608640821681,0.14062,5.516518999999981,0,,,,
pair_17275427,amc_aime,h,94,1.791060520693617,0.384236,8.051719499999995,0,,,,
pair_17a4d7d8,olympiads,a,486,0.6488950989750628,0.000977179,4.1724725000000005,10,0.039009061301480005,0.0010939675161508095,-0.04248785099542487,-0.08040294478075402
pair_17a4d7d8,olympiads,h,196,1.5615269395918372,0.236485,7.4339224999999995,0,,,,
pair_19517b6c,olympiads,a,880,0.45195261207552667,0.00018818,3.0463314999999973,20,-0.027929049193199995,-0.02643053143915769,0.009978905311749975,0.011477423065792292
pair_19517b6c,olympiads,h,1015,1.1498043801532642,0.0201874,7.202032999999987,9,0.5856085949555556,0.6460889179097942,1.3918428617194443,1.4523231846736833
pair_19f291ba,math_test,a,549,0.9084983004503494,0.00690231,5.528680000000005,9,0.3385423634365845,0.4060445137255089,1.1374482341239094,1.2049503844128338
pair_19f291ba,math_test,h,521,1.180279205218896,0.0205173,7.06243,8,0.49731317727866553,0.5698759952887396,1.3123007535605407,1.3848635715706146
pair_1d99af92,cn_k12,a,503,0.6239366436794979,0.00101724,3.8187069999999914,6,0.4238657746841376,0.42705771398873543,-0.4591388790710916,-0.4559469397664939
pair_1d99af92,cn_k12,h,630,1.2546828442122349,0.07188459999999999,6.879920999999993,6,0.5595931742916668,0.6262635603056631,2.065021101433333,2.13169148744733
pair_1e273c45,math_test,a,1495,0.2755270323863669,2.33604e-05,1.7058619999999978,17,-0.22505519906774607,-0.22375727130704717,0.026065729576823102,0.02736365733752197
pair_1e273c45,math_test,h,665,1.0515052049245368,0.006596,7.533883999999994,6,1.4063733029172498,1.4449678983375385,1.7228107786558338,1.761405374076122
pair_1e4638c2,olympiads,a,440,0.5013997468350584,0.000357864,3.215306999999987,10,0.8800376876694177,0.9663574046651451,1.348168867876375,1.4344885848721023
pair_1e4638c2,olympiads,h,206,1.4720509231473546,0.105829,8.82134,1,-0.04092559374999949,0.06751272595508649,-0.08857246874999936,0.019865850955086625
