rank_within_side,pair,side,source,root_nodes,root_node_digits,source_claims,term_lets,matched
1,pair_e24e2569,h,olympiads,81016654.0,8.0,7,40.0,7.0
2,pair_d2343074,h,aops_forum,13618665.0,8.0,0,0.0,0.0
3,pair_cc4ae138,h,olympiads,12120434.0,8.0,14,16.0,14.0
4,pair_57c4dba0,h,aops_forum,10451381.0,8.0,0,0.0,0.0
5,pair_659419e1,h,olympiads,9985180.0,7.0,3,27.0,3.0
6,pair_271fa579,h,olympiads,8134927.0,7.0,18,18.0,18.0
7,pair_326a8dc3,h,cn_contest,7466210.0,7.0,25,25.0,25.0
8,pair_bd329034,h,olympiads,7073288.0,7.0,30,42.0,30.0
9,pair_ae9ff2a1,h,olympiads_ref,6947448.0,7.0,7,10.0,7.0
10,pair_bde52c9a,h,math_train,6663169.0,7.0,1,1.0,1.0
11,pair_d746cf8d,h,aops_forum,6481111.0,7.0,10,47.0,10.0
12,pair_ce95c511,h,aops_forum,5830133.0,7.0,0,0.0,0.0
13,pair_bf476baa,h,inequalities,5649211.0,7.0,0,6.0,0.0
14,pair_7580a01f,h,olympiads,4809187.0,7.0,7,13.0,6.0
15,pair_1e273c45,h,math_test,4569468.0,7.0,6,19.0,6.0
16,pair_48881c66,h,amc_aime,4444739.0,7.0,2,8.0,2.0
17,pair_149fe16f,h,olympiads_ref,4404192.0,7.0,5,5.0,5.0
18,pair_c7a11f6b,h,math_train,4330115.0,7.0,0,0.0,0.0
19,pair_11362c17,h,secondary_math,3913883.0,7.0,0,0.0,0.0
20,pair_2a66f969,h,olympiads,3796240.0,7.0,6,6.0,6.0
1,pair_c4fe0db7,a,olympiads,31972160.0,8.0,12,12.0,12.0
2,pair_326a8dc3,a,cn_contest,21141333.0,8.0,9,13.0,9.0
3,pair_71cf0c00,a,olympiads,19025729.0,8.0,0,0.0,0.0
4,pair_e21630bd,a,olympiads,13160318.0,8.0,13,30.0,13.0
5,pair_66b87803,a,cn_k12,12605616.0,8.0,5,15.0,5.0
6,pair_57c4dba0,a,aops_forum,10937767.0,8.0,0,0.0,0.0
7,pair_271fa579,a,olympiads,10673686.0,8.0,3,3.0,3.0
8,pair_e45dd21b,a,amc_aime,9997741.0,7.0,0,12.0,0.0
9,pair_1e273c45,a,math_test,9706268.0,7.0,17,19.0,17.0
10,pair_e24e2569,a,olympiads,8950584.0,7.0,13,13.0,13.0
11,pair_78234522,a,olympiads_ref,8651459.0,7.0,11,11.0,11.0
12,pair_bd329034,a,olympiads,7073288.0,7.0,30,42.0,30.0
13,pair_d96197fd,a,inequalities,6328275.0,7.0,0,0.0,0.0
14,pair_4cffc8e6,a,amc_aime,6153079.0,7.0,59,64.0,59.0
15,pair_659419e1,a,olympiads,5667148.0,7.0,20,24.0,20.0
16,pair_bf476baa,a,inequalities,5654852.0,7.0,3,3.0,3.0
17,pair_965e479d,a,olympiads_ref,4942028.0,7.0,10,12.0,10.0
18,pair_e83bd10d,a,math_test,4710646.0,7.0,10,12.0,10.0
19,pair_4d25cb85,a,olympiads,4424566.0,7.0,35,38.0,35.0
20,pair_512e1ab2,a,olympiads,4343126.0,7.0,23,23.0,23.0
