pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_00b23e63,cn_contest,a,175,0.6639408667375254,0.00234098,4.255984999999993,3,-0.4802393413397481,-0.4927995334809274,-0.4780106899562064,-0.4905708820973857
pair_00b23e63,cn_contest,h,214,0.5912467426248209,0.000573979,3.7060274999999994,5,0.5238601530531998,0.7036097588209489,0.21288727786372502,0.3926368836314741
pair_01eb3f84,olympiads,a,807,0.5198095650756556,0.000614828,3.5005049999999995,18,0.29208758173158333,0.39349640920056883,0.32390842948258336,0.4253172569515688
pair_01eb3f84,olympiads,h,460,1.1799474358041306,0.029814300000000002,7.293034499999986,4,0.006752658781249948,-0.0004206049195479289,0.13772765637499998,0.13055439267420205
pair_064daf4b,olympiads,a,75,1.455477382218,0.0461881,8.44328,2,0.10701929225624973,0.7025955478687496,0.6179801864437499,1.2135564420562497
pair_064daf4b,olympiads,h,68,0.9894413461129413,0.005240725,7.207967999999998,1,0.47570675097500004,0.8506831135821429,0.7285602904249999,1.1035366530321427
pair_06e244fd,olympiads,a,1058,0.3027042007781891,0.000131677,1.8159649999999996,13,-0.07145281844150712,-0.04570560518149269,0.12287081739729097,0.14861803065730544
pair_06e244fd,olympiads,h,1051,0.34635526442056325,0.000268258,1.997825,15,0.009839653659836401,0.046256032014847986,0.2309087154049189,0.2673250937599306
pair_070c0d6f,amc_aime,a,149,0.9849062182784766,0.042044,4.794713999999995,2,-0.058527583302499964,0.027791020876497485,-0.44828945893374994,-0.36197085475475244
pair_070c0d6f,amc_aime,h,656,0.7915650682178325,0.0004708205,4.9262175,8,1.3574567856403128,1.4140410283761122,0.8730697328095469,0.9296539755453463
pair_0a7bd2c7,secondary_math,a,207,0.6244544607412028,0.0020554,3.6588249999999984,0,,,,
pair_0a7bd2c7,secondary_math,h,159,0.9346485283411636,0.0440785,4.766022999999996,0,,,,
pair_0a891d0e,cn_contest,a,157,0.9403930091579249,0.00789626,5.061085999999994,2,0.21439138821612502,0.25666127074177925,0.30885949780312505,0.3511293803287792
pair_0a891d0e,cn_contest,h,109,1.0789739682019266,0.036968,5.989057999999995,0,,,,
pair_0a983018,olympiads_ref,a,640,0.5143720468017593,0.000880638,2.9968764999999973,14,0.02477970626799107,0.03300511108645071,-0.3119537627314731,-0.30372835791301356
pair_0a983018,olympiads_ref,h,387,1.0409508581555558,0.0505114,5.9807649999999954,1,1.9027156237499998,1.9215325057634178,1.35323714875,1.372054030763418
pair_0b123512,math_train,a,122,1.228818503931295,0.1164425,6.974877499999995,0,,,,
pair_0b123512,math_train,h,708,1.081117169123125,0.02684325,7.402822,5,0.12165906810739999,0.10604471180795519,-1.0066077497867252,-1.0222221060861698
