window,metric,n_pairs,human_median,ai_median,median_paired_difference,probability_ai_greater,wilcoxon_p
4,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.3711431439506248,0.14102564102564102,1.1209582562914749e-39
4,p95_nll,312,6.3296425,4.261986750000002,-1.5361109999999978,0.13141025641025642,2.313890074163652e-40
4,mean_boundary_delta_nll,177,0.25075527750000015,0.01577419405761662,-0.2279495886859749,0.4011299435028249,0.0012862945103410473
4,mean_boundary_excess_nll,177,0.3160958831599821,0.0332431575117258,-0.2351976861836964,0.4067796610169492,0.0008998676453972705
4,mean_content_boundary_delta_nll,177,0.2626425248375,0.010177711612625711,-0.18246008278750006,0.423728813559322,0.008757996625860485
4,mean_content_boundary_excess_nll,177,0.2794193154462131,0.03895538219793956,-0.17991318715778082,0.4011299435028249,0.006713825505664719
8,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.3711431439506248,0.14102564102564102,1.1209582562914749e-39
8,p95_nll,312,6.3296425,4.261986750000002,-1.5361109999999978,0.13141025641025642,2.313890074163652e-40
8,mean_boundary_delta_nll,177,0.324531448420656,-0.008226551582544787,-0.24987153141562507,0.3502824858757062,5.0246099226373435e-06
8,mean_boundary_excess_nll,177,0.35713469719510554,0.027791020876497485,-0.23555026966735199,0.3559322033898305,8.905427026806528e-06
8,mean_content_boundary_delta_nll,177,0.16139513403124972,0.019717241666927645,-0.19465149747249982,0.3954802259887006,0.0062263296787337065
8,mean_content_boundary_excess_nll,177,0.20700097926294134,0.04402247034975945,-0.17536277175362014,0.4180790960451977,0.009220170614377044
16,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.3711431439506248,0.14102564102564102,1.1209582562914749e-39
16,p95_nll,312,6.3296425,4.261986750000002,-1.5361109999999978,0.13141025641025642,2.313890074163652e-40
16,mean_boundary_delta_nll,177,0.07061142019762504,-0.028633782357469082,-0.05873971311645839,0.3954802259887006,0.0073632435228100914
16,mean_boundary_excess_nll,176,0.07553262663398261,-0.008827553119582578,-0.08369697139104282,0.3977272727272727,0.013286638933888187
16,mean_content_boundary_delta_nll,177,-0.0181688432526419,-0.048630495587048225,-0.025818923155978536,0.4858757062146893,0.571280476879702
16,mean_content_boundary_excess_nll,176,-0.009085300935327459,-0.032534899807319384,-0.018905390858644178,0.48295454545454547,0.5785710050396904
32,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.3711431439506248,0.14102564102564102,1.1209582562914749e-39
32,p95_nll,312,6.3296425,4.261986750000002,-1.5361109999999978,0.13141025641025642,2.313890074163652e-40
32,mean_boundary_delta_nll,171,-0.08722369215562487,-0.09325849859987882,0.001987460246543756,0.5029239766081871,0.4656628692006164
32,mean_boundary_excess_nll,146,-0.07530362514674727,-0.06654823539230939,-0.00614773719267749,0.4931506849315068,0.7523766030786351
32,mean_content_boundary_delta_nll,171,-0.11842287798895808,-0.10741880224489303,0.0012649094097578195,0.5087719298245614,0.8290379196981861
32,mean_content_boundary_excess_nll,146,-0.09765606768712742,-0.07551129055701909,0.014161994781403321,0.5068493150684932,0.7568298960305208
