pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_00b23e63,cn_contest,a,175,0.6639408667375254,0.00234098,4.255984999999993,3,-0.3243401280446563,,-0.31980636016736463,
pair_00b23e63,cn_contest,h,214,0.5912467426248209,0.000573979,3.7060274999999994,4,-0.1668398645747758,,0.005755926312294504,
pair_01eb3f84,olympiads,a,807,0.5198095650756556,0.000614828,3.5005049999999995,18,0.11420952321687844,0.2951934204354282,0.11388361677681597,0.29486751399536565
pair_01eb3f84,olympiads,h,460,1.1799474358041306,0.029814300000000002,7.293034499999986,4,-0.05841856009453117,-0.14076105722580412,-0.01612381300078125,-0.0984663101320542
pair_064daf4b,olympiads,a,75,1.455477382218,0.0461881,8.44328,0,,,,
pair_064daf4b,olympiads,h,68,0.9894413461129413,0.005240725,7.207967999999998,0,,,,
pair_06e244fd,olympiads,a,1058,0.3027042007781891,0.000131677,1.8159649999999996,13,0.009077611615259697,0.055523903311681805,0.0011874308305962135,0.04763372252701832
pair_06e244fd,olympiads,h,1051,0.34635526442056325,0.000268258,1.997825,15,-0.09334108841833674,-0.05540971434445711,-0.09963650551226609,-0.06170513143838644
pair_070c0d6f,amc_aime,a,149,0.9849062182784766,0.042044,4.794713999999995,2,-0.6026113987405312,,-0.7447449541495937,
pair_070c0d6f,amc_aime,h,656,0.7915650682178325,0.0004708205,4.9262175,8,-0.43493214661359764,-0.7606124713199842,-0.5699177465014413,-0.895598071207828
pair_0a7bd2c7,secondary_math,a,207,0.6244544607412028,0.0020554,3.6588249999999984,0,,,,
pair_0a7bd2c7,secondary_math,h,159,0.9346485283411636,0.0440785,4.766022999999996,0,,,,
pair_0a891d0e,cn_contest,a,157,0.9403930091579249,0.00789626,5.061085999999994,2,-0.509746154986125,-1.9685411034001392,-0.49256638217015625,-1.9513613305841704
pair_0a891d0e,cn_contest,h,109,1.0789739682019266,0.036968,5.989057999999995,0,,,,
pair_0a983018,olympiads_ref,a,640,0.5143720468017593,0.000880638,2.9968764999999973,14,-0.058529142353205374,-0.10712763210119322,-0.14248349344610717,-0.19108198319409492
pair_0a983018,olympiads_ref,h,387,1.0409508581555558,0.0505114,5.9807649999999954,1,-0.10408773343749989,-0.10713869863645818,-0.17284778874999995,-0.17589875394895826
pair_0b123512,math_train,a,122,1.228818503931295,0.1164425,6.974877499999995,0,,,,
pair_0b123512,math_train,h,708,1.081117169123125,0.02684325,7.402822,5,-0.39412865874775316,-0.5559240432306988,-0.674300384159628,-0.8360957686425736
pair_0bc9ff8b,math_test,a,182,1.1215044530006022,0.04182005,5.709764499999996,4,-0.2472049489224132,,-0.315252647659973,
pair_0bc9ff8b,math_test,h,86,1.9651229687294192,1.0791,7.13764,0,,,,
