pair,side,source,status,source_claims,root_nodes,root_node_digits,term_lets,matched,match_share,unambiguous_matched,term_uses,zero_term_use,one_term_use,multi_term_use,polarized_term_use,reuse_excess,potential_inlining_nodes
pair_011cd4a8,a,olympiads,ok,0,4775081,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_011cd4a8,h,olympiads,ok,6,700630,6,12,6,1.0,5,6,0,6,0,0,0,0
pair_0145f28f,a,unknown,ok,2,86707,5,2,2,1.0,2,4,0,0,2,2,2,54
pair_0145f28f,h,unknown,ok,0,97533,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_014f63cf,a,olympiads,ok,6,220104,6,6,6,1.0,4,7,0,5,1,1,1,5
pair_014f63cf,h,olympiads,ok,3,1971804,7,14,3,1.0,1,3,0,3,0,0,0,0
pair_0152caff,a,math_train,ok,0,86655,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_0152caff,h,math_train,ok,0,95439,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_0156cf6d,a,math_test,ok,1,190320,6,1,1,1.0,1,1,0,1,0,0,0,0
pair_0156cf6d,h,math_test,ok,2,150507,6,3,2,1.0,1,2,0,2,0,0,0,0
pair_01574a48,a,amc_aime,ok,2,65687,5,2,2,1.0,2,1,1,1,0,1,0,0
pair_01574a48,h,amc_aime,ok,1,3586,4,1,1,1.0,1,1,0,1,0,0,0,0
pair_0159d31f,a,olympiads,ok,19,1934046,7,23,19,1.0,8,28,5,8,6,11,14,5907112
pair_0159d31f,h,olympiads,ok,5,6556292,7,13,5,1.0,5,16,1,0,4,5,12,57234
pair_01d89852,a,math_test,ok,0,10628235,8,13,0,1.0,0,0,0,0,0,0,0,0
pair_01d89852,h,math_test,ok,6,813372,6,13,6,1.0,2,6,0,6,0,0,0,0
pair_01eb3f84,a,olympiads,ok,18,1461332,7,21,18,1.0,5,23,1,11,6,7,6,631193
pair_01eb3f84,h,olympiads,ok,4,388279,6,17,4,1.0,3,9,0,1,3,3,5,125526
pair_02214b2f,a,olympiads_ref,ok,14,1752355,7,14,14,1.0,2,24,7,0,7,14,17,3993089
pair_02214b2f,h,olympiads_ref,ok,6,952462,6,11,6,1.0,4,7,0,5,1,1,1,482601
pair_02298a7a,a,math_train,ok,0,2284121,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_02298a7a,h,math_train,ok,15,68230,5,16,15,1.0,9,15,0,15,0,0,0,0
pair_0246fb93,a,amc_aime,ok,10,1698226,7,12,10,1.0,6,24,4,1,5,9,18,8624542
pair_0246fb93,h,amc_aime,ok,13,312594,6,13,13,1.0,11,16,0,12,1,1,3,450636
pair_02491ecb,a,number_theory,ok,4,67569,5,4,4,1.0,4,1,3,1,0,3,0,0
pair_02491ecb,h,number_theory,ok,0,27,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_0262cdc9,a,amc_aime,ok,5,694129,6,5,5,1.0,5,9,0,4,1,1,4,2041140
pair_0262cdc9,h,amc_aime,ok,2,87956,5,2,2,1.0,2,3,0,1,1,1,1,79681
pair_02867743,a,math_train,ok,0,3375,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_02867743,h,math_train,ok,0,7369,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_02c12297,a,math_train,ok,7,372447,6,7,7,1.0,7,120,1,0,6,7,114,2705186
pair_02c12297,h,math_train,ok,16,2191873,7,19,16,1.0,12,62,2,9,5,7,48,1588120
pair_02cae9ff,a,math_train,ok,1,4608,4,1,1,1.0,1,1,0,1,0,0,0,0
pair_02cae9ff,h,math_train,ok,0,158448,6,1,0,1.0,0,0,0,0,0,0,0,0
pair_02d50781,a,math_test,ok,3,7213,4,4,3,1.0,3,4,0,2,1,1,1,1643
pair_02d50781,h,math_test,ok,0,5282,4,1,0,1.0,0,0,0,0,0,0,0,0
pair_02dd0798,a,math_train,ok,6,262873,6,6,6,1.0,4,8,1,4,1,2,3,2499
pair_02dd0798,h,math_train,ok,1,253930,6,5,1,1.0,1,1,0,1,0,0,0,0
pair_02f18045,a,amc_aime,ok,12,8398088,7,12,12,1.0,10,3371,2,0,10,12,3361,561089899
pair_02f18045,h,amc_aime,ok,3,3678104,7,16,3,1.0,3,9,0,1,2,2,6,1250797
pair_02f799b6,a,olympiads_ref,ok,35,705683,6,35,35,1.0,27,74,5,5,25,30,44,1071541
pair_02f799b6,h,olympiads_ref,ok,5,63310,5,5,5,1.0,5,12,0,1,4,4,7,5387
pair_031e226a,a,math_test,ok,0,4601,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_031e226a,h,math_test,ok,0,4601,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_03542350,a,secondary_math,ok,1,4575,4,1,1,1.0,1,1,0,1,0,0,0,0
pair_03542350,h,secondary_math,ok,1,4575,4,1,1,1.0,1,1,0,1,0,0,0,0
pair_036e6d88,a,olympiads,ok,20,342772,6,20,20,1.0,3,24,0,18,2,2,4,4
pair_036e6d88,h,olympiads,ok,3,773405,6,10,3,1.0,1,3,0,3,0,0,0,0
pair_03a1c8d7,a,olympiads,ok,18,265323,6,22,18,1.0,12,30,1,11,6,7,13,756980
pair_03a1c8d7,h,olympiads,ok,18,364480,6,27,18,1.0,9,25,0,14,4,4,7,498300
pair_03f27419,a,math_train,ok,0,1279,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_03f27419,h,math_train,ok,0,1279,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_03fe8450,a,secondary_math,ok,5,4557114,7,5,5,1.0,5,5,1,3,1,2,1,121
pair_03fe8450,h,secondary_math,ok,3,5643699,7,3,3,1.0,3,4,0,2,1,1,1,3369687
pair_040b5261,a,math_test,ok,0,43063,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_040b5261,h,math_test,ok,1,54000,5,2,1,1.0,1,1,0,1,0,0,0,0
pair_0418444e,a,secondary_math,ok,12,3443295,7,18,12,1.0,12,20,4,6,2,6,12,630096
pair_0418444e,h,secondary_math,ok,15,2546950,7,16,15,1.0,15,17,5,7,3,8,7,693230
pair_041cccd6,a,math_test,ok,0,20273,5,1,0,1.0,0,0,0,0,0,0,0,0
pair_041cccd6,h,math_test,ok,0,19843,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_042fa966,a,math_train,ok,4,520097,6,6,4,1.0,4,4,2,0,2,4,2,558735
pair_042fa966,h,math_train,ok,1,328554,6,1,1,1.0,1,2,0,0,1,1,1,244009
pair_045087bc,a,math_train,ok,26,4458573,7,29,26,1.0,2,28,1,22,3,4,3,3025566
pair_045087bc,h,math_train,ok,5,694256,6,7,5,1.0,5,7,0,4,1,1,2,261684
pair_04759e39,a,secondary_math,ok,10,352801,6,10,10,1.0,10,12,2,4,4,6,4,37482
pair_04759e39,h,secondary_math,ok,12,614617,6,16,12,1.0,6,12,4,4,4,8,4,23148
pair_047a9beb,a,amc_aime,ok,4,1186337,7,8,4,1.0,4,0,4,0,0,4,0,0
pair_047a9beb,h,amc_aime,ok,4,293514,6,4,4,1.0,4,6,0,2,2,2,2,38088
pair_0487694f,a,math_test,ok,2,24859,5,2,2,1.0,2,2,0,2,0,0,0,0
pair_0487694f,h,math_test,ok,0,21721,5,1,0,1.0,0,0,0,0,0,0,0,0
pair_0490c5e2,a,olympiads,ok,0,298853,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_0490c5e2,h,olympiads,ok,0,3404,4,0,0,1.0,0,0,0,0,0,0,0,0
