source,side,claims,zero_share,one_share,multi_share,mean_uses
amc_aime,a,2175,0.20229885057471264,0.40229885057471265,0.3954022988505747,15.799540229885057
amc_aime,h,1056,0.05587121212121212,0.5198863636363636,0.42424242424242425,8.388257575757576
aops_forum,a,944,0.2955508474576271,0.3739406779661017,0.3305084745762712,10.883474576271187
aops_forum,h,641,0.1747269890795632,0.46489859594383776,0.36037441497659906,36.22620904836194
cn_contest,a,1408,0.24928977272727273,0.4161931818181818,0.33451704545454547,39.82457386363637
cn_contest,h,895,0.13743016759776536,0.5251396648044693,0.33743016759776534,4.4726256983240225
cn_k12,a,2137,0.23303696771174542,0.48525970987365463,0.2817033224145999,2.635470285446888
cn_k12,h,962,0.034303534303534305,0.760914760914761,0.2047817047817048,1.4688149688149688
inequalities,a,298,0.32550335570469796,0.47315436241610737,0.20134228187919462,1.3657718120805369
inequalities,h,224,0.11607142857142858,0.6741071428571429,0.20982142857142858,1.7544642857142858
math_test,a,2367,0.22813688212927757,0.41613857203210813,0.3557245458386143,10.850866075200676
math_test,h,1465,0.03617747440273038,0.6928327645051194,0.27098976109215017,1.807508532423208
math_train,a,2299,0.1731187472814267,0.4441061331013484,0.3827751196172249,37.17268377555459
math_train,h,1039,0.0548604427333975,0.6044273339749759,0.34071222329162654,16.370548604427334
number_theory,a,540,0.17962962962962964,0.5796296296296296,0.24074074074074073,9.448148148148148
number_theory,h,157,0.07006369426751592,0.6687898089171974,0.2611464968152866,3.8152866242038215
olympiads,a,9008,0.21813943161634103,0.4532637655417407,0.3285968028419183,12.921070159857905
olympiads,h,5456,0.13086510263929618,0.5403225806451613,0.3288123167155425,5.560850439882698
olympiads_ref,a,2542,0.2069236821400472,0.4169944925255704,0.3760818253343824,7.758064516129032
olympiads_ref,h,1658,0.05971049457177322,0.635102533172497,0.30518697225572977,3.9047044632086854
secondary_math,a,1304,0.19938650306748465,0.4340490797546012,0.3665644171779141,14.786809815950921
secondary_math,h,893,0.14781634938409854,0.49048152295632697,0.3617021276595745,5.07390817469205
unknown,a,68,0.2647058823529412,0.3235294117647059,0.4117647058823529,5.102941176470588
unknown,h,23,0.0,0.43478260869565216,0.5652173913043478,10.695652173913043
