alpha,alpha_err,dL1_mean,dL1_min,depth,edges,eps_crit,f2,frac_axioms,group,max_out_degree,mean_belief_e2,mean_in_degree,modularity,n_modules,name,nodes,ntail,out_gini,theorem,xmin
1.721,0.011,27.79,8.96,67,112795,0.4,1.0,0.24983104302770895,default,2946,0.9967,12.705001126379816,0.395,12,fermat_last_three_decl,8878,4603,0.8495380904065923,0,2
2.974,0.015,3.8,3.05,267,31422,0.05,0.96,0.051388559221457394,default,1156,0.9921,1.8645858058390696,0.717,32,divergence_harmonic_term,16852,16851,0.4467172738215395,521,1
1.877,0.024,25.18,13.43,41,63681,0.4,1.0,0.04320027648176948,default,2449,0.9993,11.00414722654225,0.479,11,fermat_little_decl,5787,1326,0.8362511934736956,0,6
2.431,0.029,3.43,2.67,305,29980,0.15,0.99,0.028280254777070062,default,1128,0.9944,1.9095541401273886,0.679,28,euclid_infinite_primes_term,15700,2379,0.4587296966555198,161,2
2.335,0.026,3.59,3.16,299,28968,0.05,0.9714,0.039391344443712534,default,515,0.9937,1.9081746920492721,0.748,22,fermat_last_four_term,15181,2648,0.45110218952195746,674,2
1.664,0.007,32.55,17.85,70,109374,0.4,1.0,0.17181033463403098,default,2855,0.9979,12.93295494856332,0.465,13,fta_complex_decl,8457,7877,0.8497344165451018,0,1
1.72,0.011,25.13,10.46,75,111403,0.4,1.0,0.21221900734475851,default,2738,0.9976,12.397395949254395,0.459,10,ftc_decl,8986,4667,0.844223514278247,0,2
2.957,0.017,3.82,2.15,202,24382,0.07,0.98,0.0496206373292868,default,1171,0.9932,1.8499241274658573,0.705,32,fermat_little_term,13180,13179,0.4417764653618325,311,1
1.855,0.033,21.72,12.54,33,25862,0.4,1.0,0.055134680134680134,default,1076,0.9991,10.884680134680135,0.426,8,fund_thm_arithmetic_decl,2376,665,0.8195106140933996,0,5
2.139,0.047,4.07,2.61,383,29365,0.2,0.9333,0.026497846234173086,default,1162,0.995,1.9165252577992429,0.671,32,extreme_value_term,15322,597,0.4621678751161874,140,4
1.68,0.014,19.94,9.37,39,22440,0.4,1.0,0.06190095846645367,default,809,0.9985,8.961661341853036,0.509,10,intermediate_value_decl,2504,2284,0.8036314089969417,0,1
2.503,0.023,3.48,2.31,266,51990,0.1,1.0,0.040645677306769434,default,1736,0.9931,1.8901330618774086,0.705,36,banach_fixed_point_term,27506,4355,0.4521509675127693,571,2
1.888,0.027,21.73,9.83,39,47006,0.4,1.0,0.045974483062032556,default,1843,0.9994,10.340079190497141,0.488,10,lagrange_subgroup_decl,4546,1046,0.825671972420366,0,6
2.425,0.032,3.73,2.9,293,24537,0.07,1.0,0.06181927439345001,default,822,0.9921,1.8430857057011942,0.709,30,ftc_term,13313,1950,0.4402753935660918,353,2
1.765,0.016,36.04,19.2,109,122511,0.4,1.0,0.09794480328831474,default,3488,0.9986,14.387668819729889,0.45,11,law_of_cosines_decl,8515,2379,0.8522723835797016,0,5
2.008,0.06,3.37,2.56,274,32955,0.15,0.9733,0.03687298665439485,default,1171,0.9923,1.8957086976530142,0.704,24,lagrange_subgroup_term,17384,286,0.4571937841719345,127,7
1.973,0.043,4.02,2.5,382,63521,0.1,1.0,0.024015604047299768,default,1526,0.9954,1.9359075947823967,0.705,38,cayley_hamilton_term,32812,508,0.47020570293563657,1226,7
2.512,0.03,3.58,2.7,338,29517,0.1,1.0,0.059301380991064176,default,1143,0.9925,1.844466662500781,0.723,27,law_of_cosines_term,16003,2497,0.43922675922189786,144,2
1.705,0.01,29.73,14.45,81,117591,0.4,1.0,0.19739746717787848,default,2924,0.9977,13.66225165562914,0.435,10,leibniz_pi_decl,8607,4607,0.8492604819608882,0,2
1.705,0.01,31.88,17.44,76,132752,0.4,1.0,0.13258568284246935,default,3562,0.9984,13.913845508856514,0.475,12,liouville_decl,9541,5068,0.8559150202818467,0,2
1.94,0.057,3.42,1.9,315,32342,0.1,0.9492,0.024665676077265972,default,1123,0.995,1.922258543833581,0.671,29,intermediate_value_term,16825,270,0.4646363865827358,246,7
1.716,0.01,32.96,16.38,96,122879,0.4,1.0,0.09491216062057951,default,3342,0.9988,14.017681953000228,0.486,11,mean_value_decl,8766,4797,0.8550690721114113,0,2
2.456,0.022,4.11,3.2,324,51915,0.2,0.9867,0.048227921048840224,default,1724,0.9924,1.8698674542573117,0.748,29,fta_complex_term,27764,4418,0.44556279053387654,677,2
2.963,0.013,3.54,2.18,253,40597,0.1,1.0,0.024150479701309135,default,1517,0.9947,1.9186634529042015,0.675,30,fund_thm_arithmetic_term,21159,21158,0.46210525311307266,290,1
2.477,0.026,3.56,3.02,193,35888,0.2,1.0,0.054478156605150665,default,999,0.9923,1.8709206547805235,0.724,29,leibniz_pi_term,19182,3134,0.444985739296291,2996,2
1.713,0.01,33.76,19.84,90,124560,0.4,1.0,0.09571070043349304,default,3348,0.9985,14.209445585215606,0.48,9,mvt2_decl,8766,4818,0.8558574972403888,0,2
2.463,0.036,3.37,2.5,327,22396,0.1,1.0,0.07398083482215365,default,965,0.99,1.8187428942666883,0.713,27,mean_value_term,12314,1640,0.43622664091475766,218,2
1.701,0.009,25.32,9.37,88,142889,0.4,1.0,0.1865815931941222,default,3619,0.9977,13.813708430007734,0.455,9,pi_irrational2_decl,10344,5461,0.8544384810037323,0,2
2.466,0.03,3.56,3.09,307,28053,0.15,1.0,0.05359148879931276,default,1026,0.9935,1.8537632987510737,0.732,27,mvt2_term,15133,2322,0.4423167116418809,565,2
1.706,0.01,35.76,22.5,82,115842,0.4,1.0,0.05490007223693715,default,3541,0.9991,13.946785456296652,0.478,11,ptolemy_decl,8306,4562,0.8539129700366184,0,2
2.433,0.031,3.64,2.95,184,26037,0.1,1.0,0.07333051563820794,default,809,0.9908,1.8341081994928148,0.719,26,liouville_term,14196,2206,0.4354601477298172,1921,2
1.732,0.011,28.24,17.86,76,104533,0.3,1.0,0.11567516525023608,default,3192,0.9984,12.33864494806421,0.483,11,reals_uncountable_decl,8472,4436,0.8484891811231801,0,2
1.867,0.04,16.46,10.46,22,8140,0.3,1.0,0.08285004142502071,default,317,0.9963,6.743993371996686,0.548,9,schroeder_bernstein_decl,1207,478,0.7394600294351744,0,3
1.799,0.017,27.25,12.68,55,121402,0.4,1.0,0.18589202867988192,default,3591,0.9977,12.80071699704766,0.421,12,quadratic_reciprocity_decl,9484,2087,0.8526590476869944,0,6
