pair,h_N,h_root_component_share,h_theorem_0.1,h_mean_all_0.1,h_mean_root_component_0.1,h_theorem_0.05,h_mean_all_0.05,h_mean_root_component_0.05,h_theorem_0.01,h_mean_all_0.01,h_mean_root_component_0.01,a_N,a_root_component_share,a_theorem_0.1,a_mean_all_0.1,a_mean_root_component_0.1,a_theorem_0.05,a_mean_all_0.05,a_mean_root_component_0.05,a_theorem_0.01,a_mean_all_0.01,a_mean_root_component_0.01
pair_00b23e63,6816,1.0,0.9796875,0.9893126008656103,0.9893126008656103,0.9453124999999999,0.9936456957893192,0.9936456957893192,0.9859375,0.9948962001173708,0.9948962001173708,4429,1.0,0.9761904761904762,0.988147988366717,0.988147988366717,0.9851190476190477,0.9922326065219493,0.9922326065219493,0.9985119047619048,0.9941712629960542,0.9941712629960542
pair_01eb3f84,5111,1.0,0.9672619047619048,0.9876369594991196,0.9876369594991196,0.9315476190476191,0.9913229868351177,0.9913229868351177,0.9925595238095238,0.9935284889733629,0.9935284889733629,5776,1.0,0.9765625,0.9875673584660665,0.9875673584660665,0.9296875,0.9919234764542937,0.9919234764542937,0.984375,0.9939921117555401,0.9939921117555401
pair_064daf4b,92,1.0,0.8546875,0.9165591032608695,0.9165591032608695,0.921875,0.926171875,0.926171875,0.8921875,0.9184952445652176,0.9184952445652176,118,1.0,0.9270833333333334,0.9466051251008878,0.9466051251008878,0.9389880952380951,0.9410184624697338,0.9410184624697338,0.9910714285714286,0.9344607546408394,0.9344607546408394
pair_06e244fd,15403,1.0,0.974702380952381,0.9910664048129152,0.9910664048129152,0.9330357142857143,0.994111188914961,0.994111188914961,0.9895833333333334,0.9954751393513324,0.9954751393513324,15481,1.0,0.980654761904762,0.9908788922519463,0.9908788922519463,0.9151785714285714,0.9943456994903122,0.9943456994903122,0.9970238095238095,0.9955457111789875,0.9955457111789875
pair_070c0d6f,5841,1.0,0.9598214285714286,0.986552622675504,0.986552622675504,0.9985119047619048,0.9905203671093502,0.9905203671093502,0.9761904761904763,0.993774508605017,0.993774508605017,579,1.0,0.8913690476190477,0.9649642240315817,0.9649642240315817,0.9672619047619048,0.9771311374290649,0.9771311374290649,0.9895833333333334,0.9812073361296159,0.9812073361296159
pair_0a7bd2c7,5443,1.0,0.9925595238095238,0.9895168980691672,0.9895168980691672,0.9880952380952381,0.9933250330262547,0.9933250330262547,0.9910714285714286,0.9958648832489085,0.9958648832489085,5543,1.0,0.9910714285714286,0.9904091282011632,0.9904091282011632,0.9880952380952381,0.9934658578387155,0.9934658578387155,1.0,0.9951018766698453,0.9951018766698453
pair_0a891d0e,2311,1.0,0.9806547619047619,0.9847539459314666,0.9847539459314666,0.9895833333333334,0.9916142517153984,0.9916142517153984,0.9732142857142857,0.9929800024726462,0.9929800024726462,2719,1.0,0.9627976190476191,0.9852131823674669,0.9852131823674669,0.9821428571428572,0.9918945603250495,0.9918945603250495,0.9985119047619048,0.9920806406416927,0.9920806406416927
pair_0a983018,10726,1.0,0.9702380952380952,0.9903139234437016,0.9903139234437016,0.9285714285714285,0.9939166511280999,0.9939166511280999,0.9970238095238095,0.9953750566047788,0.9953750566047788,11238,1.0,0.9613095238095238,0.990435300299155,0.990435300299155,0.9598214285714286,0.9940824445546148,0.9940824445546148,0.9642857142857143,0.995222019889999,0.995222019889999
pair_0b123512,5273,1.0,0.9285714285714286,0.9870648880640822,0.9870648880640822,0.912202380952381,0.9917066840959786,0.9917066840959786,0.9389880952380952,0.9943027372147418,0.9943027372147418,179,1.0,0.8690476190476191,0.9303754322958235,0.9303754322958235,0.9419642857142857,0.9592145517424847,0.9592145517424847,0.9375,0.9612596435222134,0.9612596435222134
pair_0bc9ff8b,6126,1.0,0.9747023809523809,0.9891740221227243,0.9891740221227243,0.9895833333333333,0.9928728837274382,0.9928728837274382,0.9434523809523808,0.9942441370116445,0.9942441370116445,11312,1.0,0.9484374999999999,0.9907758353960396,0.9907758353960396,1.0,0.9940468363242574,0.9940468363242574,0.946875,0.9950800311615983,0.9950800311615983
pair_0c9ecd6b,6868,1.0,0.990625,0.987340064429237,0.987340064429237,0.9828125,0.992841120049505,0.992841120049505,0.9515625,0.993717239370996,0.993717239370996,11644,1.0,0.9640625,0.9899413056080384,0.9899413056080384,0.9671875,0.9935787744761251,0.9935787744761251,1.0,0.9955188831157677,0.9955188831157677
pair_0f3deadd,343,1.0,0.9821428571428572,0.9704853880327641,0.9704853880327641,0.9806547619047619,0.9748802582257392,0.9748802582257392,0.9776785714285715,0.9766026308482577,0.9766026308482577,343,1.0,0.9821428571428572,0.9704853880327641,0.9704853880327641,0.9806547619047619,0.9748802582257392,0.9748802582257392,0.9776785714285715,0.9766026308482577,0.9766026308482577
pair_0f421760,6716,1.0,0.9234375,0.9878420004466945,0.9878420004466945,0.9562499999999999,0.9929296642346634,0.9929296642346634,0.934375,0.994029649344848,0.994029649344848,443,1.0,0.9866071428571428,0.9635097549177685,0.9635097549177685,0.9360119047619049,0.9754951359776416,0.9754951359776416,1.0,0.9761568848758465,0.9761568848758465
pair_0f905113,8052,1.0,0.94375,0.9884673450695479,0.9884673450695479,0.953125,0.9924956532538499,0.9924956532538499,0.978125,0.9948665704172875,0.9948665704172875,9568,1.0,0.9484374999999998,0.9892086577654683,0.9892086577654683,0.9640625,0.9939053028323577,0.9939053028323577,1.0,0.9951065726902174,0.9951065726902174
