source,n,human_median,ai_median,diff_median,metric
amc_aime,197,29.0,26.0,1.0,script lines
aops_forum,84,11.0,21.5,3.5,script lines
cn_contest,85,26.0,34.0,1.0,script lines
cn_k12,193,21.0,30.0,8.0,script lines
inequalities,15,30.0,33.0,4.0,script lines
math_test,328,19.5,21.0,0.0,script lines
math_train,363,11.0,16.0,1.0,script lines
number_theory,137,12.0,16.0,2.0,script lines
olympiads,599,31.0,35.0,2.0,script lines
olympiads_ref,254,34.0,26.5,-0.5,script lines
secondary_math,57,48.0,46.0,2.0,script lines
unknown,9,16.0,16.0,3.0,script lines
amc_aime,197,16.0,11.0,0.0,tactic invocations
aops_forum,84,7.0,9.0,0.0,tactic invocations
cn_contest,85,13.0,16.0,0.0,tactic invocations
cn_k12,193,13.0,15.0,1.0,tactic invocations
inequalities,15,15.0,15.0,3.0,tactic invocations
math_test,328,10.5,9.0,0.0,tactic invocations
math_train,363,5.0,7.0,0.0,tactic invocations
number_theory,137,5.0,6.0,0.0,tactic invocations
olympiads,599,16.0,16.0,0.0,tactic invocations
olympiads_ref,254,16.5,11.0,-1.0,tactic invocations
secondary_math,57,27.0,21.0,0.0,tactic invocations
unknown,9,9.0,9.0,0.0,tactic invocations
amc_aime,197,3.0,6.0,1.0,inline have steps
aops_forum,84,1.0,4.0,0.0,inline have steps
cn_contest,85,5.0,9.0,1.0,inline have steps
cn_k12,193,3.0,7.0,2.0,inline have steps
inequalities,15,7.0,11.0,2.0,inline have steps
math_test,328,2.0,4.0,0.0,inline have steps
math_train,363,1.0,2.0,0.0,inline have steps
number_theory,137,0.0,1.0,0.0,inline have steps
olympiads,599,5.0,9.0,2.0,inline have steps
olympiads_ref,254,4.0,5.0,0.0,inline have steps
secondary_math,57,8.0,14.0,0.0,inline have steps
unknown,9,3.0,4.0,1.0,inline have steps
amc_aime,197,6.0,4.0,-1.0,premises (loose regex)
aops_forum,84,4.0,4.0,0.0,premises (loose regex)
cn_contest,85,5.0,5.0,0.0,premises (loose regex)
cn_k12,193,5.0,6.0,0.0,premises (loose regex)
inequalities,15,5.0,6.0,0.0,premises (loose regex)
math_test,328,5.0,4.0,0.0,premises (loose regex)
math_train,363,4.0,4.0,0.0,premises (loose regex)
number_theory,137,6.0,5.0,0.0,premises (loose regex)
olympiads,599,5.0,4.0,0.0,premises (loose regex)
olympiads_ref,254,5.0,4.0,0.0,premises (loose regex)
secondary_math,57,5.0,5.0,0.0,premises (loose regex)
unknown,9,4.0,5.0,0.0,premises (loose regex)
amc_aime,197,3.0,2.0,-1.0,premises (strict dotted)
aops_forum,84,2.0,2.0,0.0,premises (strict dotted)
cn_contest,85,2.0,3.0,0.0,premises (strict dotted)
cn_k12,193,3.0,3.0,0.0,premises (strict dotted)
inequalities,15,3.0,4.0,0.0,premises (strict dotted)
math_test,328,2.0,2.0,0.0,premises (strict dotted)
math_train,363,2.0,2.0,0.0,premises (strict dotted)
number_theory,137,3.0,3.0,0.0,premises (strict dotted)
olympiads,599,3.0,3.0,0.0,premises (strict dotted)
olympiads_ref,254,3.0,2.0,0.0,premises (strict dotted)
secondary_math,57,3.0,3.0,0.0,premises (strict dotted)
unknown,9,2.0,3.0,0.0,premises (strict dotted)
