pair,h_N,h_root_component_share,h_theorem_0.1,h_mean_all_0.1,h_mean_root_component_0.1,h_theorem_0.05,h_mean_all_0.05,h_mean_root_component_0.05,h_theorem_0.01,h_mean_all_0.01,h_mean_root_component_0.01,a_N,a_root_component_share,a_theorem_0.1,a_mean_all_0.1,a_mean_root_component_0.1,a_theorem_0.05,a_mean_all_0.05,a_mean_root_component_0.05,a_theorem_0.01,a_mean_all_0.01,a_mean_root_component_0.01
pair_00b23e63,6816,1.0,0.99375,0.9898116563967135,0.9898116563967135,1.0,0.9942103139671362,0.9942103139671362,1.0,0.9957352186032865,0.9957352186032865,4429,1.0,1.0,0.9868480469631971,0.9868480469631971,0.9523809523809523,0.9932399015149069,0.9932399015149069,1.0,0.9948795277876334,0.9948795277876334
pair_01eb3f84,5111,1.0,1.0,0.9879356849372503,0.9879356849372503,0.9880952380952381,0.9913538493072831,0.9913538493072831,1.0,0.9936027335997988,0.9936027335997988,5776,1.0,0.85625,0.9877012638504155,0.9877012638504155,1.0,0.9912222991689751,0.9912222991689751,1.0,0.9944511772853187,0.9944511772853187
pair_064daf4b,92,1.0,0.90625,0.9421875000000002,0.9421875000000002,0.875,0.9129076086956521,0.9129076086956521,1.0,0.9504076086956522,0.9504076086956522,118,1.0,0.875,0.9432506053268765,0.9432506053268765,0.9940476190476191,0.9666061339790155,0.9666061339790155,1.0,0.9502118644067796,0.9502118644067796
pair_06e244fd,15403,1.0,1.0,0.9915013463672816,0.9915013463672816,0.9047619047619048,0.994738965507647,0.994738965507647,1.0,0.9957943412384107,0.9957943412384107,15481,1.0,1.0,0.991475341509254,0.991475341509254,0.8869047619047619,0.9951834199218088,0.9951834199218088,1.0,0.9963215277713696,0.9963215277713696
pair_070c0d6f,5841,1.0,0.9940476190476191,0.9857901044341723,0.9857901044341723,1.0,0.991485680045002,0.991485680045002,0.9523809523809524,0.9926300943250096,0.9926300943250096,579,1.0,1.0,0.9481968089481043,0.9481968089481043,1.0,0.9822867834525867,0.9822867834525867,1.0,0.9866148531951641,0.9866148531951641
pair_0a7bd2c7,5443,1.0,1.0,0.9887809156365098,0.9887809156365098,0.9821428571428571,0.9935883135175805,0.9935883135175805,0.9642857142857143,0.9949137380471204,0.9949137380471204,5543,1.0,0.9702380952380952,0.9899444172401055,0.9899444172401055,0.8928571428571428,0.9939155348229856,0.9939155348229856,1.0,0.9954114155133459,0.9954114155133459
pair_0a891d0e,2311,1.0,1.0,0.985274875852548,0.985274875852548,1.0,0.9917269374214419,0.9917269374214419,1.0,0.9933084008159733,0.9933084008159733,2719,1.0,0.9642857142857143,0.9867664057163872,0.9867664057163872,1.0,0.9925764899560412,0.9925764899560412,1.0,0.992548030613496,0.992548030613496
pair_0a983018,10726,1.0,0.9880952380952381,0.9902822913614447,0.9902822913614447,1.0,0.9946247658116014,0.9946247658116014,1.0,0.9957085808405033,0.9957085808405033,11238,1.0,0.9523809523809523,0.9908272527733287,0.9908272527733287,1.0,0.9938399901694082,0.9938399901694082,0.9821428571428572,0.9950868227696844,0.9950868227696844
pair_0b123512,5273,1.0,1.0,0.9878175430991665,0.9878175430991665,0.9642857142857143,0.9930689135126838,0.9930689135126838,0.9464285714285714,0.9942090433746039,0.9942090433746039,179,1.0,0.9702380952380952,0.9129422718808194,0.9129422718808194,0.9702380952380952,0.9766560255387071,0.9766560255387071,0.875,0.989126097366321,0.989126097366321
pair_0bc9ff8b,6126,1.0,1.0,0.9897830091880042,0.9897830091880042,0.9583333333333333,0.9931711829361192,0.9931711829361192,0.9166666666666666,0.994724865133778,0.994724865133778,11312,1.0,0.95625,0.990090169731259,0.990090169731259,1.0,0.9945262774045261,0.9945262774045261,1.0,0.9961909918670437,0.9961909918670437
