source,n,human_median,ai_median,diff_median,metric
math_test,33,2.3480435351118243,2.32810237349036,-0.0019637812247053077,alpha (xmin=5)
math_train,39,2.381226558397561,2.3026556681134025,-0.05588182142795839,alpha (xmin=5)
number_theory,5,2.3963433165987453,2.406841786219953,-0.10764166489764238,alpha (xmin=5)
olympiads,78,2.2873832284632165,2.2558990013072693,-0.030002279143118482,alpha (xmin=5)
olympiads_ref,23,2.298218994874371,2.2952069013848977,-0.015723577232114927,alpha (xmin=5)
secondary_math,9,2.310749294816904,2.2717649992198785,-0.030465393694479648,alpha (xmin=5)
unknown,1,1.897301563986599,1.9119088132275104,0.01460724924091128,alpha (xmin=5)
amc_aime,20,2.524407992245461,2.6417667128888436,0.10077497180401829,alpha (xmin=10)
aops_forum,14,2.5308661983465237,2.5126032847790025,0.006185874792522084,alpha (xmin=10)
cn_contest,11,2.4445606551422885,2.412142012572304,0.001435185918122528,alpha (xmin=10)
cn_k12,24,2.5768034713279535,2.544379878051414,0.021810240405294667,alpha (xmin=10)
inequalities,5,2.4707778411989896,2.4536030992691167,-0.06096911786675019,alpha (xmin=10)
math_test,29,2.602752622063849,2.57666719287728,-0.026085429186569087,alpha (xmin=10)
math_train,36,2.609300187494508,2.6226143042623447,-0.044638855775804176,alpha (xmin=10)
number_theory,2,2.696747660437408,2.7076220474188464,0.010874386981438722,alpha (xmin=10)
olympiads,72,2.4794678781968686,2.4594134287946976,-0.016330176335703106,alpha (xmin=10)
olympiads_ref,22,2.4503073365497183,2.486845082147422,0.020408655302840417,alpha (xmin=10)
secondary_math,9,2.46497875023041,2.4637355587130374,0.04971418086806434,alpha (xmin=10)
unknown,1,1.8392499348418112,2.06808440618752,0.22883447134570867,alpha (xmin=10)
