in_alpha_xmin10,in_fit_status,in_n_tail,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
,insufficient tail variation,0,10,fermat_last_four_term,2.284180878460904,2.284180878460904,5.364388807572484,-0.1418666515281874,1.5500445804078167,274,8.122377616110203e-08,0.8871853360681313,0.1211308162734141,10
,insufficient tail variation,0,10,fermat_last_three_term,2.068350430096996,2.068350430096996,5.341024540528499,-0.20156796323778045,0.7748861265853815,418,9.242274256158516e-08,0.8402544927433108,0.4384069506679543,10
,insufficient tail variation,0,10,fermat_little_term,2.0928576150671203,2.0928576150671203,4.5994877224971855,-1.0038598775077325,1.4232709329527262,139,4.235311516648378e-06,0.3154461581779604,0.15465762980110437,10
,insufficient tail variation,0,10,fta_complex_term,2.2657648867756026,2.2657648867756026,5.398406926267954,-1.0006324199292433,3.1853608076167412,346,6.72352323419858e-08,0.3170045504233421,0.001445736334816318,10
,insufficient tail variation,0,10,ftc_term,2.1787327820869193,2.1787327820869193,6.519517092317883,-1.0004561617782821,2.9882289111357396,147,7.053410215255919e-11,0.31708980262106623,0.0028059930410187246,10
,insufficient tail variation,0,10,fund_thm_arithmetic_term,2.036337537300776,2.036337537300776,5.282612583397085,0.14175740206434576,1.3976274910046556,232,1.2735452260431913e-07,0.8872716324133729,0.16222495852507124,10
,insufficient tail variation,0,10,intermediate_value_term,1.886571843964577,1.886571843964577,3.853217677243472,-1.0282625791816595,-1.0307742019042616,182,0.00011657566439535925,0.3038263285305072,0.30264671879382565,10
,insufficient tail variation,0,10,lagrange_subgroup_term,1.9822966005098208,1.982296600509821,4.9516449170533985,-0.20391103377839387,0.5430555139860608,192,7.358878848997743e-07,0.8384230225256777,0.5870915807085035,10
,insufficient tail variation,0,10,law_of_cosines_term,2.216171025195641,2.2161710251956412,6.471772050476437,-1.002903940762793,3.7714774637553456,168,9.686017131018641e-11,0.31590721106751707,0.00016228381655527713,10
,insufficient tail variation,0,10,leibniz_pi_term,2.171117543648223,2.171117543648223,6.436085186087537,-0.9983133237067551,2.299820190734444,217,1.225942475148381e-10,0.3181274488089282,0.02145840907775005,10
,insufficient tail variation,0,10,liouville_term,2.2654808441179304,2.2654808441179304,5.596416641606419,-1.0033426056908699,2.6673412836274992,182,2.1882746051911076e-08,0.3156955859582832,0.00764539910755332,10
,insufficient tail variation,0,10,mean_value_term,2.2245883520216245,2.2245883520216245,6.460317295945108,-0.9990144618938165,3.4695938610450967,139,1.0448367155700579e-10,0.31778768562468696,0.000521245904716422,10
,insufficient tail variation,0,10,mvt2_term,2.156739090001387,2.1567390900013876,5.455360653398245,-0.9989477287308683,2.1517839341411453,179,4.8873545978642976e-08,0.317820013473721,0.031414375781721855,10
,insufficient tail variation,0,10,pi_irrational2_term,2.2865019229866914,2.2865019229866914,5.979057871220976,-1.0024114000791178,2.928048384442215,333,2.244318222007474e-09,0.3161449384366021,0.003410969601970903,10
,insufficient tail variation,0,10,ptolemy_term,2.2596983109247177,2.2596983109247177,6.193074123130225,-1.004011891609914,3.05927082053611,186,5.900196453804407e-10,0.3153728817985699,0.002218764762098404,10
,insufficient tail variation,0,10,quadratic_reciprocity_term,2.0024942121282843,2.0024942121282843,4.674786337860097,-0.39508743538853003,0.26216308821398865,232,2.9425981296979372e-06,0.6927783612796938,0.7931957097029818,10
,insufficient tail variation,0,10,reals_uncountable_term,2.040803842839801,2.040803842839801,5.388072358037316,-0.26345430207379034,1.5869573889185136,260,7.121738160233275e-08,0.7922004413432482,0.11252229572897199,10
,insufficient tail variation,0,10,schroeder_bernstein_term,2.041356418807281,2.041356418807281,4.902421930899902,-0.31763445486131414,1.1517898688852959,198,9.466224003814329e-07,0.7507622354021306,0.24940743201284576,10
,insufficient tail variation,0,10,sqrt2_irrational_term,2.1041332881639874,2.1041332881639874,5.069420013819886,-1.0032804486221851,1.8752926568576755,257,3.990297848577917e-07,0.3157255667285329,0.060752473024800496,10
,insufficient tail variation,0,10,stirling_term,2.211529580435087,2.211529580435087,5.540868683347407,-1.000009361143292,2.6706540331067785,137,3.009748575199804e-08,0.3173059776388689,0.007570362883883919,10
,insufficient tail variation,0,10,strong_law_large_numbers_term,1.9210902125382865,1.9210902125382865,3.217586801309419,-1.6109893925021437,-1.6816378133448782,169,0.001292739041132411,0.10718203445686773,0.0926390934711857,10
,insufficient tail variation,0,10,sylow_theorem_term,1.8874897735841991,1.8874897735841991,3.447971147145203,-1.010768220785546,-1.0543752885814568,151,0.000564814369806416,0.3121273765647965,0.2917111313712927,10
,insufficient tail variation,0,10,wilsons_lemma_term,1.971250906149987,1.971250906149987,3.73970194422694,-0.5106165003148228,-0.18072855215129865,192,0.00018423858369824,0.6096196196079582,0.8565806464373897,10
