in_alpha_xmin10,in_fit_status,in_n_tail,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
,insufficient tail variation,0,10,banach_fixed_point_term,2.1273613730732954,2.1273613730732954,6.269388780543959,-1.0003075177877416,2.790678539832166,287,3.624680843420492e-10,0.31716171014160044,0.005259768236545344,10
,insufficient tail variation,0,10,basel_problem_term,2.153885930681572,2.153885930681572,4.915859366017205,-0.12786664092103212,0.8008185494642867,197,8.839383827558217e-07,0.8982545109816217,0.42323669873525105,10
,insufficient tail variation,0,10,bertrand_postulate_term,2.273912121706145,2.273912121706145,4.603226393525364,-1.0056965672387612,1.9836104322524837,216,4.159955951899464e-06,0.3145615549789592,0.047299285327495826,10
,insufficient tail variation,0,10,bezout_gcd_term,1.9027265463568164,1.9027265463568166,3.8848073711834816,-0.8212144062320629,-0.7804517607491563,130,0.0001024110539163098,0.411524152067685,0.43512501110349666,10
,insufficient tail variation,0,10,binomial_theorem_term,2.0583457923122452,2.0583457923122452,5.941823471870414,-1.0007545955613226,2.4997494432547023,160,2.8186886880386382e-09,0.31694546557514647,0.012428117070888388,10
,insufficient tail variation,0,10,cantor_theorem_term,1.9918430860693626,1.9918430860693626,4.806615422553849,0.30633930950700217,0.9700699450026775,137,1.535068739643504e-06,0.7593463122724461,0.33201162885213886,10
,insufficient tail variation,0,10,cayley_hamilton_term,1.9346269549822674,1.9346269549822677,5.870929139890273,-0.37491060278024213,0.539389133372971,341,4.333594799031108e-09,0.7077269533919965,0.5896183775144546,10
,insufficient tail variation,0,10,divergence_harmonic_term,2.0221999673980697,2.0221999673980697,5.2460940662799525,-0.1250900202225676,1.1981349691177579,180,1.553576032676707e-07,0.9004522839474759,0.2308644771408901,10
,insufficient tail variation,0,10,euclid_infinite_primes_term,2.1405053960322364,2.1405053960322364,5.001340133288003,-1.0008387431122054,2.326036862033084,192,5.693316609762043e-07,0.3169047755297896,0.020016584271068186,10
,insufficient tail variation,0,10,extreme_value_term,2.066016362787659,2.066016362787659,4.618404745583755,-0.1580481395458418,1.228302340149399,190,3.867014205725525e-06,0.8744188655107769,0.21933349284646786,10
