in_alpha_powerlaw,in_alpha_xmin10,in_fit_status,in_lr_power_vs_exponential,in_lr_power_vs_lognormal,in_lr_power_vs_stretched_exponential,in_n_tail,in_p_power_vs_exponential,in_p_power_vs_lognormal,in_p_power_vs_stretched_exponential,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_fit_status,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
2.999999999999999,3.771856573441515,,-41.983111464675396,-12.862644140942635,-7.744776753306541,583,0.0,7.303489412672528e-38,9.574992718771216e-15,10,Alt_PI_eq,1.9157929662187674,1.9157929662187678,,5.7561427586098555,-0.9152799817447635,0.907415484145925,337,8.605761688052874e-09,0.36004466542294755,0.3641871242117678,10
2.999999999999999,4.279511350657044,,-13.090802147699037,-7.440653769628176,-7.657773912485399,489,3.716619055007802e-39,1.0018821887074648e-13,1.8918354713979943e-14,10,Bertrand,2.093177811727227,2.093177811727227,,6.604745511210658,-0.13601199571781863,2.2109598660299694,607,3.982007881004478e-11,0.8918117978807802,0.02703861640502501,10
,,insufficient tail variation,,,,0,,,,10,CSB,2.223427206881621,2.223427206881621,,1.5753318662476665,-0.611725645707613,-0.6544185794895386,40,0.11517986218832676,0.5407192911877967,0.5128421675501773,10
2.999999999999999,3.8305091116815433,,-23.025715235905444,-9.366863582571568,-7.548505663561693,535,2.57640365153428e-117,7.471986539619406e-21,4.402805678821436e-14,10,Cardan_Tartaglia,1.8938973677375293,1.8938973677375297,,5.48373573534736,-0.6082826300374834,0.7419359571638773,291,4.164367145900075e-08,0.5430000393917318,0.4581261387867981,10
2.999999999999999,3.807534230589449,,-8.44473920386629,-6.348876557834895,-7.364525614590165,312,3.0472498213717164e-17,2.168929788847557e-10,1.777779174607549e-13,10,Cauchy_Schwarz_inequality,2.127476440817648,2.1274764408176474,,4.308551010359227,-0.80685913280607,-0.18939917824039496,447,1.643275792297676e-05,0.41974764607547754,0.84977996848215,10
2.999999999999999,11.001402770844047,,-3.9726014293057696,-4.874200050912412,-4.016392169598228,18,7.109194838666761e-05,1.0925023868442889e-06,5.9095884685003866e-05,10,Cayley_Hamilton,2.0913152635768792,2.0913152635768792,,4.480999300205673,-1.905826513896963,-1.9770249615753452,464,7.4294355061230385e-06,0.056672717766221896,0.04803880872794382,10
2.999999999999999,3.709944420303282,,-9.901389033501513,-6.604952289672638,-7.420359570290329,554,4.105329684649131e-23,3.976453855635407e-11,1.1680279352178788e-13,10,Ceva,2.105992387501489,2.105992387501489,,4.754561333505677,-1.2602067668486927,-0.9701756710319226,529,1.9887776040478967e-06,0.20759478240452522,0.3319589354298008,10
2.999999999999999,3.7359382724165577,,-25.838752129704336,-10.503218633994507,-9.219152193125268,867,3.255330734578103e-147,8.348405251474338e-26,2.9945850066884355e-20,10,Desargues,1.9945296213239265,1.9945296213239265,,6.689377613937541,-0.7034219167839391,1.810093217810602,499,2.2412172886536185e-11,0.48179285205535505,0.07028133256249396,10
,,insufficient tail variation,,,,8,,,,10,Euler_Poincare_criterion,2.2161957480173387,2.2161957480173387,,4.739653004069769,0.3993228673064194,1.3989967610879057,747,2.140845251242419e-06,0.6896553197934907,0.16181395433389623,10
2.999999999999999,13.938789984206627,,-6.6841297319099535,-12.873961246463349,-12.874071220658218,11,2.3230095031035106e-11,6.308204923964465e-38,6.299226846753556e-38,10,Euler_exp_totient,2.2432067746698507,2.2432067746698503,,4.053419088733693,0.334429863096669,1.5032161509124344,630,5.0474462322901694e-05,0.73805520788058,0.13278331399669846,10
