uuid,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_n_distinct_premises,h_vocab_ratio,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_n_distinct_premises,a_vocab_ratio
70482d7d-b071-5b11-803d-945e657ce984,79,45,15,133,18,0.13533834586466165,88,51,16,45,5,0.1111111111111111
9d27788d-fd99-5a8d-b126-293d217a55b9,25,11,0,14,13,0.9285714285714286,47,22,20,27,6,0.2222222222222222
fed20448-a86c-5b92-a1b5-bc9bb1e236d4,62,19,10,2,4,2.0,32,7,5,1,3,3.0
230b0c47-45f1-50fb-b609-5f7694da17e2,74,40,34,62,18,0.2903225806451613,49,22,20,7,4,0.5714285714285714
fc017bd5-039f-5a5c-ac34-31a02616be89,67,33,7,12,11,0.9166666666666666,85,32,20,70,9,0.12857142857142856
2dafbfa8-1618-51cb-a071-1123c892e9ca,26,6,5,2,5,2.5,26,8,11,17,5,0.29411764705882354
c4537555-15e5-5219-a428-981bae856bf1,80,38,20,53,18,0.33962264150943394,47,21,20,61,9,0.14754098360655737
30944b94-79ea-564d-98d2-452f0dc4dff2,17,13,0,1,5,5.0,23,13,6,17,14,0.8235294117647058
e16eeffb-96cd-56a1-94d2-d6440b009e0e,71,38,6,39,19,0.48717948717948717,69,25,37,3,4,1.3333333333333333
9a76e23c-4202-5c4a-a5da-0d3f17501eed,65,34,21,10,5,0.5,73,39,31,12,7,0.5833333333333334
7e7c02f3-96a1-517c-84be-d8f728d8bbf8,31,11,7,11,13,1.1818181818181819,36,17,18,5,4,0.8
1c5a22ed-fe42-5b89-812c-42fdd63bde93,60,24,3,37,23,0.6216216216216216,59,28,18,2,4,2.0
4729d978-3a80-578a-9a3c-620b5e289261,49,21,16,27,7,0.25925925925925924,36,16,7,23,9,0.391304347826087
340b28b7-bdfc-5bdf-aca8-74f2e7f837a5,40,25,12,12,11,0.9166666666666666,31,12,4,5,3,0.6
5a64a04e-2128-5abd-8d29-20a180e8dd93,41,19,7,21,14,0.6666666666666666,92,42,22,31,6,0.1935483870967742
ce282cda-a30b-53aa-8703-e188b4854ab2,23,15,0,15,17,1.1333333333333333,36,19,5,5,8,1.6
3a0c48ab-09ef-5e77-b347-bc59f3d97072,100,55,15,26,24,0.9230769230769231,12,7,5,1,2,2.0
8a60ff2a-2cbb-5a71-8088-25a4d01b1673,52,33,4,41,21,0.5121951219512195,31,18,4,11,6,0.5454545454545454
c4f00782-4c1e-5869-9a39-825a6a11d1a2,77,36,15,3,4,1.3333333333333333,34,18,2,2,3,1.5
788625c0-e865-5159-b711-bda8e0edcfdb,140,73,21,84,45,0.5357142857142857,56,26,18,26,10,0.38461538461538464
36bb6af2-fb18-5279-918f-d4ff6ad177be,43,19,18,1,2,2.0,55,20,18,10,10,1.0
d72cfd93-56ee-562f-b38a-f72921acce81,18,6,0,3,7,2.3333333333333335,42,26,23,5,4,0.8
ae1d2495-c660-5c94-bfb8-8e448e5fcb33,26,19,6,20,11,0.55,31,22,6,21,12,0.5714285714285714
ecbfeacd-3acf-5f64-a30b-be05e36e7f42,32,11,3,18,18,1.0,37,15,9,4,5,1.25
1414cef2-a767-533f-a099-1de6b7104c49,130,56,31,58,20,0.3448275862068966,100,45,32,41,15,0.36585365853658536
3b35a861-aa93-5b68-b4f3-2d883c4c644d,46,28,8,49,22,0.4489795918367347,66,23,14,32,21,0.65625
b7e62b95-c08c-5ab4-934a-d6fd83a531b1,39,17,1,11,17,1.5454545454545454,79,29,18,22,14,0.6363636363636364
676c2394-93f5-55b2-9a30-10a95976ee36,61,45,3,13,11,0.8461538461538461,16,5,2,2,2,1.0
3ad4b3c6-40b6-5310-95d8-49182d1f3dad,128,61,21,10,8,0.8,25,5,5,4,3,0.75
780392a9-25c8-520e-a65b-adf0af9dedca,6,2,0,4,5,1.25,9,5,1,7,6,0.8571428571428571
4399cf76-6b93-58a2-97ac-ef57eb88b098,64,30,9,57,19,0.3333333333333333,34,17,11,8,4,0.5
3ec30f20-a0c3-5ef2-98b1-bf1a215eed17,44,21,9,9,7,0.7777777777777778,51,22,9,14,6,0.42857142857142855
25bb0f39-b48a-56ee-8145-8eff2ea560d6,4,0,0,4,2,0.5,9,3,2,6,4,0.6666666666666666
b6c77f59-5d20-5e74-9cec-54b01c5280e0,29,31,1,31,12,0.3870967741935484,71,37,12,45,12,0.26666666666666666
8a45bd25-ae39-5254-a4c7-965462adfa8a,105,53,42,116,25,0.21551724137931033,50,25,14,62,14,0.22580645161290322
ac526486-e161-5418-96d5-5562fb976223,14,7,1,13,14,1.0769230769230769,3,0,0,2,2,1.0
93f334f8-17a1-5f56-9e62-027284fba865,25,11,8,10,17,1.7,22,10,4,7,10,1.4285714285714286
55285261-a18b-5990-9a85-455cd306c779,27,15,14,116,22,0.1896551724137931,24,8,15,69,9,0.13043478260869565
816811df-3bb0-59e3-95f8-9c6cf250aeae,41,34,2,11,14,1.2727272727272727,24,9,4,3,4,1.3333333333333333
e37987ec-64a6-5344-a72a-c86216d0d52a,66,34,6,33,18,0.5454545454545454,44,21,5,23,11,0.4782608695652174
10ee3386-00f8-5158-90bf-40dd199fbe9e,76,36,17,32,30,0.9375,25,12,7,2,3,1.5
31971f69-8581-5aa4-b13a-feab1600421a,35,19,9,7,8,1.1428571428571428,38,15,14,2,2,1.0
036e6d88-24e5-537d-9232-e58483ff3464,110,46,3,46,5,0.10869565217391304,124,52,20,78,10,0.1282051282051282
ea506f64-d77b-5edd-be1b-c4437d1a35f8,1,0,0,1,2,2.0,2,0,0,1,2,2.0
e654bce8-eb0d-5c19-93f4-be41eab6f850,59,27,4,11,13,1.1818181818181819,81,41,23,19,8,0.42105263157894735
bab55aa6-302b-538e-ae3a-b5ea4c64b5a8,56,31,9,2,14,7.0,48,30,9,1,2,2.0
78cc3bca-d8b6-5291-b16b-7f7f8665c196,25,13,7,19,18,0.9473684210526315,54,22,14,24,8,0.3333333333333333
9f725006-f7a8-541b-aafe-0ace13122ef4,99,51,20,7,4,0.5714285714285714,106,44,31,6,6,1.0
b9a4078e-5cca-5478-a091-2e884912c511,16,4,1,1,9,9.0,24,7,5,4,5,1.25
75884571-5957-5272-a161-653af2a1e9f9,59,33,12,36,28,0.7777777777777778,45,21,17,14,9,0.6428571428571429
49366beb-df38-5cd5-ba6e-adea1558dec0,14,3,0,10,14,1.4,11,1,1,6,5,0.8333333333333334
51aae4ed-1791-5b64-912a-96a3d575ad2c,64,24,5,47,31,0.6595744680851063,47,21,18,20,7,0.35
769a0ebc-2635-5ae8-af49-fbc5bd56f1db,71,42,23,18,21,1.1666666666666667,83,36,24,23,14,0.6086956521739131
ca0816c0-37bf-50f1-b95d-26de443a51cb,54,31,9,23,17,0.7391304347826086,50,30,10,17,10,0.5882352941176471
e7575bee-87f6-59b5-bd1d-ba46da38ec9b,31,13,4,12,3,0.25,54,16,18,14,6,0.42857142857142855
d64b87ab-201f-5e01-a606-649393d27b95,6,1,1,5,9,1.8,3,0,0,2,7,3.5
3d6ee832-3cfa-5bd4-b914-f8f5368469cf,117,49,20,14,11,0.7857142857142857,24,10,4,3,2,0.6666666666666666
500c46e9-35d3-573a-87b1-5fe067a6aaf7,27,13,2,25,15,0.6,117,63,42,30,6,0.2
2cdc8ae3-e67c-54ec-9bf1-4ee1d5e58b1b,20,6,0,10,7,0.7,23,17,8,15,8,0.5333333333333333
d51aa77f-1868-5aa1-833f-f1f3da8dee56,62,33,3,7,6,0.8571428571428571,58,26,16,12,10,0.8333333333333334
4bc9f98a-1804-5bc1-9726-e66f5a426c8e,71,40,10,14,6,0.42857142857142855,91,33,45,9,3,0.3333333333333333
19a6de8d-a5ae-51a4-a241-bfc1b53d6d3c,18,10,0,5,13,2.6,18,9,0,7,5,0.7142857142857143
e836b428-fe93-56bc-8497-0071799cb7bb,16,7,1,3,6,2.0,32,15,2,10,9,0.9
2d831db5-b375-5aef-a743-36b133e9b871,3,0,0,4,13,3.25,3,0,0,4,5,1.25
0f710546-4a1a-591a-8bab-a747ffca65ed,95,51,28,16,13,0.8125,155,53,6,79,17,0.21518987341772153
42659f89-ab5a-5dd5-86dd-621f984c42fe,37,15,10,21,23,1.0952380952380953,79,38,25,27,7,0.25925925925925924
b8f71f02-b48b-5dea-a2df-4387e860aaec,62,23,22,2,8,4.0,50,23,13,15,10,0.6666666666666666
a5ad8eeb-c460-5dfd-9f6f-41e61e8dc7ec,107,55,6,6,6,1.0,41,20,8,5,6,1.2
f015dd52-a4eb-51a8-ab99-7b9bc6637313,2,0,0,1,2,2.0,2,0,0,1,2,2.0
29fe72f3-d54a-544a-ae57-9d374193adc8,55,33,3,20,17,0.85,59,27,22,17,11,0.6470588235294118
bada1faa-8ce8-5f2e-957d-a22641d117e1,14,3,1,8,10,1.25,65,22,23,27,7,0.25925925925925924
c5ea827c-6f5e-5e2e-a8f1-d744cc1603ec,39,13,6,8,9,1.125,26,10,7,6,5,0.8333333333333334
ad4ad267-bba5-5d15-961a-656d69d64ffe,74,37,19,49,34,0.6938775510204082,86,34,24,20,12,0.6
d828c57b-fe5a-5817-ad0c-80f00a07373f,34,14,1,26,23,0.8846153846153846,119,52,34,10,9,0.9
24adbfdc-769c-56fd-bc66-49c8324255a1,2,0,0,1,2,2.0,2,0,0,1,2,2.0
503577ff-4541-5826-b2ca-54c0d39f9d3c,82,35,11,6,7,1.1666666666666667,70,27,11,19,15,0.7894736842105263
04aeef30-0464-5705-909b-a618782d057c,46,19,4,58,26,0.4482758620689655,12,13,10,53,16,0.3018867924528302
d84df30f-b543-5e8a-937a-56117f59349b,5,2,0,2,4,2.0,16,5,4,14,5,0.35714285714285715
17246a2c-fe3c-50b5-8c6c-22ca25531289,70,46,25,3,4,1.3333333333333333,124,59,31,6,2,0.3333333333333333
f27d99ba-0a02-53ad-9b13-ef03a28e3f35,59,40,0,6,6,1.0,49,20,12,8,5,0.625
18a21115-1b2d-5980-9243-08595bffa79c,1,0,0,2,2,1.0,2,0,0,2,2,1.0
cb821351-aa05-5317-9648-69013df1ebc9,41,21,4,10,12,1.2,39,23,11,2,4,2.0
39df2403-1aaa-560b-ab22-f84b3fa04be0,15,6,0,5,6,1.2,15,6,2,5,5,1.0
0a891d0e-b741-58f3-9d9d-bafbaa29d9cb,8,2,1,1,2,2.0,13,3,2,3,3,1.0
40875815-89ae-5372-87b2-ad615daca738,18,11,4,3,13,4.333333333333333,28,13,9,1,2,2.0
b3e30ae6-329a-5425-b7a9-e161e23aaacc,9,4,0,4,5,1.25,17,5,1,5,4,0.8
4b794509-4d49-5f1e-8ce7-6cebf16a51be,118,69,34,42,29,0.6904761904761905,34,20,14,7,4,0.5714285714285714
9cb87168-beec-5305-ab44-f2bf04508d9a,119,47,28,231,9,0.03896103896103896,25,8,6,2,3,1.5
dd77b7c3-1d93-5a3d-9703-b2dc6817ab56,4,1,0,9,6,0.6666666666666666,3,0,0,8,5,0.625
7fba6209-af5e-5bb0-a197-cd009a2d306e,131,56,5,50,22,0.44,31,21,5,5,5,1.0
06e244fd-2e52-5fbf-801b-7402ec67c0a9,74,44,17,17,9,0.5294117647058824,75,41,13,1,4,4.0
f8c2f987-d607-51bb-b62d-1c0e7e11c9e1,38,20,5,22,20,0.9090909090909091,55,22,21,39,19,0.48717948717948717
e63783ae-224c-5245-ac8c-d1aefa47c720,6,2,0,4,7,1.75,8,3,0,3,3,1.0
3583dfea-380c-56ae-9317-17183ae10b7b,26,6,9,1,3,3.0,24,9,7,2,2,1.0
dd39098e-bb68-5b1a-a4a0-5fefb1ea4d12,47,28,8,9,15,1.6666666666666667,32,10,7,7,7,1.0
6f1ee239-b36a-5196-87ab-2c327d4b6704,11,3,2,3,5,1.6666666666666667,14,5,4,4,3,0.75
534d0f42-9254-5fa5-ae04-f7cedcddbfab,22,16,8,9,13,1.4444444444444444,22,6,6,3,2,0.6666666666666666
5bea964a-72fa-5215-b44f-a62ec9922291,121,41,15,4,5,1.25,95,49,17,43,18,0.4186046511627907
af918e56-cef0-5874-a930-58533edec005,105,51,0,55,7,0.12727272727272726,89,45,5,67,10,0.14925373134328357
81b1126c-7620-500a-b65d-23d7ddb7eff2,88,40,3,5,10,2.0,59,35,14,15,11,0.7333333333333333
71cf0c00-6fec-5b7f-b852-33bbc71ac917,22,7,0,2,13,6.5,7,1,0,1,3,3.0
938a30e4-e8aa-5206-bdda-18c570091b36,38,19,4,13,10,0.7692307692307693,55,27,20,27,8,0.2962962962962963
95974c55-3727-5c41-a0c4-818ff22ad4f7,42,16,4,4,5,1.25,48,18,17,6,5,0.8333333333333334
f77032d5-c410-54b2-8584-dfc55dcec800,43,16,6,17,12,0.7058823529411765,62,27,11,16,5,0.3125
31ed26b4-f003-5af7-a6ba-b606ce191ce2,20,20,2,7,12,1.7142857142857142,74,30,19,14,8,0.5714285714285714
d50973f5-0f75-572c-acad-a2474ec05dd0,86,39,17,1,2,2.0,110,48,37,30,10,0.3333333333333333
bc3c7b15-ba79-5445-8909-9a8fb226e983,2,1,0,2,3,1.5,7,3,2,3,3,1.0
2347fae1-f5c4-5022-bb73-b7d0f0fc2060,45,30,9,23,9,0.391304347826087,25,10,10,11,6,0.5454545454545454
2e51b927-9d65-5076-84f4-4312ff1bc097,51,30,2,8,14,1.75,88,35,21,25,16,0.64
887ceaa9-7371-59ea-bfe4-a980a5f2ff1d,37,15,3,14,28,2.0,24,10,8,3,3,1.0
7100ff31-90a8-5d09-9f51-ba699b25585d,24,6,1,15,10,0.6666666666666666,26,13,0,15,10,0.6666666666666666
d3f04a54-d76c-54ca-af68-cffb23fd9402,113,52,41,68,40,0.5882352941176471,66,32,23,49,16,0.32653061224489793
11ee8f2b-1a69-52d7-a9e7-420388da33f2,62,60,6,17,16,0.9411764705882353,239,108,59,101,20,0.19801980198019803
7ff07600-e55c-58f6-a90d-1e7da4466e42,206,89,54,79,44,0.5569620253164557,122,62,50,17,12,0.7058823529411765
d7118ee1-88f6-569b-a950-9d3b1207a42c,228,126,48,155,57,0.36774193548387096,27,11,5,1,2,2.0
96a6139a-3080-5cc8-a81e-8c5172afb8a1,115,75,17,28,22,0.7857142857142857,15,6,4,2,2,1.0
78180ddf-b449-527b-ab1f-06b4a6e4d399,95,54,32,18,9,0.5,47,20,18,3,6,2.0
5c2c02e7-63ab-5b75-9dc2-139c17ae43aa,51,15,3,18,17,0.9444444444444444,16,4,1,1,2,2.0
0be6507c-31e8-5f01-a412-a7d7b9d17dcc,128,72,32,55,36,0.6545454545454545,14,7,5,11,4,0.36363636363636365
20f6251a-84d0-5bfe-9894-c111eed1647a,31,11,2,14,14,1.0,44,17,8,24,15,0.625
8e41022b-daa7-576e-9e34-0b93ec6ac5f6,10,9,0,11,19,1.7272727272727273,12,5,1,18,10,0.5555555555555556
4453d7a8-ffcb-58df-a3e4-9a5a29b24df4,16,7,0,3,7,2.3333333333333335,32,13,6,9,6,0.6666666666666666
60b591bf-6303-5f42-813d-bcf682a1bda7,135,65,31,176,85,0.48295454545454547,101,52,21,114,73,0.6403508771929824
aea864d0-1204-5050-a334-547dfe21a066,148,67,9,10,9,0.9,196,65,43,66,24,0.36363636363636365
373afca0-a2b1-5efe-bbf8-78877965bf02,31,20,15,53,12,0.22641509433962265,26,14,9,76,6,0.07894736842105263
8a21ac35-8526-5797-8daf-70671bbe0a43,22,8,1,6,12,2.0,28,10,6,8,8,1.0
9cb44684-15f5-59e3-8c4c-d40d54717fbb,63,27,22,4,5,1.25,61,33,22,13,3,0.23076923076923078
00f6f69b-72cf-535d-a302-512f47648dca,88,48,32,70,24,0.34285714285714286,221,84,53,106,18,0.16981132075471697
1f356093-c5fb-5074-aa53-20b1475a7a45,24,17,7,2,5,2.5,83,48,20,6,2,0.3333333333333333
bbe59a8d-2d8c-5d21-9c23-3fd0b92c50df,15,9,4,13,24,1.8461538461538463,57,28,21,7,7,1.0
60b6e95b-649d-54bc-9dfa-aee947c6e108,38,21,8,48,13,0.2708333333333333,63,29,21,64,15,0.234375
afd93506-b1e3-571d-821b-96bcb7baf197,42,10,0,9,6,0.6666666666666666,52,21,17,13,10,0.7692307692307693
1708a5f0-9da6-53e5-aa73-20a292d4d4ef,38,26,7,13,17,1.3076923076923077,52,22,14,8,6,0.75
af0b76ff-55e2-5749-adc0-53b5b08b6c44,49,27,18,34,8,0.23529411764705882,53,30,17,37,9,0.24324324324324326
cd81e053-625a-5c48-9f9d-490999294799,59,49,4,35,35,1.0,19,7,2,4,4,1.0
a2545544-1c54-57c6-8f0f-dcf9c07681b3,9,2,0,21,11,0.5238095238095238,4,1,0,9,4,0.4444444444444444
21eb8339-9e6b-5eb5-919c-057b4043a047,41,16,10,11,9,0.8181818181818182,22,8,5,6,4,0.6666666666666666
7289ddc6-743f-59a7-8b20-b33db07dd7e6,3,1,0,1,2,2.0,3,1,0,2,3,1.5
c7d0193c-ad53-51f1-9240-42eef636bd07,58,31,12,7,13,1.8571428571428572,36,13,6,6,4,0.6666666666666666
aec04599-52f6-5b38-8e79-a84d760c7fd6,3,0,0,3,10,3.3333333333333335,3,0,0,2,2,1.0
f1dca99e-2ebd-5550-b331-f9e00950b59e,19,10,1,5,8,1.6,45,20,16,3,4,1.3333333333333333
bbf38730-9ee5-50ad-b3ec-e2135f4fe635,52,31,17,19,9,0.47368421052631576,73,34,30,8,5,0.625
0593f7aa-5182-564b-b5e1-161cdf7d3d28,21,9,1,3,5,1.6666666666666667,47,26,20,12,8,0.6666666666666666
e91c48ee-e8d7-57eb-bcd8-1ee2c52e4e83,65,32,3,5,14,2.8,49,25,9,13,11,0.8461538461538461
71dcce19-80ca-51db-99dd-0183898192c0,70,34,8,19,15,0.7894736842105263,36,14,11,10,7,0.7
6c09f387-0106-5da6-b042-b09de930f110,54,24,5,4,6,1.5,73,27,30,2,3,1.5
c3d92e3e-8f93-5a2f-911a-2297665ac83c,87,70,33,57,23,0.40350877192982454,8,3,0,9,7,0.7777777777777778
b1947faf-1c05-518a-9de0-f54697637ee0,32,13,7,9,8,0.8888888888888888,38,12,15,22,5,0.22727272727272727
c5e74a2a-63a6-52f9-9de3-7feaa2073499,76,36,16,42,13,0.30952380952380953,29,12,8,19,9,0.47368421052631576
2341777f-9b89-5bb6-a321-60d6e33d9dff,54,27,5,1,3,3.0,64,29,13,7,5,0.7142857142857143
95d85190-bb4d-53fd-8475-23030207d2a8,23,15,2,25,21,0.84,40,16,9,12,6,0.5
91a87727-d3b0-5069-8078-655c40c756d8,17,10,2,2,5,2.5,31,12,14,11,4,0.36363636363636365
c75b3426-d9c3-5302-89f1-db4a6de4a2c0,28,11,2,18,15,0.8333333333333334,24,16,0,20,12,0.6
c00c8fff-4270-5561-80f2-876366c0bda2,91,65,14,13,10,0.7692307692307693,146,82,28,39,11,0.28205128205128205
0490c5e2-22d7-58d0-85c9-e3d695810d49,14,4,0,9,11,1.2222222222222223,17,7,0,14,7,0.5
4be7b59f-2fbe-5d86-9149-9678b74f239d,28,12,3,14,12,0.8571428571428571,66,31,24,13,8,0.6153846153846154
97d1bc37-be52-5922-89eb-457a1a08d06c,34,15,9,11,8,0.7272727272727273,38,18,8,20,9,0.45
80cfd283-05d0-5cbd-9255-b643c6ad1f52,110,45,8,9,9,1.0,177,68,43,51,24,0.47058823529411764
c2aaa2a2-4ba9-5f1d-a7eb-dfee2ff652da,59,25,7,13,11,0.8461538461538461,86,40,25,9,7,0.7777777777777778
0d2ed039-79e8-557b-8fc3-1f56775d79dc,148,83,42,61,44,0.7213114754098361,73,41,17,26,20,0.7692307692307693
3b2bb959-2a39-584c-8882-3cd6abcdf094,110,61,33,60,34,0.5666666666666667,95,54,28,41,23,0.5609756097560976
51eda66a-ce66-5f62-9562-313f221a7c09,43,22,4,43,30,0.6976744186046512,6,3,0,11,6,0.5454545454545454
63189cbe-5d4e-5a58-beb6-c574eb214680,34,12,5,3,6,2.0,25,8,3,2,3,1.5
b73373d1-3778-5b34-9682-189a90e8d9ed,25,18,4,24,17,0.7083333333333334,8,3,1,19,6,0.3157894736842105
2590c3a7-f14d-5a63-b9b2-dadc8089c5db,36,19,3,5,6,1.2,32,16,3,5,4,0.8
2c87b33e-8f31-530e-800a-213ea3e6045d,157,71,18,24,17,0.7083333333333334,83,38,9,15,12,0.8
ec8d7bcc-a778-5811-b212-d60d661b06dd,163,81,22,45,21,0.4666666666666667,143,79,22,40,16,0.4
827702da-2b10-5cbc-848e-b3c15935bfc4,45,26,6,3,8,2.6666666666666665,47,22,18,1,2,2.0
05f39502-4a46-5dee-92e2-a72ab92a59be,58,34,14,7,6,0.8571428571428571,15,7,3,3,3,1.0
6225d4ce-8f8a-5c07-8c9a-67229423154a,26,10,2,20,9,0.45,30,19,9,17,11,0.6470588235294118
8cba6110-c935-5fbc-9249-a260552633b5,43,15,12,11,11,1.0,36,13,12,5,5,1.0
fd4819eb-c0f9-5270-a6a5-e8e67f376564,51,23,1,6,8,1.3333333333333333,116,51,51,15,13,0.8666666666666667
f4021d4c-718c-5bb4-8e8b-d3d4e3a78f56,52,21,10,19,17,0.8947368421052632,64,23,23,25,15,0.6
1bd1b908-1c12-5076-b518-5144f764d12f,104,46,27,10,11,1.1,61,29,19,25,6,0.24
993c52db-b5d2-5745-b13e-fc9e7eac0ee7,89,46,2,5,7,1.4,75,40,10,36,16,0.4444444444444444
28958f55-da2e-5e4f-a534-46451bbd04bc,16,7,0,12,11,0.9166666666666666,20,8,1,6,5,0.8333333333333334
1aeee193-2a31-520b-a0dc-673d59b907ea,34,19,16,24,18,0.75,29,14,10,13,9,0.6923076923076923
22790e68-d6a6-549c-8029-968a615e525b,44,26,13,8,10,1.25,36,27,13,9,5,0.5555555555555556
31f6864c-afe5-5b88-a3f2-cc06843e9ae6,121,73,30,54,22,0.4074074074074074,21,7,5,20,7,0.35
a60fd8a9-60fd-534e-87ca-135dd46ee4b6,42,9,3,34,13,0.38235294117647056,36,13,13,34,8,0.23529411764705882
1863dac1-7bf4-5e2a-babf-a307eec80077,63,30,19,120,22,0.18333333333333332,46,25,14,81,12,0.14814814814814814
2790972b-9c66-59ec-9cdb-21a5f2ec8686,95,51,11,41,36,0.8780487804878049,7,2,1,6,6,1.0
6e54f0b1-509c-5142-a81e-02fe96bf4487,32,19,7,9,12,1.3333333333333333,79,33,24,21,7,0.3333333333333333
04f00bb0-c6b8-5d71-9361-13e15b39101f,21,3,0,14,20,1.4285714285714286,14,1,0,12,19,1.5833333333333333
ccc6b314-e521-5011-9cb9-847d8395f457,66,37,4,5,6,1.2,56,25,12,15,11,0.7333333333333333
6192e886-9083-5dce-bc6f-779f20cc8416,26,13,8,7,12,1.7142857142857142,30,14,8,4,5,1.25
03a1c8d7-e7a3-5673-aee0-5344470d12cf,111,56,18,40,13,0.325,52,19,19,34,14,0.4117647058823529
c49974f8-3384-56ed-bab9-99d236746ce9,26,14,5,9,9,1.0,92,46,26,12,12,1.0
130544de-73e3-5b37-87fd-ecaf3bfa2eb6,160,69,17,12,5,0.4166666666666667,32,13,10,3,2,0.6666666666666666
b15d7ae4-e131-5303-93fb-bc7532d9013d,40,29,9,12,14,1.1666666666666667,57,30,13,13,6,0.46153846153846156
5171d1ad-d080-545d-b15b-90e88f57276d,37,13,1,14,12,0.8571428571428571,32,13,3,5,4,0.8
b430eda9-7b0d-506f-9d45-38c57e56f060,30,11,5,7,4,0.5714285714285714,23,10,3,4,4,1.0
5ae64c30-32c1-5d85-98ca-e586f0af56e0,6,3,1,15,14,0.9333333333333333,9,4,1,10,7,0.7
cd0b97bc-5ec7-5f76-9717-75365c5e0908,4,2,0,5,7,1.4,8,1,0,2,3,1.5
8d6aab62-1493-59a7-bfbc-f6e761f497c9,91,37,7,5,5,1.0,29,9,8,5,5,1.0
c2e37978-39bf-52d9-9b72-ca3f1aeb6ae5,20,10,6,7,14,2.0,30,11,12,2,2,1.0
2d88d3c2-aa9a-5634-8d8e-bb830a975fd4,53,29,12,25,29,1.16,82,31,38,47,10,0.2127659574468085
5c3c855f-03a0-5003-b8d3-d18b80e91c38,37,22,6,1,8,8.0,47,16,16,12,9,0.75
d0c1af2e-20d8-578b-ab03-8d2e498a2d01,19,9,0,57,13,0.22807017543859648,19,9,5,44,11,0.25
f0203dc5-ef11-55ab-b758-de5600e026c5,120,42,20,4,5,1.25,14,3,1,3,3,1.0
a6e9abf8-49ba-5278-94d2-9f26add87202,5,1,0,1,2,2.0,26,11,10,4,4,1.0
14bd707b-57e8-52bf-b964-81ec1e7aac2f,24,15,5,16,15,0.9375,18,14,4,7,6,0.8571428571428571
f8cb7d4c-16e7-525d-b29f-f406da162ea5,132,60,36,47,29,0.6170212765957447,45,21,17,9,6,0.6666666666666666
8956508b-8400-5730-accf-5174a3e40cd0,13,7,0,3,7,2.3333333333333335,9,3,1,3,6,2.0
e72fc59f-1ef0-53b3-adf9-79d037e5db86,16,11,4,6,5,0.8333333333333334,13,3,4,2,2,1.0
2b847ef0-4284-5f59-aa7f-a7be7ea1d200,37,15,17,3,4,1.3333333333333333,36,17,11,1,2,2.0
929bff55-e85a-5e64-a2cd-59609618d801,14,4,2,27,42,1.5555555555555556,88,31,4,32,14,0.4375
f7572090-3458-5c05-be49-1498466f7dac,16,11,2,6,3,0.5,28,12,5,14,6,0.42857142857142855
eb955ac2-e084-5402-b022-a5a483f1172a,29,19,6,25,19,0.76,19,7,7,4,5,1.25
2ab91001-30b7-5faa-9fa9-a9be564a0210,39,24,15,96,19,0.19791666666666666,33,9,7,55,12,0.21818181818181817
1c3ef16b-5db6-5686-aa0a-4f9bd5c0b0c3,17,2,1,6,9,1.5,28,13,6,4,3,0.75
350c3cb5-414c-5eed-8e58-f20bab2be1b6,14,6,0,23,11,0.4782608695652174,41,19,12,43,7,0.16279069767441862
b3c0e9d1-0712-59f8-9d4b-6f53e0593197,44,31,21,8,10,1.25,97,41,39,10,7,0.7
b4e260e0-88ea-5ca0-9fb7-0459d8128261,107,54,17,13,9,0.6923076923076923,57,43,11,15,11,0.7333333333333333
c84a0169-142e-529c-9e76-c1a4b36f4e2f,13,6,4,17,10,0.5882352941176471,21,5,5,13,3,0.23076923076923078
ef64bdf6-5284-50d5-a1c4-8fed1d5ab6a9,15,4,0,10,13,1.3,4,1,1,2,3,1.5
c3c08008-dcf3-5889-a518-ff3c668770da,44,48,7,38,21,0.5526315789473685,15,11,1,7,5,0.7142857142857143
fed1a0a6-72a7-5b2c-8f70-bf72326450fe,44,32,2,15,20,1.3333333333333333,86,37,37,3,7,2.3333333333333335
586c6828-1c08-58b6-9dcd-0dc195aa79a9,27,17,6,62,30,0.4838709677419355,63,20,30,69,4,0.057971014492753624
9d304beb-4259-5ae3-a56c-8d62bfd4fc0a,34,12,8,11,11,1.0,45,22,21,2,2,1.0
80979ea2-cf0e-5d2c-9f58-c0b91b7444fd,70,40,22,12,9,0.75,94,43,21,25,21,0.84
fb35c4cb-3560-5464-af88-33ab23446eb4,28,16,6,10,11,1.1,36,20,8,5,5,1.0
4aa029b3-a2f3-537d-a6e6-fbb790625b48,130,71,19,55,23,0.41818181818181815,66,29,18,25,4,0.16
114ac71c-5133-5782-b1e3-c4f837df69df,48,47,14,43,15,0.3488372093023256,190,84,38,265,21,0.07924528301886792
e209dfac-50f3-5e17-a08e-41cae1cb3392,47,23,6,8,11,1.375,32,11,1,9,3,0.3333333333333333
e6cc80f6-74f3-5251-8015-4dbb9e8e2c2f,43,21,7,25,13,0.52,14,7,2,5,5,1.0
22599b6f-b740-56ef-82ef-b4dba9ab02d3,28,12,0,12,8,0.6666666666666666,24,10,0,25,5,0.2
a79ae900-9843-555a-9cc6-7ba6c222c54b,28,13,1,1,7,7.0,21,12,1,4,6,1.5
b4812999-2325-57e7-88e2-5666cc9c6ffc,27,17,3,7,14,2.0,98,38,39,12,7,0.5833333333333334
