uuid,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_n_distinct_premises,h_vocab_ratio,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_n_distinct_premises,a_vocab_ratio
22f16324-e228-5b78-a185-f6ac3624ca26,2,0,0,3,4,1.3333333333333333,3,0,0,3,3,1.0
ec40eca0-1945-5805-b8fc-83bf5873067a,11,8,1,3,9,3.0,14,15,3,15,6,0.4
440f2c7c-8bbd-5708-927c-ef053fd35bd3,22,7,1,6,6,1.0,4,1,0,5,5,1.0
9892774a-7294-534e-bd52-6f19e2a40d24,7,3,0,10,12,1.2,7,3,0,10,5,0.5
ad39313c-2ce7-521a-a670-b9df993a8004,6,1,0,8,7,0.875,6,1,0,9,5,0.5555555555555556
d05b855a-4924-51f4-a4bc-80655e723e3a,6,4,0,6,5,0.8333333333333334,8,4,0,8,7,0.875
2d4cb206-5d68-5d7f-92aa-d758a5de180a,6,3,1,2,4,2.0,5,1,0,1,2,2.0
3bf9c531-7ad5-534f-898a-a757cb8516c7,10,1,0,2,5,2.5,9,1,0,2,3,1.5
480d920a-6719-5a94-b6b4-93c69d407630,7,1,0,10,9,0.9,12,4,0,12,9,0.75
6818451c-9272-5a80-b5ad-c1a74c60ed11,13,5,0,7,9,1.2857142857142858,20,10,3,9,7,0.7777777777777778
3ff0af1e-8635-564d-b637-318acfeed9cd,64,34,12,46,19,0.41304347826086957,16,6,0,12,9,0.75
5d156a5d-0bf6-5dc2-8146-7b2418c2bce9,10,4,0,2,4,2.0,14,6,0,6,4,0.6666666666666666
cb9a6fb7-a80f-54bc-8a8f-81167e873d26,22,10,9,10,10,1.0,5,2,0,2,3,1.5
f10413c8-cf96-515f-a362-ca3296fdc00e,32,18,6,13,9,0.6923076923076923,16,7,5,7,4,0.5714285714285714
aa761cbd-938e-59e2-82be-2ce6f5c701c7,2,0,0,1,3,3.0,2,0,0,1,2,2.0
08acb0c8-2768-56e5-9032-c92b0ce67260,2,0,0,2,3,1.5,3,0,0,2,3,1.5
b52b33f4-2b5f-56b4-bc17-9c25755752d7,6,1,1,5,13,2.6,8,2,2,9,7,0.7777777777777778
e68a55a4-1a30-51f6-83e6-190eca097a96,6,2,0,4,6,1.5,14,9,0,3,3,1.0
2ca21479-97c4-5263-aa89-9c4da7ef58ec,17,6,2,4,6,1.5,8,3,0,2,2,1.0
8898bd29-2307-5301-8f95-1efe37c819b3,4,2,0,4,4,1.0,5,1,1,3,3,1.0
4ff58f19-5939-565d-91e2-137ea573db97,1,0,0,3,17,5.666666666666667,3,0,0,4,4,1.0
a79ff5a0-59f8-5464-8bef-fdbe98727dc0,14,9,2,41,23,0.5609756097560976,2,0,0,4,5,1.25
eb63c4a0-47e1-58da-bfd5-65846cfe60b3,19,14,4,2,3,1.5,15,10,1,3,4,1.3333333333333333
f250a4e7-e7c6-5d03-b825-99ef6a00e4f6,9,7,2,5,8,1.6,5,0,0,1,5,5.0
e3a73eb1-a13b-5445-b6f0-85bd223d9d21,22,11,9,1,2,2.0,16,7,5,2,3,1.5
57b2e6ef-c84b-54c8-bebf-356ebbb5a57f,3,1,0,1,3,3.0,2,0,0,1,2,2.0
cbc8b348-1470-57fd-adb8-7436ffa948d4,13,6,1,2,4,2.0,8,2,1,1,2,2.0
740dcefb-0ed5-5589-b8cd-99c00e997a48,15,7,2,1,9,9.0,19,5,0,9,8,0.8888888888888888
d0c4d578-c4af-5760-9aed-dff9829f29f9,13,6,5,14,10,0.7142857142857143,22,14,9,26,11,0.4230769230769231
c267ff2b-9dc8-5dfd-b7fe-e7096d53c54f,6,5,1,11,7,0.6363636363636364,8,3,1,9,6,0.6666666666666666
5e323eec-d402-533d-b892-dfe7b940dfe0,2,0,0,1,2,2.0,2,0,0,1,2,2.0
b2e9f3a3-a7a5-5788-807d-a934ca9df56d,3,1,0,1,3,3.0,2,0,0,2,2,1.0
74e05d44-1e11-5101-b3be-e133b31d5a20,27,11,1,5,4,0.8,15,8,1,10,4,0.4
5a7fc501-05ee-5093-ae1e-f40fa482b2bc,103,106,21,49,22,0.4489795918367347,15,7,0,8,4,0.5
8fbe9093-0fbc-53b0-8e44-74f05c9b22e1,9,1,0,6,4,0.6666666666666666,24,10,0,18,3,0.16666666666666666
5e987250-9d05-56ce-ba34-21dacf0af756,11,10,0,7,9,1.2857142857142858,23,10,3,9,9,1.0
95cc16d3-0dbe-5ea7-8a67-94f493c0292c,8,3,0,1,5,5.0,14,6,0,7,6,0.8571428571428571
a81a9e35-aab0-5029-8b6f-7dd84cc30c7f,7,2,0,5,13,2.6,27,8,7,12,2,0.16666666666666666
c4261dae-ec2c-5083-b3d9-39a9e6d4d650,24,8,4,6,7,1.1666666666666667,20,8,5,2,4,2.0
fd82fe58-d9de-5e42-84ec-fe109199f99e,4,2,0,1,3,3.0,17,9,2,5,5,1.0
6bf8e110-28f3-519d-843e-dae3dea3420e,4,1,0,4,4,1.0,57,15,6,46,4,0.08695652173913043
4260e68a-c655-55b1-b377-10576fb84908,2,0,0,1,5,5.0,2,0,0,2,3,1.5
7031ed4a-6182-5c7d-9d19-55bf96626696,122,56,3,74,30,0.40540540540540543,3,0,0,2,4,2.0
f960eb42-b31d-572e-a814-3d07654fe7f8,46,22,7,45,15,0.3333333333333333,37,21,13,28,8,0.2857142857142857
80de1ec1-dcf4-5b11-b777-080ba54d9e11,15,7,0,5,8,1.6,13,6,2,7,5,0.7142857142857143
7f32ef1d-a2c4-53fb-b747-cff52bc27969,8,5,0,3,6,2.0,14,4,2,9,4,0.4444444444444444
7415487b-4d1c-5225-b41d-187e2103b8a5,16,8,2,9,11,1.2222222222222223,22,9,2,7,5,0.7142857142857143
4bcf9945-b019-5cdd-9740-58d09951f26a,6,3,0,9,15,1.6666666666666667,6,3,0,9,9,1.0
149fe16f-5e4d-586c-aea5-aafc6a7e9dea,20,7,6,9,10,1.1111111111111112,11,5,5,1,2,2.0
c9f61fd9-ba98-5489-85d6-2e802e808586,8,3,1,15,14,0.9333333333333333,2,0,0,2,3,1.5
5c432470-c0d6-54bc-bc96-c692626417f6,9,4,1,5,11,2.2,14,7,3,4,4,1.0
bf349feb-5acc-532b-89b2-db5165c221fe,6,1,0,8,7,0.875,23,8,5,27,5,0.18518518518518517
e2a542d7-80ce-5a8d-9d83-f30dc98bc69e,13,2,4,6,5,0.8333333333333334,19,7,8,8,5,0.625
2f0c61c8-a8f7-54be-8c18-babaa91b1821,27,12,2,26,24,0.9230769230769231,4,0,0,8,5,0.625
7f25083e-d944-547c-bfed-77570ed80ce7,9,3,2,11,12,1.0909090909090908,6,3,2,5,6,1.2
db22416f-edac-53e8-82a2-7cb4430dc165,13,5,0,4,10,2.5,21,12,0,10,6,0.6
e335c305-2d2b-5fdb-be7b-6b5398180927,2,0,0,3,2,0.6666666666666666,2,0,0,3,2,0.6666666666666666
3eaf1908-388c-5c22-b2c2-72920de9783e,171,78,28,149,47,0.31543624161073824,139,69,17,120,31,0.25833333333333336
ff9f44c9-a287-5374-b452-69ecd4cf3aed,14,8,1,9,12,1.3333333333333333,6,2,0,3,5,1.6666666666666667
677749e1-a5df-520c-a393-4d2bc19245e1,25,14,2,3,4,1.3333333333333333,26,12,2,9,8,0.8888888888888888
29b6459c-dddf-570a-a965-389f01da2156,33,16,3,20,13,0.65,2,0,0,1,2,2.0
5bd30240-d09e-587e-b3ea-7f53b65393eb,2,0,0,1,3,3.0,2,0,0,1,2,2.0
c81e61c2-4b24-58c8-9928-a251d33f5abe,9,4,1,9,5,0.5555555555555556,37,30,1,13,11,0.8461538461538461
48881c66-0ff2-5b04-b9b8-7c62ba081dd1,99,56,9,7,13,1.8571428571428572,54,34,8,11,5,0.45454545454545453
6c0af0ff-15d4-5789-a0a7-c75631416239,13,7,0,12,9,0.75,11,3,4,13,12,0.9230769230769231
7b69108e-db63-51a7-b732-891ae946fce7,3,0,0,4,2,0.5,12,4,4,7,2,0.2857142857142857
08a52a63-e01c-5b62-b4b2-a83dd874dfa9,101,51,8,119,56,0.47058823529411764,5,1,0,5,7,1.4
3d18ef8b-e560-53f5-8de5-6c38c0ccf174,4,0,0,2,2,1.0,4,0,0,2,2,1.0
fec805f0-ea96-541a-9f9b-a152d0b61a98,11,4,1,3,9,3.0,17,8,5,1,2,2.0
4e8f58e6-96cc-5d4d-838d-83f64b3cd30f,4,2,0,1,3,3.0,11,6,1,3,3,1.0
08a92869-afe8-5079-8819-d2abb0cfe831,2,0,0,12,4,0.3333333333333333,3,0,0,12,3,0.25
1a0e69c5-b488-5319-9224-e076131bd7d3,103,48,19,44,32,0.7272727272727273,68,34,12,47,13,0.2765957446808511
