uuid,source,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_premises_loose,h_premises_strict,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_premises_loose,a_premises_strict
adf94e59-3522-5842-bbe3-a927abfacaae,math_train,4,1,0,10,3,0,3,0,0,10,3,0
49fcb0c0-b9c6-577f-a997-a647ba774111,math_train,6,0,0,1,2,0,6,0,0,1,2,0
c164b95b-cbbc-55e1-9d09-00e71f5114eb,math_train,33,19,5,24,11,2,46,27,1,10,15,7
81db3cca-77a8-5444-9280-4a2a7ee440cc,cn_k12,16,9,4,3,3,2,22,12,6,1,2,1
5e9baaee-ab28-5f1c-b48c-070c8c439660,amc_aime,13,6,3,40,10,3,6,1,0,18,7,1
12681406-971a-5882-80f9-9da6a98b11d6,cn_k12,4,0,0,5,4,3,2,1,0,4,4,3
6a121104-e350-534d-9b58-f1c1831bf269,math_train,2,0,0,3,3,2,2,0,0,1,2,1
e1f76310-5152-5377-858b-77c99ba18e6e,number_theory,8,4,1,5,6,3,18,8,2,2,3,0
7cf415f9-b574-5313-91e8-c0caedd78ad5,math_train,42,32,7,16,10,8,9,3,1,5,4,3
3b77b23f-6d08-5aad-891e-8a6389459187,number_theory,3,1,0,4,3,2,3,0,0,3,3,2
122f4df2-6217-5df8-bbde-e29e06a22197,math_test,26,13,5,15,13,10,11,8,2,4,4,1
b5ae744f-60b7-526a-83f6-920dea3217ee,number_theory,18,9,5,19,10,9,20,8,0,11,5,4
8694b7be-f6e2-501a-9db2-3dc4ee5e11e5,math_test,7,2,0,2,3,2,19,9,4,2,3,2
3c02fb15-0121-5a85-9dd0-04cdaefb280f,math_train,2,0,0,2,3,1,2,0,0,3,3,1
c38d0acb-7967-590b-9da2-033b9c3e640c,olympiads,171,91,40,37,13,9,25,16,11,10,4,2
8bc2c620-796e-53ac-b111-86fadc4cf1c4,math_test,13,7,1,1,2,0,11,6,1,1,2,0
9effdc53-2cff-5734-a844-ecbde5ff2689,cn_k12,10,7,1,2,4,0,12,5,2,5,8,4
4b2c224c-90d5-5494-94be-4200b0e54354,math_train,8,1,0,1,2,0,15,6,1,1,2,0
2650134c-ea25-5263-a054-c5aecb28c5a2,number_theory,11,1,0,3,4,2,11,1,0,3,4,2
feb0f4e2-c8eb-558f-91f0-8df8314144d8,math_train,2,0,0,2,3,1,2,0,0,2,3,1
c32a1626-0aba-5111-85fa-97c2f284af1e,math_train,8,3,0,9,9,7,21,11,3,3,4,2
e9e4e2ab-91de-5dbf-980b-aa928b768204,math_train,8,6,5,12,3,2,7,2,0,6,3,2
6189711d-dda9-5275-8c0d-51252ba0be6f,math_test,2,1,0,1,3,1,2,0,0,1,3,1
3e341530-0307-50df-9ded-9117ac276642,math_train,8,5,2,4,2,1,9,7,2,10,3,2
36d7d304-c615-5a85-8984-996310f9c8cb,math_train,2,2,0,1,2,0,10,4,1,1,2,0
fc3dfe31-9b15-58db-a1db-5ca5b33a2118,cn_contest,18,9,6,24,5,4,12,5,4,18,5,4
16bca762-1199-5a06-a2c9-ee899453b2c0,olympiads_ref,2,0,0,2,3,2,2,0,0,2,3,2
9d85b82b-1090-542a-ae8b-29cc6b9fb4ec,math_train,5,1,0,2,2,0,12,6,1,1,2,0
95b14d4b-9c07-5408-a79c-c2b6bcd13087,math_train,5,1,0,5,3,2,9,2,2,12,10,9
84100d65-97bf-57b3-9e57-3d2cfbbe8dc2,amc_aime,6,2,2,4,3,2,6,3,0,4,3,2
fdcb70c9-9030-5017-835f-a81b001c1120,olympiads,53,33,7,18,13,11,36,19,6,14,11,9
debcd118-56af-5057-bc57-40d4b601497a,math_test,30,12,2,22,7,4,21,9,0,1,2,0
79ed8df4-29b9-5cc2-985a-2c28431d6ffe,math_train,2,0,0,1,2,1,2,0,0,2,2,1
4c8a54a9-84ac-52b2-a3cf-7a9efbf668b5,cn_k12,12,10,2,3,3,1,27,8,2,11,4,2
4aa667b9-3a4b-55f6-9881-db3431a26749,math_train,2,3,0,1,2,1,6,0,0,2,3,2
83141d85-8ebc-5f44-83b1-3eb4e9d322cc,math_train,56,26,5,25,16,14,8,3,1,9,6,5
b4b897fd-9be8-5b50-bc8f-1048f8abe96d,amc_aime,6,0,0,7,4,3,12,6,3,6,4,3
0f5fdc1f-722c-5eeb-bbe2-396ed66f3188,math_train,2,0,0,1,2,1,2,0,0,2,3,2
cc759748-663f-5452-9bce-52c567db6e8d,number_theory,4,1,0,4,3,1,4,1,0,4,3,1
185bf34b-853f-5afd-a392-675d287adeab,math_train,17,14,5,4,5,3,29,23,2,6,7,6
5b31ad23-3728-5d7e-8971-f26bb0b56192,math_train,14,6,2,1,2,1,19,9,5,1,2,1
4de8eed7-4f87-5bc8-883f-3bca5b72fc48,cn_contest,15,6,3,3,2,1,19,8,3,3,2,1
14f9e83d-2cb6-57b3-a010-1b5a51ad116d,math_train,4,2,0,2,2,1,7,3,0,2,2,1
648874aa-e956-51a6-bbce-e10d185968dc,math_train,7,13,4,5,3,2,18,9,3,12,5,4
0f3deadd-cf9d-5cfa-affe-5a3912dfc394,math_train,8,4,1,6,3,2,9,5,1,6,3,2
8e2ef668-317e-502b-a4e5-51c914beca25,olympiads,30,14,2,2,5,2,48,23,15,2,5,2
05bb3001-34b1-5901-9db8-af96e1bd2673,number_theory,12,0,0,3,3,1,14,4,0,3,3,1
1e7eedf0-c19b-58d3-b478-45855c1bcbf3,olympiads_ref,132,91,14,162,44,38,2,0,0,3,2,1
065af37a-0e78-5ec4-9eba-df3f4ae96d47,number_theory,6,0,0,3,3,2,6,0,0,3,3,2
3614f10c-84a9-5c8c-a5e2-9f6acc6ac8f4,olympiads_ref,6,4,0,4,2,1,2,0,0,2,2,1
5b255c96-d0c0-5ce5-a66a-00e0cf536ce4,math_train,14,6,3,12,8,4,9,3,1,4,5,4
6fb54594-f213-5856-b14a-a19672270e7c,math_test,38,20,12,14,5,2,5,1,0,3,2,0
7533f3af-bef6-55e9-a22a-bcc5048f734d,olympiads,99,44,24,25,17,15,83,41,33,10,7,6
b6985933-91eb-5982-9d8b-68245d7d4b41,olympiads,10,3,2,1,2,0,12,5,0,1,2,0
7c11a2d3-3a6b-5a27-95b4-a5614a070592,amc_aime,5,2,1,1,2,0,8,1,1,1,2,0
0deb533d-1cea-5e2d-9526-609486dd5d88,math_train,4,1,0,3,2,0,5,2,1,4,2,0
bce59eb5-e724-5378-adad-7d5076c933b3,olympiads_ref,71,33,6,18,8,7,118,63,23,20,7,6
0b7ad5b2-8222-57a6-83e2-f4fe8d216583,math_train,68,41,14,12,3,2,21,16,0,6,2,1
9f1210d3-ea11-5284-8daf-8e509846903b,olympiads_ref,75,44,9,39,19,14,2,0,0,2,3,1
29026683-4e48-58ed-840c-71287b3a3ac1,math_train,2,0,0,1,2,1,2,0,0,1,2,1
8aab7f32-5447-5f3d-b1db-d112f62fdb13,math_train,10,6,1,3,4,3,22,8,7,3,3,2
f12215cf-5978-57e4-ac55-24dc65e43e97,math_train,17,7,0,3,3,1,18,6,0,2,3,1
609a1b34-4380-522d-9ab3-c5660c0d2779,math_test,16,7,1,2,3,1,10,5,1,1,2,0
d3fcaf0c-0cba-5168-b4bf-6c33fcc56024,amc_aime,27,14,7,41,10,1,28,16,13,57,9,0
e4f7205e-3b35-525f-bb42-5b305ce8c10c,olympiads,2,0,0,2,2,1,2,0,0,3,2,1
eadfbd18-fddc-54fa-81e0-adc38c53c441,olympiads_ref,22,14,3,8,7,4,2,0,0,2,3,2
7c1274fc-85d5-55a2-83bc-ace5c12a2294,cn_k12,9,7,0,1,2,1,26,10,1,1,2,1
fd0d8c78-811d-537f-8c1d-252b1e1ed502,cn_k12,9,4,4,2,2,1,14,7,3,3,3,2
4c0ce8f0-3161-5ed9-a6f9-8fb61de0bb90,math_train,2,0,0,1,2,1,2,0,0,2,3,2
d5ffb2e2-6886-5b68-ada9-937bb657a249,cn_k12,10,6,0,3,5,0,20,11,1,4,6,1
65ad32a7-a1e8-5c84-960f-9212961d6ea5,math_train,2,0,0,1,2,0,2,0,0,2,3,1
f48666ca-df41-5440-8cf4-a51882cb7d81,olympiads_ref,131,84,29,6,5,3,133,86,29,7,6,4
296a1974-d85f-5cd9-a75a-e030cb7f8787,math_train,9,4,0,3,4,3,32,16,8,7,8,7
fa331d22-001c-5299-ac1d-c478dbdfba91,math_test,1,0,0,1,2,1,2,0,0,1,2,1
a51fa557-84dc-5fb9-8e4d-d01dc0d12314,olympiads_ref,18,7,3,1,3,1,2,0,0,1,3,1
6effd37a-ec80-542b-81b6-04568545a9db,math_train,5,4,0,1,2,1,7,1,0,2,3,2
2efef0d7-cfbf-55b6-af4d-b5d966ec705f,math_train,134,83,22,85,38,33,2,0,0,2,3,2
18eb2038-38d1-5760-bc0e-9337667bbb53,math_train,11,5,0,3,4,3,8,3,1,6,5,4
842aefbb-ad1b-58cf-be09-f0d6a93072a2,number_theory,4,0,0,7,5,3,6,0,0,6,5,3
cc9b0c4f-d6a7-516c-9a21-4dcbe84330e4,olympiads,33,19,2,14,10,7,4,1,0,3,3,0
74b2ba17-34a7-5424-bd60-4edec5ede5f5,cn_k12,26,19,2,5,4,1,19,8,0,8,5,3
f1dc3349-6135-55dc-9d0e-f62f9d9eeb70,aops_forum,1,0,0,4,4,2,2,0,0,4,4,2
57166f31-bc18-5797-8c5c-15148179e898,math_train,7,5,4,8,8,6,14,6,2,3,4,2
ea17ff15-ba37-5ea0-b0be-1d329e30ba90,math_train,2,0,0,2,3,1,2,0,0,2,3,1
0eab7de5-29fb-521a-ba8e-4592f8c3bacf,math_test,3,0,0,2,3,2,3,0,0,2,3,2
e8464b73-23b6-56f3-94a4-2703cc6fd3a3,math_train,26,15,2,1,3,1,34,20,6,2,4,2
f760c616-446d-56b4-927f-f4d1429d873e,math_train,3,0,0,3,3,2,3,0,0,3,3,2
c172369d-f256-5028-92af-cf0d4b07eb32,cn_contest,9,3,1,4,5,4,9,3,1,4,5,4
b82b223b-fbda-5b5e-8b7a-e904f83c65b1,amc_aime,16,16,1,6,5,4,9,4,1,8,6,5
691ba0b1-d9c3-5cb6-9c5d-7788f2647561,math_train,11,5,4,19,7,6,31,12,10,32,7,6
564fee0e-8ec5-5425-a349-ccb59a461c42,cn_k12,11,8,3,2,3,2,17,7,2,1,2,1
d45235bd-fa73-53dd-97c7-0dc745a64d54,amc_aime,30,15,5,41,8,1,6,1,0,28,7,0
33f1151c-0cf3-59e9-86ca-96eb311c395d,math_train,5,2,0,2,2,0,4,1,0,9,9,7
a45da933-d45d-5cbc-82ef-e168a10b5803,math_test,23,7,0,2,2,0,30,13,3,1,2,1
68883bfd-8b24-5070-9a7a-1a06b4eb171a,number_theory,3,0,0,4,5,3,3,0,0,4,5,3
28b4be57-30f7-53a2-bb36-cad7d7f939e0,olympiads,124,104,21,133,41,38,13,4,1,24,8,7
600728af-ec38-574e-9022-bac5eeb70ca5,math_train,59,38,19,44,13,7,61,38,21,55,14,7
9e4d892a-425a-55cd-873d-02b53662c0b5,math_train,4,1,0,4,2,0,3,0,0,4,2,0
f0724d01-97ad-5ccc-90ac-4bb1b413882a,olympiads,47,22,6,8,3,2,39,18,6,6,3,2
fdee7e29-9d52-5523-9387-98a4ce6c0600,math_train,4,1,0,3,3,1,4,1,0,3,3,1
7f4b31cf-7721-50de-886e-ebffa4615d6d,math_train,2,0,0,1,2,0,15,8,0,1,2,0
d83bc737-dd65-5133-bf2a-65dc4cfe2985,math_train,2,1,0,2,3,2,4,3,1,2,3,2
c336ffb4-a34d-5571-844f-f7a18cbd4db0,olympiads,69,50,12,54,16,13,2,0,0,2,3,2
f8f4192b-4c77-5ab0-bf99-d6f38b1b8f18,amc_aime,13,5,0,1,3,0,13,3,1,1,3,0
d409936d-47ff-584d-9cbe-f704bc55051d,cn_k12,13,8,1,1,2,1,21,10,3,1,2,1
4bf4f101-7b81-5f12-8c2f-8f77833db49a,cn_k12,30,16,5,11,11,2,30,16,5,11,11,2
f3e9bb0e-ab20-5311-b684-d6f4513ba438,aops_forum,29,12,7,2,2,1,34,18,12,2,2,1
74eebded-a2ff-503f-84e2-56b39aea772d,cn_k12,16,5,3,8,5,2,6,1,0,6,5,2
8981f747-abb3-5ce8-90da-aaa947bd8800,cn_k12,8,7,1,5,7,3,16,9,3,15,9,5
b4fb9d1e-5404-5cb5-9323-1926e953c335,math_train,14,8,4,4,3,2,24,6,5,4,3,2
5a0a6e05-0bfc-5bfd-b33f-6fd89257231e,aops_forum,4,3,1,3,4,3,7,3,1,5,5,4
7d3c827c-e9e9-5600-a3dd-9b6f45978661,cn_k12,25,17,4,3,3,1,23,10,2,1,2,1
c86b48d9-3428-5dec-82a9-188a8a5422b0,math_train,2,0,0,3,3,2,2,0,0,6,4,3
6bcfd203-bd33-5742-842e-5d8019ecdec7,math_train,9,4,1,1,2,0,14,3,1,1,2,0
8fbcb9a1-277c-5300-8c51-16ccff806b84,math_train,3,1,0,6,4,2,4,1,0,5,3,1
f79e7f16-606e-5892-8c85-c437a2d957e5,unknown,4,0,0,2,4,1,4,0,0,2,4,1
a43b3e5b-68aa-5154-9897-6a269446ba28,unknown,2,0,0,3,4,3,3,0,0,3,4,3
15ef13db-ab71-5d2f-8816-f2634449487b,olympiads_ref,114,142,12,143,57,44,7,0,0,9,9,5
75f5799b-a658-501f-8480-802525a7b3a5,math_train,2,0,0,1,2,1,2,0,0,1,2,1
1c6a86e7-fc52-52bb-b465-6038410b43d8,cn_k12,15,7,2,6,5,4,22,10,5,15,14,13
8d2303ef-8797-5c83-baf9-089ccbdff18e,number_theory,15,8,0,5,2,1,3,0,0,1,2,1
be65ab73-394d-5f66-a301-1d6030e79a69,amc_aime,175,107,19,31,12,10,13,6,0,1,2,0
a9e1cd78-ceab-5b60-b8c5-97876914c448,math_train,28,16,9,5,3,0,16,5,1,6,3,0
87d2dbfe-ac93-5a02-8ee3-229041e97d41,math_test,14,6,0,10,9,7,19,7,0,3,4,2
f78955c7-d42d-5ce1-a7d0-db4deec034a6,math_train,3,1,0,1,2,1,10,3,2,1,2,1
13dbafa5-7580-5495-93e3-993a3311203c,math_train,4,2,0,1,2,1,6,2,1,1,2,1
c51edd14-1a10-59a2-979b-1b34da633365,amc_aime,22,10,0,1,2,0,10,4,0,1,2,0
52b5b1b8-7014-506d-898a-9d97860ed791,olympiads,26,13,10,17,12,3,4,2,0,2,2,1
da7686fb-0917-5d86-9461-797d0ce64303,math_test,16,11,0,10,7,6,9,3,0,12,11,10
8fb15b39-f417-582f-8c8b-233d62244289,math_test,4,1,0,5,4,1,5,2,0,6,5,2
3c4fed48-20f0-595c-b0a7-aac6ff352224,math_train,3,2,0,4,4,1,13,7,2,7,6,3
d87771de-f0db-5a17-ad1f-0e09156a6172,cn_k12,9,5,0,6,7,6,28,11,2,7,8,7
2c66820b-32ba-5886-98e3-312c22a395df,math_test,9,3,2,18,6,0,25,9,9,24,4,0
851043e2-69f4-5d5b-b33a-1eeefc9e2977,math_train,2,0,0,4,2,1,4,2,0,5,2,1
cddc6504-24de-57b7-a3a3-bc0031b31f6a,cn_k12,16,4,1,10,10,6,15,4,0,10,9,5
0d40dbec-1585-5adf-8b58-f4c9f39cbf18,olympiads,33,19,4,26,8,7,6,0,0,5,3,2
b03f386a-00fe-5d30-b0ce-86697e61337f,math_train,27,16,8,6,4,3,2,0,0,2,3,2
22917dd6-07f1-5cb0-ae1d-d230a34bc284,math_train,8,4,0,7,7,6,14,10,2,14,9,8
c6a91ecf-b6f4-5514-a5c0-c52f876709e3,math_train,11,4,0,1,2,1,22,5,3,6,3,2
4468d9ff-addb-5e4a-b52b-032f5b05b8fb,olympiads,73,36,19,21,16,14,64,33,18,16,15,14
de483a80-1551-5edb-aa55-15c57cc87547,cn_k12,20,13,5,4,3,2,19,13,4,1,2,1
843fc414-1d93-5e4c-8812-9765d6fadf90,cn_k12,39,22,6,2,2,1,62,37,12,20,4,3
a3fa3c73-a4ac-5dfe-a109-fc79b86cd93a,cn_k12,12,9,0,1,2,1,21,10,2,1,2,1
ae579b92-d6d2-5220-8b2d-12dac446fc64,cn_k12,4,1,0,2,3,2,5,1,0,2,3,2
8c2434f7-454b-5dbb-b305-8569afaab201,cn_k12,34,18,7,8,5,4,20,7,3,2,2,1
7283cf08-4d7f-557d-9afc-d600a9ddee6e,amc_aime,43,24,5,7,8,5,3,0,0,1,3,1
f9daac72-fe58-5a18-90e9-c8b7ade6b618,math_train,3,1,0,4,3,2,3,0,0,6,4,3
6f43e4d2-6cd5-5382-8d5a-6d50c1d8ae7f,olympiads,38,20,2,2,2,1,41,24,8,5,5,4
d78203e9-facb-5a99-b887-fb3db97b8e37,olympiads,19,10,3,10,5,2,24,14,0,6,4,1
02298a7a-a73f-5e3b-864d-91811c7246d1,math_train,38,21,15,20,11,8,14,6,0,4,4,1
c721248b-7863-5b5c-a092-10ec5a4a732a,math_train,3,1,0,2,3,2,2,0,0,1,2,1
b2cfeb89-2074-51b9-b782-bac34450ef86,math_train,74,40,9,58,35,28,8,3,1,6,5,4
9a6f51a3-b23d-5a53-9b43-56fe8936bcba,math_train,2,0,0,1,2,0,7,1,1,1,2,0
512e1ab2-1cc8-5e11-b432-8b87701f77e3,olympiads,22,13,3,12,4,2,99,52,23,200,13,11
d12f7bbf-847e-5a50-9e2d-6727b8b59530,aops_forum,9,3,1,9,4,3,8,3,1,9,5,4
412ad836-deac-59f2-9e53-61c56ceab64f,number_theory,10,2,0,3,2,1,12,2,0,3,2,1
1ed8b991-9b89-5f41-a6ef-a1280397c726,amc_aime,27,13,7,1,2,1,35,17,10,1,2,1
9ec787a9-0a01-5f93-b717-e4c80192feed,math_train,3,0,0,4,4,3,3,0,0,4,4,3
edf6ae3a-4b3f-5c04-84fd-c33c03ed69d9,cn_contest,4,1,0,1,2,1,4,1,0,1,2,1
52f9db51-bf27-52d2-b197-1086a2adda84,math_train,37,19,2,3,4,3,27,11,2,4,5,4
2a792259-0972-5ce0-a1de-0a77dbdfeeaf,olympiads_ref,48,24,5,11,5,4,3,1,0,2,3,2
007a0fab-2166-505a-99a7-6dff195d77b7,math_train,5,1,0,2,3,2,5,1,0,2,3,2
f7165df8-1501-5b32-8d66-f43623a8ab66,number_theory,8,4,1,2,3,2,21,11,0,2,3,2
5e8df97e-4f26-58b1-8e2a-e93b16305534,olympiads,42,33,10,28,9,7,33,11,10,9,4,3
e83bd10d-fae5-5156-8ed2-d732d10adc10,math_test,42,24,11,86,10,5,42,22,12,83,11,6
8377efb6-4172-5050-bc73-7009dae5e996,math_train,16,5,0,9,9,5,15,2,0,11,11,7
9e97fc60-30a6-5352-8c7a-1c108fabd492,math_train,4,0,1,4,2,0,8,3,1,6,4,2
15ae0940-c749-536c-b69c-a0925512df10,math_train,8,3,0,1,2,1,14,7,0,3,4,3
997462a8-0c79-5129-85c6-d78a3bf433ca,math_train,6,1,0,3,2,0,6,1,0,3,2,0
f45ae31a-0c13-5cbe-b79e-473e1e4bc71c,math_train,7,4,3,6,3,0,7,3,3,6,3,0
3c2e5aec-672d-5358-8bdc-db6e1c84acdd,math_train,2,0,0,1,2,0,2,0,0,2,3,1
755873cc-8d8a-591f-b928-134df28a6483,math_train,2,1,0,1,2,1,2,0,0,2,3,2
901ed9d0-5bcf-5167-92dd-ab7c1a1ff293,amc_aime,62,50,15,36,8,6,62,50,15,36,8,6
6b47a422-b5b2-5eda-94a4-f0d8b7f24013,math_train,2,0,0,1,2,1,2,0,0,3,3,2
7944a628-5392-5dd3-88fd-8abeacb17cc0,amc_aime,8,2,0,1,2,0,7,1,0,1,2,0
44a15c50-ab92-5503-b147-048460ebd6c1,olympiads,8,3,1,9,6,5,9,3,1,9,6,5
c4c5b559-e42b-5b7a-9573-16ceb2e6bf72,math_train,29,20,7,25,3,1,2,0,0,6,2,0
e19eace3-6e33-514d-b5d2-94c9a186b7ec,math_test,14,9,1,2,2,0,12,5,1,1,2,0
d5af1b18-9390-5ddb-be66-66e1ea8b50db,amc_aime,4,1,0,5,3,1,16,5,0,5,3,1
15ff0fd4-c7ad-52fe-8478-dbb45317a161,olympiads,8,3,1,15,7,6,9,3,1,15,7,6
f700873e-b101-5349-ad84-b652fb5db8c4,cn_k12,20,10,6,2,2,1,17,9,4,2,3,2
ee703249-df19-56e8-b4fc-d74ccdc42268,olympiads_ref,2,0,0,2,3,2,2,0,0,2,3,2
d123ff17-121c-58d7-a154-70472c2a5692,math_train,7,7,1,3,4,2,15,9,0,3,3,1
5daf2594-3b13-5895-86cb-48f506434f25,olympiads_ref,24,5,2,3,3,1,3,0,0,2,2,0
dab6f3ec-2c13-56ee-9487-4182fff81d75,cn_k12,16,11,1,1,4,0,57,30,15,2,5,1
2459e99b-ffc8-5e0e-9643-56d5420c64ec,math_train,4,2,0,3,4,1,11,6,0,4,4,1
25bf8799-b96a-5c32-9988-855fcbfd9b0f,math_train,1,0,0,2,3,2,2,0,0,2,3,2
dbc0412d-e272-58fd-90bf-3c5176722e8f,math_train,5,1,0,2,3,1,16,7,1,2,3,1
06f4633b-fa3f-5939-b9b9-b2bb6c1e42fc,math_test,2,1,0,1,2,1,4,1,0,1,2,1
cb3b726a-1d5f-5e31-b0d5-91ca3fd1af4d,math_test,5,2,0,2,2,1,7,4,1,2,2,1
3b470502-ad4e-5335-b119-70e5e6d0240d,math_train,26,21,5,13,13,10,32,21,4,10,10,7
e560492a-424e-5655-91a3-0af94c83b3a4,math_test,16,7,1,2,3,2,19,7,4,5,3,2
f2aac9a8-4c53-5d02-865a-d173797712f5,math_test,34,22,12,17,8,7,31,19,9,21,13,12
e6cb680a-5768-58fb-b33e-5e6a961b9e64,math_train,15,8,2,4,5,4,16,9,5,2,3,2
ff284757-4b24-5a26-900e-c9352f9b0713,math_train,2,0,0,2,3,1,2,0,0,2,3,1
1a0125f9-a959-5da9-9955-66acab7b590a,math_train,1,0,0,1,2,1,2,0,0,2,3,2
59e6f943-6ba2-534e-a79a-310cae8a348a,math_test,4,0,0,17,6,0,11,5,2,19,6,0
fa9133aa-7a62-550d-89a5-586d88ea9df9,math_test,4,1,0,2,3,2,4,1,0,2,3,2
9918808f-921d-59f9-80e9-e1dd375a46d9,math_test,39,14,4,2,2,1,31,13,8,3,2,1
06814684-03c8-5fff-b0bc-c02018d05ade,number_theory,3,0,0,1,2,0,3,0,0,1,2,0
17767a24-8b99-54e1-9af8-421a8d76c4cb,math_train,11,5,1,6,5,3,12,6,1,1,2,0
919a0d3c-db12-53e0-93e7-c157886afe8a,number_theory,9,7,0,8,4,2,15,6,0,9,5,3
a663aca4-3834-5ee4-9bc4-22aa9a153402,math_train,25,9,6,11,5,4,21,16,4,21,5,4
c021c917-3610-57ee-9938-573866b72e02,number_theory,7,7,0,7,5,3,10,4,0,7,5,3
beb0794d-2df2-57c6-92ff-6ff075cba95d,cn_k12,64,37,21,17,6,3,37,25,4,22,10,7
df693e7a-2409-55e7-b959-98f113bf945a,olympiads,63,25,22,10,10,9,74,35,34,17,8,7
409b71b8-e4a0-5ca0-91ad-88203144fb11,cn_k12,14,8,2,4,4,1,31,15,7,1,3,0
36f69643-acd7-5e24-ab67-fcabb6253693,cn_k12,51,23,8,9,4,3,28,17,1,2,3,2
1e15b2bc-cc0e-5b01-9ff1-f44cdb92eedb,aops_forum,2,0,0,1,2,1,3,0,0,1,2,1
9a1b6a88-4660-507b-a1b3-84496503f611,cn_k12,4,2,0,2,2,0,10,5,1,1,2,0
17ae3e10-e513-56e5-94f9-98b4e2e7f48b,math_train,54,29,8,38,10,7,19,10,0,8,4,1
bfeaff7b-8ebc-5e89-9039-fcfaad4a119e,math_train,2,3,0,4,4,3,8,4,2,7,4,3
e39a58ea-072e-5098-9964-e3f5684dcc2b,number_theory,10,4,0,8,5,3,13,4,0,8,5,3
2b3de622-062a-58a8-9eac-36ab24f9c023,cn_k12,26,13,7,2,3,1,1,0,0,1,2,0
7c07d717-a897-56ab-b25d-532cab0bd4ff,olympiads,46,24,0,10,10,6,84,36,29,3,6,2
ebd7b419-9f31-51b8-bb3a-7636f9f8a5e0,math_train,14,12,2,2,2,0,25,12,2,1,2,0
9b5a51b7-4f38-5ef7-9805-9de9fecfe3bf,olympiads_ref,2,0,0,2,3,2,8,4,1,9,4,3
1a4ee475-e1dc-5f11-954f-b98fee1485f0,math_train,30,16,3,15,12,9,8,3,1,11,6,3
3b1172ec-7f68-5bbe-8080-fa8f404ffc3e,cn_k12,5,1,1,13,4,1,4,1,0,7,4,1
e0c795d5-9db6-5a05-9834-5a023ec92ec1,olympiads_ref,49,21,12,9,6,4,29,14,8,5,4,2
245c0cd1-b9d5-54f9-83ef-6526c77e062d,number_theory,10,0,0,10,2,1,10,0,0,10,2,1
6fad3607-ce88-5d1d-8bc8-37d70944c191,cn_k12,4,3,0,4,2,1,14,4,1,15,3,2
c375c459-c4c7-5c18-9c4e-1938bb65c1b3,math_train,2,0,0,1,2,1,2,0,0,1,2,1
f5a8395e-057c-5c55-b705-85ae640c53a5,olympiads,39,20,7,19,4,1,49,27,9,20,4,1
bb4f993a-5aba-5bbf-8bce-9172d23f81d5,cn_contest,9,6,6,2,3,2,9,7,6,2,3,2
46e4c8c3-207f-5740-89bb-90e34562174b,math_train,2,0,0,1,2,0,2,0,0,2,3,1
87004c40-9003-5998-8702-6b97b0601571,cn_contest,2,0,0,2,3,2,2,0,0,2,3,2
fd66b918-ccf0-5ed6-b9ab-8518d618a2a4,olympiads,36,23,3,10,8,6,32,13,15,4,5,3
f2d4a650-1887-5547-b351-c4d83d6e3705,cn_k12,2,0,0,1,2,1,3,0,0,1,2,1
e63cf3d2-d1eb-50ac-89fc-18e16f88ab5e,cn_k12,11,9,1,4,3,2,40,26,9,4,4,3
13a52021-1750-5184-b1d0-3b8294b114d4,math_test,62,46,17,70,32,22,47,40,21,28,11,6
7e888b84-2e13-55be-a544-d1ea7987fffa,olympiads,10,5,0,4,3,2,7,3,0,5,3,2
bd02dcbc-5e3d-5a34-99cf-60a12ddb5e59,math_train,7,4,0,3,4,2,12,5,1,9,5,3
8fa96881-c9d6-5227-b842-acfcc05892d3,math_test,6,4,1,3,2,1,6,2,0,2,2,1
d0617a44-5ccd-5f55-8841-b185a69fd039,math_train,6,2,0,1,2,0,9,2,0,1,2,0
8ec7a4c8-9819-5f1a-950e-63e7b5bbf9ad,math_train,3,2,0,14,6,1,5,1,0,15,7,2
2c90f4a4-29c5-576a-a8e3-98b927f83fb1,olympiads,26,14,1,8,7,5,30,16,2,9,7,5
97854be6-6b58-5873-a2c4-d7106260c9ee,math_train,5,2,0,1,2,0,14,6,0,1,2,0
61612a61-69ff-5d8a-a51d-4320bea41ba1,number_theory,4,0,0,4,2,0,5,0,0,5,3,1
429c7eec-a714-5251-bafd-44b73b0c0d0e,math_train,2,0,0,2,3,2,2,0,0,2,3,2
0f5088bf-3bd5-567b-934a-7dbfa6747ebf,math_train,3,1,0,4,2,0,4,1,0,4,2,0
5bcf020d-4176-5a7d-9295-e1b25145c76c,secondary_math,30,27,6,26,5,4,2,0,0,1,2,1
b5dab1a1-a4f6-570c-9821-1acde1f1f3b8,amc_aime,20,5,2,16,10,8,16,3,2,14,9,7
d6175c27-7395-5b1c-921c-fa519bdba671,math_test,2,0,0,1,2,1,2,0,0,1,2,1
0a0d7ef1-9e0b-5ba7-be60-bcd1ecf81cc2,math_train,3,1,0,3,3,2,2,0,0,3,3,2
63ecc0c9-d394-5f27-ada0-adc35c27064d,number_theory,3,0,0,2,3,2,3,0,0,2,3,2
efb9dcdd-a55f-570f-a3fd-bae2166cbaf3,amc_aime,15,6,3,9,3,2,4,1,0,4,3,2
3922a27c-14c0-5bc0-92a5-d916e6d5cfcb,cn_k12,19,12,1,5,6,5,23,13,2,3,4,3
