uuid,source,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_premises_loose,h_premises_strict,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_premises_loose,a_premises_strict
fed6b037-ba0a-5ddb-9b17-a9b16f08679c,math_train,28,20,13,2,2,0,13,7,1,6,4,2
5d6fab9d-d567-5d35-8495-ff93bc5cbe17,olympiads,11,4,0,1,2,0,11,3,0,1,2,0
2ecd6360-01fc-54c3-b518-a02baa353e51,number_theory,4,0,0,3,2,0,11,4,0,6,3,1
8ee0fb74-5c61-5e16-b8cc-10efbe28f735,math_test,4,1,0,4,4,0,4,1,0,4,4,0
9faef40c-54cf-555f-9759-755f8556e902,olympiads,18,6,4,3,3,2,18,7,7,3,3,2
d203b1a6-153b-56af-a2d3-f6507416bc74,math_train,5,2,0,1,2,0,16,6,1,1,2,0
8e690f90-7595-533a-927c-df79c4af0224,math_train,5,1,0,20,6,0,5,1,0,20,6,0
a0f27c36-ba7a-5121-9a5d-d449b7e6f3d6,aops_forum,4,1,0,3,3,2,4,1,0,3,3,2
13391edf-eea4-590b-99c3-ab8b3b68b2c2,math_test,7,4,1,5,5,1,7,2,1,4,4,1
3dcb5edd-2d1d-5eca-a81c-56cfb5d8f926,olympiads,12,4,2,32,9,8,14,4,2,28,6,5
7ef3ed9d-ef90-5436-8b8f-5dfaf6e56feb,olympiads,20,8,5,1,2,1,23,10,7,1,2,1
b153ac58-3aa7-5b44-aede-4dcb26c66eca,math_train,2,0,0,1,2,1,2,0,0,1,2,1
500f70cd-b0b6-57e4-bb7c-7aa550873963,aops_forum,15,9,4,4,5,4,16,8,5,4,3,2
a11b5771-ed15-570c-9e17-597baba2a7eb,math_train,7,2,0,6,7,5,13,5,3,11,8,6
26e84fcd-fc50-58c0-b09e-1db5a111afdc,math_train,2,0,0,2,3,2,2,0,0,2,3,2
b3ab6873-5413-570d-ba1b-5263f78ce5c1,math_train,8,6,0,9,3,2,9,7,2,9,3,2
fb78daff-1758-5d4f-aea8-67a135acd0f5,math_train,5,1,0,3,4,2,13,5,0,2,3,1
b00ee37b-d3fe-5a9d-9bff-966db49af3d4,math_train,2,0,0,1,2,0,2,0,0,2,3,1
ead8738b-f73b-50dc-8164-d563f22567e2,math_train,4,4,0,1,2,1,5,2,0,1,2,1
7b35714e-57c5-5e5b-91cd-c50682986ae5,math_test,5,0,0,21,6,1,16,8,3,25,6,1
fe547a01-4a68-5c67-809e-f85bcc72d615,math_test,3,1,0,3,2,0,4,1,0,3,2,0
a10a822f-929e-5d48-9a5a-5223f488560a,olympiads,16,12,3,1,5,0,23,11,0,1,5,0
221c417d-df6f-5af8-9a92-6854d6ee30e5,olympiads_ref,45,28,11,7,5,4,3,1,0,2,3,2
f0dacaa3-7974-5e21-9718-173a30bbbf22,number_theory,17,1,1,7,7,4,17,1,1,7,7,4
95455a42-8402-5c1f-9a80-cdeb39894e03,number_theory,1,0,0,1,2,1,1,0,0,1,2,1
ae96c299-dfc8-5d0f-bcee-5f6c2121eeab,olympiads,2,0,0,2,3,1,3,1,0,2,3,1
917764ed-7766-5813-a919-c18ff0fce42b,math_train,4,1,0,4,2,0,5,1,0,4,2,0
93cd1c59-50b0-5f8b-9a66-b630cff98911,math_test,54,29,7,36,15,12,7,3,0,13,5,2
259d8367-7c00-5cce-99ea-78296c56054a,amc_aime,14,5,1,6,5,0,7,0,0,2,4,0
701fe448-aca0-5b5b-a4c0-1665e6eb48a1,math_train,39,22,4,26,12,8,8,4,1,11,5,3
1b907c78-366c-5708-8d16-b152a98daba9,cn_k12,31,18,3,7,6,5,18,10,2,1,2,1
7f4054b7-a35d-5f54-9a19-b55cb6f1700b,aops_forum,4,2,0,1,2,0,6,2,0,1,2,0
d29cd665-b8eb-568f-b7d2-2581e843ebaf,math_train,7,4,0,1,2,0,15,5,0,1,2,0
3e7604ad-5bf5-5706-beac-f4362021da04,aops_forum,8,5,2,3,4,2,6,3,2,3,4,2
ea608f16-0d13-5e69-a225-3f086b2c122a,math_train,3,1,0,8,7,4,4,1,0,8,7,4
22f16324-e228-5b78-a185-f6ac3624ca26,aops_forum,2,0,0,3,3,1,3,0,0,3,3,1
ec40eca0-1945-5805-b8fc-83bf5873067a,amc_aime,6,4,1,3,3,1,14,15,3,15,6,4
440f2c7c-8bbd-5708-927c-ef053fd35bd3,math_train,20,7,1,6,5,2,4,1,0,5,5,2
9892774a-7294-534e-bd52-6f19e2a40d24,math_train,7,3,0,10,5,0,7,3,0,10,5,0
ad39313c-2ce7-521a-a670-b9df993a8004,aops_forum,6,1,0,8,4,1,6,1,0,9,5,2
d05b855a-4924-51f4-a4bc-80655e723e3a,olympiads,6,4,0,6,5,2,8,4,0,6,5,2
3bf9c531-7ad5-534f-898a-a757cb8516c7,number_theory,9,1,0,2,3,2,9,1,0,2,3,2
480d920a-6719-5a94-b6b4-93c69d407630,number_theory,5,1,0,8,5,1,11,4,0,9,5,1
6818451c-9272-5a80-b5ad-c1a74c60ed11,math_train,11,5,0,2,3,1,20,8,3,5,5,3
3ff0af1e-8635-564d-b637-318acfeed9cd,math_train,53,31,12,37,13,11,16,6,0,10,8,6
5d156a5d-0bf6-5dc2-8146-7b2418c2bce9,math_test,10,4,0,2,3,1,14,5,0,3,3,1
cb9a6fb7-a80f-54bc-8a8f-81167e873d26,math_train,17,9,8,10,9,7,5,2,0,2,3,1
f10413c8-cf96-515f-a362-ca3296fdc00e,olympiads_ref,30,16,6,12,7,5,16,6,5,5,3,1
aa761cbd-938e-59e2-82be-2ce6f5c701c7,math_train,2,0,0,1,2,1,2,0,0,1,2,1
08acb0c8-2768-56e5-9032-c92b0ce67260,olympiads,2,0,0,2,3,2,3,0,0,2,3,2
b52b33f4-2b5f-56b4-bc17-9c25755752d7,aops_forum,5,0,1,3,4,3,8,2,2,9,7,6
e68a55a4-1a30-51f6-83e6-190eca097a96,aops_forum,4,2,0,1,2,0,14,7,0,1,2,0
2ca21479-97c4-5263-aa89-9c4da7ef58ec,olympiads,12,3,1,1,2,1,8,3,0,2,2,1
8898bd29-2307-5301-8f95-1efe37c819b3,number_theory,3,1,0,3,3,1,5,1,1,3,3,1
4ff58f19-5939-565d-91e2-137ea573db97,math_train,1,0,0,3,3,1,3,0,0,4,4,2
a79ff5a0-59f8-5464-8bef-fdbe98727dc0,number_theory,9,8,2,30,17,9,2,0,0,4,5,1
eb63c4a0-47e1-58da-bfd5-65846cfe60b3,math_test,14,12,4,2,2,0,15,9,1,1,2,0
f250a4e7-e7c6-5d03-b825-99ef6a00e4f6,math_test,8,7,2,1,3,1,5,0,0,1,3,1
e3a73eb1-a13b-5445-b6f0-85bd223d9d21,math_train,22,11,9,1,2,1,16,7,5,1,2,1
57b2e6ef-c84b-54c8-bebf-356ebbb5a57f,math_train,3,1,0,1,2,1,2,0,0,1,2,1
cbc8b348-1470-57fd-adb8-7436ffa948d4,cn_k12,11,6,1,1,2,1,8,2,1,1,2,1
740dcefb-0ed5-5589-b8cd-99c00e997a48,math_test,13,7,2,1,2,0,15,5,0,1,2,0
d0c4d578-c4af-5760-9aed-dff9829f29f9,olympiads,13,6,5,14,9,8,22,14,9,26,11,10
c267ff2b-9dc8-5dfd-b7fe-e7096d53c54f,math_train,6,5,1,11,6,4,8,3,1,9,6,4
5e323eec-d402-533d-b892-dfe7b940dfe0,olympiads,2,0,0,1,2,1,2,0,0,1,2,1
