group,name,mode,alpha10
lean2026,intermediate_value_decl,decl,1.8515338496784952
lean2026,intermediate_value_term,term,1.8865718439645769
lean2026,konigsberg_decl,decl,
lean2026,lagrange_subgroup_decl,decl,1.8567796885410797
lean2026,lagrange_subgroup_term,term,1.982296600509821
lean2026,law_of_cosines_decl,decl,1.7365092322263482
lean2026,law_of_cosines_term,term,2.216171025195641
lean2026,leibniz_pi_decl,decl,1.7312474172414163
lean2026,leibniz_pi_term,term,2.171117543648223
lean2026,lindemann_weierstrass_decl,decl,
lean2026,liouville_decl,decl,1.7350922498646768
lean2026,liouville_term,term,2.265480844117931
lean2026,mean_value_decl,decl,1.7309466813444558
lean2026,mean_value_term,term,2.2245883520216245
lean2026,mvt2_decl,decl,1.7297042440873873
lean2026,mvt2_term,term,2.156739090001387
lean2026,pi_irrational2_decl,decl,1.730165425587079
lean2026,pi_irrational2_term,term,2.2865019229866914
lean2026,pi_irrational_decl,decl,
lean2026,ptolemy_decl,decl,1.7485461666792967
lean2026,ptolemy_term,term,2.2596983109247177
lean2026,quadratic_reciprocity_decl,decl,1.7653287473350103
lean2026,quadratic_reciprocity_term,term,2.0024942121282843
lean2026,ramsey_decl,decl,
lean2026,reals_uncountable_decl,decl,1.7453229740905154
lean2026,reals_uncountable_term,term,2.040803842839801
lean2026,schroeder_bernstein_decl,decl,1.9368041274874737
lean2026,schroeder_bernstein_term,term,2.041356418807281
lean2026,sqrt2_irrational_decl,decl,1.741213858366189
lean2026,sqrt2_irrational_term,term,2.1041332881639874
lean2026,stirling_decl,decl,1.7428204258818856
lean2026,stirling_term,term,2.211529580435087
lean2026,strong_law_large_numbers_decl,decl,1.714815557850943
lean2026,strong_law_large_numbers_term,term,1.9210902125382865
lean2026,sylow_theorem_decl,decl,1.7731182422211313
lean2026,sylow_theorem_term,term,1.8874897735841991
lean2026,wilsons_lemma_decl,decl,1.8385243109045688
lean2026,wilsons_lemma_term,term,1.971250906149987
ai_dsv2,aime_1983_p1,term,2.29621980521455
ai_dsv2,aime_1983_p2,term,2.0760128154185997
ai_dsv2,aime_1983_p3,term,2.368456752432102
ai_dsv2,aime_1984_p1,term,2.14048630101274
ai_dsv2,aime_1984_p7,term,2.145191985334307
ai_dsv2,aime_1988_p8,term,2.4258714452445105
ai_dsv2,aime_1989_p8,term,2.48191282038786
ai_dsv2,aime_1990_p15,term,2.5259746123193167
ai_dsv2,aime_1990_p4,term,2.2724001324813488
ai_dsv2,aime_1991_p9,term,2.219883203077608
ai_dsv2,aime_1994_p3,term,2.326565924948726
ai_dsv2,aime_1997_p9,term,2.4740882534785467
ai_dsv2,aime_1999_p11,term,2.1304276659495303
ai_dsv2,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7,term,2.4323050844457983
ai_dsv2,algebra_9onxpypzleqsum2onxpy,term,2.411182805998167
ai_dsv2,algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2,term,2.342513454793429
ai_dsv2,algebra_absapbon1pabsapbleqsumabsaon1pabsa,term,2.319034763675762
ai_dsv2,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1,term,2.2135814045888598
