name,N,E,out_alpha,out_xmin,out_n_tail,out_LR_vs_exponential,out_p_vs_exponential,out_LR_vs_lognormal,out_p_vs_lognormal,out_LR_vs_stretched_exponential,out_p_vs_stretched_exponential,in_alpha,in_xmin,in_n_tail,in_LR_vs_exponential,in_p_vs_exponential,in_LR_vs_lognormal,in_p_vs_lognormal,in_LR_vs_stretched_exponential,in_p_vs_stretched_exponential,rnd_alpha,rnd_xmin,rnd_n_tail,rnd_LR_vs_exponential,rnd_p_vs_exponential,rnd_LR_vs_lognormal,rnd_p_vs_lognormal,rnd_LR_vs_stretched_exponential,rnd_p_vs_stretched_exponential,dp_real_mean,dp_real_frac_ge2,dp_rnd_mean,dp_rnd_frac_ge2
inclusion_exclusion,12886,36168,2.3061035156249985,1,12885,10.55,0.0,-4.05,0.0001,3.06,0.0022,2.362222524662002,2,9927,-48.4,0.0,-35.72,0.0,-29.3,0.0,2.7968261718749994,3,6244,-40.72,0.0,-26.02,0.0,-27.01,0.0,1.08,0.06666666666666667,1.0476190476190477,0.047619047619047616
isosceles_conga,13055,36921,2.256445312499998,1,13054,12.06,0.0,-1.62,0.1045,2.92,0.0034,2.243441786720914,2,9640,-100.56,0.0,-55.34,0.0,-46.94,0.0,2.7960937499999994,3,6414,-41.27,0.0,-26.41,0.0,-27.57,0.0,1.025,0.025,1.0,0.0
konigsberg_bridges,53031,184919,2.8163818359374995,1,53030,14.45,0.0,-30.74,0.0,58.41,0.0,2.2884655091209423,2,51223,-290.38,0.0,-108.96,0.0,-95.44,0.0,2.521801757812499,3,30543,-105.34,0.0,-66.32,0.0,-69.5,0.0,1.0833333333333333,0.08333333333333333,1.0,0.0
mul_adj_mx,10613,32085,1.9997747612677874,2,2829,10.98,0.0,-2.55,0.0107,-1.51,0.1319,2.314657332570527,2,8703,-82.88,0.0,-49.58,0.0,-52.47,0.0,2.7002929687499995,3,5506,-39.71,0.0,-25.4,0.0,-26.54,0.0,1.0254237288135593,0.025423728813559324,1.0,0.0
postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,739,1567,2.3299804687499988,1,738,4.84,0.0,-3.51,0.0005,-1.87,0.061,2.4061523437499988,2,466,-42.82,0.0,-15.42,0.0,-10.56,0.0,2.5066406249999993,2,419,-10.76,0.0,-7.13,0.0,-7.54,0.0,1.0166666666666666,0.016666666666666666,1.04,0.04
pytha_thm3,13254,37684,2.3241943359374986,1,13253,7.37,0.0,2.46,0.0138,57.97,0.0,2.3810302734374984,2,10686,-69.48,0.0,-39.98,0.0,-36.09,0.0,2.7804931640624995,3,6508,-42.11,0.0,-26.88,0.0,-27.86,0.0,1.0389610389610389,0.03896103896103896,1.0,0.0
pythagoras,18230,56645,2.3393554687499982,1,18229,14.37,0.0,0.81,0.4191,9.07,0.0,2.105799246349238,2,13013,-80.39,0.0,-55.62,0.0,-50.54,0.0,2.6732666015624993,3,9698,-54.65,0.0,-34.58,0.0,-36.1,0.0,1.0106382978723405,0.010638297872340425,1.0,0.0
reals_not_countable,14574,41977,2.1641601562499977,1,14573,14.47,0.0,-1.17,0.2424,40.6,0.0,2.3470614487568335,2,11429,-67.95,0.0,-43.92,0.0,-44.63,0.0,2.76123046875,3,7241,-45.58,0.0,-28.83,0.0,-30.07,0.0,1.0416666666666667,0.016666666666666666,1.0625,0.0625
sum_of_two_squares,250,548,2.3331298828124982,1,249,2.76,0.0058,0.37,0.7091,0.57,0.57,2.923681640625,2,192,-12.33,0.0,-7.18,0.0,-7.52,0.0,2.4147949218749982,2,138,-6.03,0.0,-4.09,0.0,-4.35,0.0,1.0083333333333333,0.008333333333333333,1.0333333333333334,0.03333333333333333
triangle,13657,37821,2.276220703124998,1,13656,10.9,0.0,-3.13,0.0018,3.16,0.0016,2.915185546875,5,1169,-8.62,0.0,-7.64,0.0,-7.37,0.0,2.8174072265624996,3,6514,-40.73,0.0,-26.11,0.0,-27.19,0.0,1.0208333333333333,0.020833333333333332,1.0,0.0
