alpha,alpha_err,dL1_mean,dL1_min,depth,edges,eps_crit,f2,frac_axioms,group,max_out_degree,mean_belief_e2,mean_in_degree,modularity,n_modules,name,nodes,ntail,out_gini,theorem,xmin
2.283,0.035,6.32,3.15,78,3319,0.2,1.0,0.2396694214876033,default,148,0.9919,2.4936138241923365,0.662,16,CSB,1331,1330,0.5387201027528817,Lambda7,1
2.06,0.019,8.28,6.57,97,33753,0.2,1.0,0.15849916717804857,default,632,0.9945,2.958972560708337,0.724,24,Cayley_Hamilton,11407,2973,0.6158996465411316,Lambda53,2
2.135,0.028,7.79,6.09,353,43721,0.1,1.0,0.25132534851757315,default,989,0.9919,2.8615092610772956,0.812,44,Ceva,15279,1624,0.6028589535614223,App619,4
2.334,0.01,7.9,6.21,427,58407,0.2,0.981,0.2294514906934607,default,2270,0.9941,3.2068851918958985,0.731,36,Desargues,18213,18212,0.6471143116474964,App686,1
2.338,0.011,8.22,5.66,236,42970,0.03,0.9587,0.2157280270210735,default,1827,0.9944,3.1551508921359863,0.703,32,Alt_PI_eq,13619,13618,0.6414303977131703,App2024,1
2.326,0.012,9.52,7.45,196,37304,0.15,1.0,0.18676248780055008,default,1865,0.9943,3.309732942950936,0.692,27,Cardan_Tartaglia,11271,11270,0.6570892101560538,App3361,1
2.247,0.011,8.52,6.55,157,37597,0.2,1.0,0.1938799715347513,default,1237,0.9949,2.9727998734877836,0.758,26,Cauchy_Schwarz_inequality,12647,12646,0.6078675144163457,Lambda96,1
2.237,0.016,7.29,4.33,232,63950,0.2,1.0,0.19457074083979672,default,1725,0.9949,2.8505839350985114,0.728,45,Bertrand,22434,6087,0.6057311841605326,Lambda38,2
2.197,0.032,6.23,4.59,231,68191,0.1,1.0,0.1453894736842105,default,2783,0.9963,2.8712,0.684,40,Euler_Poincare_criterion,23750,1407,0.6151508204895074,Lambda2,6
2.201,0.033,7.38,5.42,161,29208,0.2,1.0,0.16469810072758198,default,629,0.9939,2.7598979495417177,0.745,33,Lagrange,10583,1285,0.5845135411843922,Lambda10,4
2.342,0.011,6.68,4.35,177,39271,0.15,1.0,0.22589341259417986,default,1845,0.9929,2.714522706850073,0.721,40,IVT_cor,14467,14466,0.5831299100679596,Lambda66,1
2.216,0.012,6.72,4.91,258,29940,0.2,1.0,0.2178402832415421,default,1305,0.9922,2.9445318646734853,0.715,32,Law_of_the_Mean,10168,10167,0.598582911955566,Lambda69,1
2.246,0.009,7.83,6.4,465,57666,0.2,1.0,0.1848661347951642,default,922,0.9945,2.822475649747932,0.786,39,FTA,20431,20430,0.586568443216241,Lambda7,1
2.245,0.014,7.0,5.41,340,20408,0.2,1.0,0.22240867432554537,default,868,0.9912,2.634310055505357,0.745,37,Pigeonhole,7747,7746,0.5565086410455063,Lambda12,1
2.208,0.011,7.33,6.15,251,32272,0.3,1.0,0.21021897810218979,default,513,0.9915,2.7713181623014167,0.779,31,Liouville_theorem,11645,11644,0.572487745319784,Lambda82,1
2.258,0.031,7.32,5.5,339,51991,0.3,1.0,0.201662214306916,default,1627,0.9938,3.086435143959632,0.737,39,FTC1,16845,1665,0.6122455276425535,Lambda54,5
2.24,0.026,8.11,5.25,257,36730,0.2,0.9333,0.19911504424778761,default,1416,0.9933,2.8021055843759535,0.754,44,Q_countable,13108,2296,0.587182095076269,LetIn8,3
2.255,0.036,5.81,3.51,219,59216,0.2,1.0,0.16561219034040278,default,3225,0.9946,2.6383888789877026,0.69,41,Euler_exp_totient,22444,1243,0.5800966978439261,Lambda53,6
2.463,0.012,7.81,6.0,154,40551,0.2,1.0,0.1832326179065083,default,3697,0.9967,2.8166284642633883,0.623,32,Quadratic_reciprocity,14397,14396,0.6097748941408434,Lambda3277,1
2.337,0.038,8.13,5.79,147,29517,0.1,0.9467,0.15770941438102298,default,1586,0.9944,2.735081541882876,0.708,37,Zgcd_is_gcd,10792,1237,0.5842212606658831,Lambda2,4
2.251,0.075,5.99,4.73,40,577,0.2,1.0,0.3191489361702128,default,22,0.9853,2.0460992907801416,0.72,10,Strict_Rel_is_Strict_Included,282,281,0.42895509913099056,Lambda7,1
2.15,0.018,6.12,4.64,127,43924,0.15,1.0,0.14257935014427298,default,1283,0.9958,2.755237736795885,0.686,30,Sylow_s_theorem,15942,4028,0.5949180037493852,Lambda540,2
2.222,0.009,6.57,5.43,326,52804,0.2,1.0,0.21904654949744512,default,1842,0.9935,2.9650176876860015,0.742,34,Taylor,17809,17808,0.6027312414361536,Lambda47,1
2.089,0.049,5.87,4.12,160,43909,0.2,1.0,0.1532258064516129,default,1901,0.9954,2.723883374689826,0.676,29,Wilson,16120,490,0.5976810360724049,Lambda638,9
2.235,0.024,7.76,4.93,279,41973,0.3,1.0,0.2042390502381112,default,1995,0.9936,2.8152793614595213,0.76,44,Zis_gcd_bezout,14909,2593,0.5891029344092669,Lambda16,3
2.353,0.013,6.8,4.83,162,31658,0.3,1.0,0.1816626753335614,default,1213,0.9945,2.7076633595620936,0.703,38,birthday_paradox,11692,11691,0.583876993657432,LetIn2,1
2.196,0.023,8.01,6.51,296,47730,0.2,1.0,0.19425033713375014,default,1330,0.9944,2.925707980875322,0.782,36,binomial,16314,2759,0.6080004574996749,Lambda152,3
2.438,0.008,8.36,5.0,294,84724,0.15,0.9633,0.1607093568865581,default,4624,0.9964,2.9231300027601437,0.673,42,Goedel_sIncompleteness1st,28984,28983,0.6221288255584729,Lambda16,1
2.343,0.034,6.86,4.42,179,38380,0.15,1.0,0.15678453631970546,default,2380,0.9952,2.9439288179795966,0.674,35,div3,13037,1585,0.6060607355431207,Lambda12,4
2.161,0.027,7.24,5.02,139,52325,0.3,1.0,0.17223459539717892,default,841,0.9939,2.5897055184360305,0.738,32,card_powerset,20205,1797,0.571739702450267,Lambda161,4
2.075,0.019,6.74,5.17,203,33080,0.2,1.0,0.15785019043588658,default,583,0.9935,2.799830723656369,0.755,32,edivpP,11815,3103,0.59412144912422,Lambda10,2
2.435,0.009,7.49,4.55,223,70380,0.3,1.0,0.13949538053610638,default,3371,0.9972,2.9158553258482827,0.644,59,bertrand_ballot,24137,24136,0.6220205459497959,Lambda226,1
2.168,0.023,6.22,3.22,143,29764,0.15,1.0,0.17611336032388664,default,1164,0.9948,2.619609223728217,0.681,34,divisors_correct,11362,2602,0.5824070140364425,Lambda508,2
2.387,0.114,5.49,4.32,24,321,,0.9333,0.26,default,31,0.9436,2.14,0.598,7,is_hexamy,150,149,0.48284527518172377,Lambda6,1
2.116,0.025,8.96,7.31,323,54766,0.2,1.0,0.23394521644650312,default,1276,0.9933,3.131812203351061,0.814,38,herron_qin,17487,1961,0.6326123083600727,Lambda160,4
2.187,0.017,6.64,5.19,261,47362,0.2,1.0,0.18446782178217822,default,1017,0.9952,2.930816831683168,0.712,24,fun_power_series_conv_IR,16160,4722,0.6074949901349663,Cast2,2
2.426,0.013,5.58,4.11,136,29759,0.3,1.0,0.23954219392278553,default,910,0.991,2.3985653260256306,0.727,35,four_color,12407,12406,0.5380905823462452,Lambda2,1
,,2.19,0.98,12,62,0.07,1.0,0.375,default,6,0.9226,1.55,0.509,8,nat_ind,40,,0.32741935483870965,Lambda6,
2.306,0.012,7.85,5.37,256,36168,0.2,1.0,0.1999844792798386,default,1257,0.9935,2.806767033990377,0.773,36,inclusion_exclusion,12886,12885,0.5933367095448446,Lambda285,1
2.256,0.011,7.49,6.21,383,36921,0.2,1.0,0.24634239754883186,default,667,0.9922,2.828111834546151,0.791,46,isosceles_conga,13055,13054,0.5891384578816109,Lambda8,1
2.0,0.019,8.77,6.78,114,32085,0.2,1.0,0.16423254499199094,default,565,0.9932,3.0231791199472346,0.752,24,mul_adj_mx,10613,2829,0.6180082260236941,Lambda12,2
2.164,0.01,7.67,5.43,488,41977,0.15,0.9905,0.1990531082750103,default,627,0.9913,2.8802662275284754,0.783,41,reals_not_countable,14574,14573,0.5802413807225211,Lambda3,1
2.324,0.012,8.11,5.44,188,37684,0.15,1.0,0.1844726120416478,default,2221,0.9946,2.8432171419948693,0.675,38,pytha_thm3,13254,13253,0.5999395039162563,Lambda50,1
2.276,0.011,7.49,5.64,291,37821,0.3,1.0,0.20839130116423812,default,1037,0.9925,2.769349051768324,0.788,39,triangle,13657,13656,0.5833477678757226,Lambda20,1
2.339,0.01,9.27,6.72,351,56645,0.2,1.0,0.2834339001645639,default,1163,0.994,3.1072408118486012,0.734,35,pythagoras,18230,18229,0.6359640516934123,Lambda170,1
2.333,0.084,3.36,1.17,48,548,0.2,1.0,0.188,default,61,0.9935,2.192,0.57,15,sum_of_two_squares,250,249,0.4856058394160584,Lambda3,1
2.33,0.049,6.33,5.57,112,1567,0.15,1.0,0.35859269282814615,default,49,0.9821,2.1204330175913397,0.769,22,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,739,738,0.46398270140317943,Lambda7,1
2.816,0.008,6.16,4.86,252,184919,0.2,1.0,0.02624879787294224,default,18856,0.9989,3.486998170881183,0.638,45,konigsberg_bridges,53031,53030,0.7011617559780774,LetIn671,1
2.541,0.004,7.29,4.9,767,487776,0.2,1.0,0.2677537414732212,default,25559,0.9936,2.793724978092407,0.678,340,euclid_book,174597,174538,0.6125948293990743,Lambda24643,1
