src,dst,cls,sub,load,capacity
427,3461,machine,VampireProven,0,4707
645,639,machine,SimpleRewrites,3,4704
4248,4196,machine,SimpleRewrites,9,423215
3590,4022,machine,MagmaEgg,0,12216
3895,3892,machine,SimpleRewrites,0,11532
4139,4128,machine,SimpleRewrites,0,47366
47,414,machine,TrivialBruteforce,1,79850
1246,1242,machine,SimpleRewrites,0,14157
3409,3401,machine,SimpleRewrites,34,2979740
3903,3881,machine,SimpleRewrites,0,146072
381,3949,machine,TrivialBruteforce,14,807177
1419,1306,machine,SimpleRewrites,2,965425
1811,1759,machine,SimpleRewrites,2,7022224
1847,1831,machine,SimpleRewrites,1,3510
827,824,machine,SimpleRewrites,0,5178
2414,2397,machine,SimpleRewrites,19,200832
7,1831,machine,TrivialBruteforce,8,3948
1303,2916,machine,MagmaEgg,5,450408
1288,1019,machine,VampireProven,0,3094
313,3479,machine,TrivialBruteforce,21,197451
3486,3480,machine,SimpleRewrites,0,6099
2055,2049,machine,SimpleRewrites,0,5490
794,725,machine,SimpleRewrites,1,7022224
357,340,machine,SimpleRewrites,6,2979740
2986,2904,machine,SimpleRewrites,3,1816144
3431,3451,machine,TrivialBruteforce,0,2979740
2484,1661,machine,VampireProven,2,19261
809,806,machine,SimpleRewrites,1,7022224
1652,1648,machine,SimpleRewrites,0,965425
2323,2311,machine,SimpleRewrites,0,7022224
4081,4110,machine,VampireProven,2,117303
4415,4395,machine,SimpleRewrites,0,6153
1944,2110,machine,VampireProven,201,965425
1431,1425,machine,SimpleRewrites,0,3464
2829,2828,machine,SimpleRewrites,39,7022224
3952,4266,machine,TrivialBruteforce,0,2979740
2223,2204,machine,SimpleRewrites,0,7022224
3903,3902,machine,SimpleRewrites,0,42284
2308,2301,machine,SimpleRewrites,0,7022224
1633,1628,machine,SimpleRewrites,0,3832
1556,1,machine,MagmaEgg,0,7022224
83,1605,machine,TrivialBruteforce,16,7022224
2640,2635,machine,SimpleRewrites,0,7022224
1424,1422,machine,SimpleRewrites,0,7022224
4028,4037,machine,TrivialBruteforce,3,2979740
3972,4306,machine,MagmaEgg,1,5802
3581,3650,machine,TrivialBruteforce,0,2979740
1221,1161,machine,SimpleRewrites,2,7022224
3567,3566,machine,SimpleRewrites,6,126390
2849,4655,machine,VampireProven,0,5073
3877,3861,machine,SimpleRewrites,0,4042
2272,2242,machine,SimpleRewrites,0,7088
3157,3153,machine,SimpleRewrites,1,7022224
3505,3488,machine,SimpleRewrites,0,42284
3309,37,machine,MagmaEgg,4,404096
3224,3214,machine,SimpleRewrites,8,7022224
1957,1920,machine,SimpleRewrites,0,5091
3600,3471,machine,SimpleRewrites,1,5904
2348,571,machine,MagmaEgg,217,450408
118,887,machine,TrivialBruteforce,3,7022224
280,65,machine,VampireProven,0,12000
1353,1,machine,MagmaEgg,0,7022224
1824,1711,machine,SimpleRewrites,0,7022224
3689,3683,machine,SimpleRewrites,0,6261
2325,2316,machine,SimpleRewrites,0,7022224
4075,4066,machine,SimpleRewrites,1,7665
3576,3568,machine,SimpleRewrites,2,2979740
3586,3548,machine,SimpleRewrites,0,6072
3538,3535,machine,SimpleRewrites,4,404096
1007,953,machine,SimpleRewrites,3,7022224
1585,1450,machine,SimpleRewrites,1,4932
2373,2602,machine,EquationSearch,4,7022224
3442,3367,machine,SimpleRewrites,82,2979740
853,429,machine,VampireProven,0,15700
2320,2291,machine,SimpleRewrites,0,7022224
369,4692,machine,TrivialBruteforce,46,64372
963,831,machine,SimpleRewrites,0,4938
1648,26,machine,MagmaEgg,0,965425
4572,4527,machine,SimpleRewrites,3,249486
132,128,machine,SimpleRewrites,1,7022224
3025,2956,machine,SimpleRewrites,2,7022224
267,2896,machine,TrivialBruteforce,35,570121
156,1881,machine,VampireProven,0,965425
4437,4434,machine,SimpleRewrites,0,6540
2281,1458,machine,MagmaEgg,2,18634
3296,3281,machine,SimpleRewrites,0,37050
1450,1425,machine,SimpleRewrites,0,3714
4619,4597,machine,SimpleRewrites,0,4028
342,3430,machine,TrivialBruteforce,9,44616
1259,9,machine,MagmaEgg,0,100800
331,4481,machine,TrivialBruteforce,1,5754
3175,3138,machine,SimpleRewrites,0,6388
16,1627,machine,TrivialBruteforce,232,7022224
3745,3730,machine,SimpleRewrites,0,807177
117,98,machine,SimpleRewrites,0,2996
1848,1847,machine,SimpleRewrites,0,5049
164,154,machine,SimpleRewrites,1,965425
2437,2417,machine,SimpleRewrites,2,7022224
1705,889,machine,VampireProven,40,7022224
4161,3416,machine,TrivialBruteforce,3,90114
413,410,machine,SimpleRewrites,0,3312
1707,1695,machine,SimpleRewrites,38,7022224
2624,2623,machine,TrivialBruteforce,0,7022224
3316,3314,machine,SimpleRewrites,0,6912
4518,4400,machine,SimpleRewrites,4,20420
2302,2237,machine,SimpleRewrites,0,3184
2724,4097,machine,MagmaEgg,1,28823
1583,1573,machine,SimpleRewrites,0,7022224
2285,2248,machine,SimpleRewrites,0,13488
379,3948,machine,TrivialBruteforce,9,807177
1263,1228,machine,SimpleRewrites,1,4752
2890,2676,machine,MagmaEgg,7,43030
1257,1237,machine,SimpleRewrites,2,5424
333,3350,machine,TrivialBruteforce,14,2979740
1140,1114,machine,SimpleRewrites,9,965425
3367,3437,machine,TrivialBruteforce,80,2979740
2687,2651,machine,SimpleRewrites,1,4965
24,3070,machine,TrivialBruteforce,16,17690
2085,2083,machine,SimpleRewrites,28,570121
3573,3558,machine,SimpleRewrites,0,807177
4396,4394,machine,SimpleRewrites,0,10280
2930,2926,machine,SimpleRewrites,0,1902338
449,431,machine,VampireProven,0,17810
4188,4265,machine,TrivialBruteforce,0,2979740
3809,3296,machine,MagmaEgg,2,42570
3366,3383,machine,TrivialBruteforce,0,490884
851,831,machine,SimpleRewrites,0,5169
1236,1232,machine,SimpleRewrites,2,200832
2915,2009,machine,VampireProven,131,7022224
1479,1477,machine,SimpleRewrites,0,4500
3516,3515,machine,SimpleRewrites,0,404096
4494,4502,machine,TrivialBruteforce,3,66062
4325,4337,machine,TrivialBruteforce,14,223853
660,859,machine,VampireProven,5,10308
3841,3772,machine,SimpleRewrites,2,807177
4626,4602,machine,SimpleRewrites,0,13888
4058,4016,machine,SimpleRewrites,3,2979740
426,410,machine,SimpleRewrites,0,3200
4003,3999,machine,SimpleRewrites,1,2979740
3566,4215,machine,MagmaEgg,0,129690
194,1947,machine,TrivialBruteforce,0,7022224
4430,4417,machine,SimpleRewrites,0,336516
2291,45,machine,TrivialBruteforce,0,2327776
3458,3455,machine,SimpleRewrites,0,4888
1892,1890,machine,SimpleRewrites,1,7022224
2676,2668,machine,SimpleRewrites,1,4965
2987,2982,machine,SimpleRewrites,1,7022224
2214,29,machine,EquationSearch,143,7022224
2322,2314,machine,SimpleRewrites,0,7022224
4533,4577,machine,TrivialBruteforce,93,825612
1302,1274,machine,SimpleRewrites,0,965425
357,353,machine,SimpleRewrites,14,2979740
4157,4064,machine,SimpleRewrites,0,4752
3679,3676,machine,SimpleRewrites,0,6111
3276,3274,machine,SimpleRewrites,0,117120
1273,1271,machine,SimpleRewrites,0,1902338
959,878,machine,SimpleRewrites,0,4935
743,1602,machine,VampireProven,10,570121
139,1398,machine,TrivialBruteforce,13,7022224
4280,4325,machine,TrivialBruteforce,25,223853
1928,507,machine,MagmaEgg,0,169232
189,2013,machine,TrivialBruteforce,14,965425
992,991,machine,SimpleRewrites,33,7022224
1676,1664,machine,SimpleRewrites,2,965425
4433,4431,machine,SimpleRewrites,0,10280
434,430,machine,SimpleRewrites,0,1902338
39,3661,machine,TrivialBruteforce,8,6318
1878,1866,machine,SimpleRewrites,7,18650
2396,2383,machine,SimpleRewrites,0,7022224
1088,1,machine,MagmaEgg,0,7022224
4574,4280,machine,TrivialBruteforce,2,220124
850,843,machine,SimpleRewrites,0,75744
4575,4508,machine,SimpleRewrites,0,87030
4669,4660,machine,SimpleRewrites,2,20000
155,150,machine,SimpleRewrites,0,3746
3405,3395,machine,TrivialBruteforce,41,2979740
3063,3060,machine,SimpleRewrites,0,34120
1135,1133,machine,SimpleRewrites,2,7022224
3390,3452,machine,TrivialBruteforce,4,2979740
4098,4091,machine,SimpleRewrites,2,99705
1144,1135,machine,SimpleRewrites,7,7022224
2387,2385,machine,SimpleRewrites,13,7022224
3290,3303,machine,EquationSearch,0,168960
3064,3049,machine,SimpleRewrites,0,3666
1138,1,machine,GeneratedOther,40,7022224
452,2084,machine,VampireProven,14,543749
