pair,source,delta_log_interior_per_constant,delta_mean_theorem_belief
pair_5daf2594,olympiads_ref,0.024827520127704793,0.015302579365079283
pair_5df84962,amc_aime,0.0888588807713447,0.02943948412698416
pair_5ee839bd,cn_contest,0.2581178010334461,-0.0004960317460317443
pair_5eec702b,math_test,-0.24275544031637403,-0.021329365079365115
pair_5eff76b6,amc_aime,0.31234304412139896,-0.010788690476190355
pair_5feca8f4,olympiads,-0.2392725779463946,-0.01636904761904756
pair_60565fc7,number_theory,0.0,0.0
pair_606263d6,math_train,0.07323094700835736,0.005456349206349187
pair_61c6d911,math_train,-0.6313275632060801,0.007936507936507908
pair_62b6e279,math_test,2.1212268115754966,-0.017633928571428648
pair_6357c298,amc_aime,0.10388675273112855,-0.013318452380952306
pair_6369b437,math_test,0.05020269031958557,0.012475198412698396
pair_659419e1,olympiads,0.3945029270993806,-0.005952380952380931
pair_665c7b43,secondary_math,0.032074569173106506,0.04712301587301582
pair_66b87803,cn_k12,1.3697266982151826,0.01736111111111105
pair_677749e1,math_train,-0.011690342585288392,0.0004960317460318553
pair_6801c12d,olympiads_ref,0.6233219978281698,-0.010937499999999822
pair_68e74a3f,cn_k12,0.14287763089141023,0.00520833333333337
pair_6920c5e4,secondary_math,0.88821219398127,-0.013318452380952306
pair_69286778,olympiads,0.49371390323244296,0.008283730158730074
pair_6ba505c0,cn_k12,0.16432987752621275,-0.02331349206349198
pair_6bcfd203,math_train,0.7979360565025253,0.013392857142857206
pair_6d3a0d6c,math_test,0.09418721505970107,0.06398809523809534
pair_6d779213,olympiads,0.6930214090865464,-0.003100198412698374
pair_6e98ad25,aops_forum,-0.07296695237327136,0.0061259920634919585
pair_7007ed35,math_train,0.01568415357175753,-0.02968750000000009
pair_7187bdc5,amc_aime,0.16080981952781884,0.02085813492063504
pair_71cf0c00,olympiads,2.467358674958487,0.030877976190476275
pair_73bd6122,cn_k12,0.536242436750114,-0.00595238095238082
pair_7415487b,cn_k12,0.8672602986021736,0.01140873015873023
pair_7580a01f,olympiads,0.39010327212076,0.002405753968253821
pair_759606e4,math_train,0.0,0.0
pair_76494dbd,olympiads,0.0,0.0
pair_77658e38,cn_k12,-0.2011097410310731,-0.03425099206349225
pair_78234522,olympiads_ref,0.2552232807863343,-0.002777777777777768
pair_788625c0,olympiads,-0.24755173376169914,-0.006498015873015683
pair_7a30a024,olympiads,-0.023028447361995004,0.009920634920634885
pair_7a9abe33,amc_aime,0.37333068958361904,-0.010168650793650924
pair_7b0b98d6,cn_k12,0.36047273808488955,-0.01636904761904756
pair_7b176d5c,math_test,0.758342161088187,-0.021329365079365115
pair_7cb6be3d,olympiads,0.9136167499401814,-0.0070932539682539986
pair_7f6de6ca,number_theory,-0.5395102273635864,0.03474702380952377
pair_7fda4fb2,olympiads,-1.0095793093817815,0.004960317460317443
pair_807fa532,olympiads,-0.5287861280170025,-0.01041666666666663
pair_80de1ec1,cn_k12,-0.2707049184058238,0.00267857142857153
pair_80fc276c,olympiads,0.557509292130158,-0.0014880952380952328
pair_81db3cca,cn_k12,1.0609957828272962,0.015798611111111027
pair_81dfa8e6,aops_forum,0.3778085781231256,0.011904761904761862
pair_82f26bd9,amc_aime,-0.29063551854067643,-0.025669642857143016
pair_842aefbb,number_theory,0.36715198774688823,0.02943948412698405
pair_84334dbe,olympiads,-0.09795124110827097,-0.0009176587301588102
pair_87179bc6,math_test,0.04183851569536011,-0.003968253968253732
pair_877062a7,math_train,0.3852454411830765,0.016641865079365048
pair_8793031c,olympiads,-0.0962376260857207,0.025793650793650702
pair_87ba057a,olympiads_ref,0.05662261069650905,-0.007936507936507908
pair_87d2dbfe,math_test,0.21346755191390107,0.011904761904761973
pair_88838551,amc_aime,0.17243672258936274,-0.0044642857142858094
pair_8956508b,math_test,-0.6084559229371075,0.01386408730158728
pair_896a11b6,olympiads_ref,-1.2127817684925728,-0.0005208333333334147
pair_8a45bd25,cn_contest,0.09183704581142102,-0.003968253968253954
pair_8a465ac4,olympiads,0.05081240955019957,0.010912698412698485
pair_8d6d2aa2,olympiads_ref,0.4627271263451762,-0.004960317460317554
pair_8e82b67b,amc_aime,0.22032543148079495,-0.003323412698412742
pair_915d7da0,math_train,0.1490240953406157,0.0018601190476189577
pair_919a0d3c,number_theory,0.08021175509173983,-0.0004960317460318553
pair_92daf189,inequalities,0.2364488665319435,-0.014037698412698418
pair_95cc16d3,math_train,0.23959176065483206,0.04166666666666663
pair_95ff000b,olympiads,0.1073843397389099,0.01202876984126977
pair_965e479d,olympiads_ref,0.7649537386274216,0.007440476190476164
pair_98273f65,olympiads,1.4823216438592124,0.007936507936507908
pair_99ea5bb6,math_train,0.12090439557230216,0.001984126984126977
pair_99eea8ae,math_test,0.17946132253733324,0.023164682539682513
pair_9a76e23c,cn_contest,0.11922489150007402,-0.005332341269841168
pair_9a84ead7,math_test,-0.34472791171095096,-0.003918650793650946
pair_9af28884,math_train,-0.5633477323424813,-0.015376984126984183
pair_9b461a0f,math_test,0.29104168279615644,-0.014384920634920806
pair_9d3572bb,amc_aime,-0.08700925021470321,-0.01822916666666663
pair_9d50620a,math_test,0.4158171350829046,-0.0044642857142858094
pair_9effdc53,cn_k12,0.038884693478404876,0.0024801587301586103
pair_9f0d7c77,amc_aime,0.3319349211984739,-0.003968253968253954
pair_a0095248,math_test,0.3969477204739204,0.0029761904761905766
pair_a00e8681,olympiads,0.44248459761460796,0.018353174603174538
pair_a10926bc,math_test,0.20321743091589223,0.004464285714285587
pair_a302a9d8,math_train,-0.28751399110001113,-0.045634920634920584
pair_a3b6f8e9,aops_forum,0.08788744622089488,-0.024479166666666607
pair_a41e71a8,cn_k12,0.6243740512745388,-0.009920634920635107
pair_a57e4b7b,olympiads,0.6375722653319486,-0.007936507936507908
pair_aa25e669,olympiads,1.1109569871205882,-0.009300595238095233
pair_ab0f093e,amc_aime,-0.5921141420455163,0.01986607142857133
pair_acbd062f,math_train,-0.38214044465690084,-0.03802083333333339
pair_ad39313c,aops_forum,2.2431619742628794,-0.013516865079365115
pair_ae900f0c,olympiads_ref,-1.2685262204908028,0.008432539682539764
pair_ae9ff2a1,olympiads_ref,-0.39240986601720795,0.011359126984127
pair_af58b0a0,cn_k12,0.13922945531120828,0.014533730158730052
pair_b0ad8896,math_train,-0.26088628256809726,0.006944444444444531
pair_b1a1594e,cn_contest,0.37932698324774766,-0.01140873015873023
pair_b21abbab,olympiads,1.077087764692488,-0.017137896825396792
pair_b39511ce,olympiads,-0.44489818240245094,-0.01884920634920617
pair_b40cb2db,math_test,0.5277071194815939,0.008854166666666607
pair_b4b63346,olympiads,-0.1066745308543297,0.06398809523809512
pair_b4b897fd,amc_aime,0.025181074653672572,0.018749999999999822
pair_b4d61cac,olympiads,0.31385289115682535,-0.03405257936507944
pair_b5dab1a1,amc_aime,-0.24343541705016164,0.005456349206349298
pair_b7bb3d8e,math_test,0.018229996673710187,0.02447916666666683
pair_b94f69f4,math_train,0.342019845354957,-0.011160714285714302
pair_b9bbcc78,number_theory,0.18244972859962053,-0.0024801587301587213
pair_ba39d0a3,math_train,-0.33969564510588135,0.0024801587301586103
pair_babc83eb,olympiads,0.24505229765224612,0.005208333333333259
pair_bb5a8572,olympiads,0.4332651004055386,0.008432539682539653
pair_bc3e9c75,cn_k12,0.39011842143354425,-0.013541666666666785
pair_bd329034,olympiads,0.0,0.0
pair_bde52c9a,math_train,-0.9633962776412767,0.00337301587301575
pair_bf349feb,math_train,0.8735375659005402,0.02187500000000009
pair_bf40e969,amc_aime,0.5089092487843114,-0.00694444444444442
pair_bf419b23,math_train,-0.08961215868968717,-0.0025545634920633997
pair_bf476baa,inequalities,0.022673089857542354,0.0064484126984126755
pair_bfdd51b8,olympiads_ref,0.9932380420240959,-0.007440476190476275
pair_c021c917,number_theory,0.01870007743298444,-0.0044642857142858094
pair_c0d3928e,cn_k12,1.2757615424428101,-0.022073412698412787
pair_c287c8cc,olympiads,-0.14930782245985694,0.0024801587301587213
pair_c3b332ce,aops_forum,0.22097371122823378,-0.004464285714285698
pair_c4fe0db7,olympiads,1.5636190499609612,0.0077876984126983295
pair_c5fb8da2,math_train,0.2587275054416447,0.01991567460317445
pair_c7a11f6b,math_train,0.22545434113290413,0.013963293650793518
pair_c84a0169,olympiads,0.28971047071317363,0.0051091269841271325
pair_c8cf6c63,olympiads_ref,-1.0945981646539629,-0.01718749999999991
pair_c9acf82e,inequalities,0.3069788171816521,-0.010143849206349143
pair_cb3b726a,math_test,0.009737175277858244,-0.016369047619047783
pair_cc4ae138,olympiads,-1.1371715164694436,0.011954365079365092
pair_cc98e98a,math_train,1.161000199822278,0.016369047619047672
pair_ce95c511,aops_forum,-0.3705665377071959,-0.05109126984126988
pair_cffa85ea,olympiads,0.21473694739418253,-0.01812996031746017
pair_d020f221,olympiads,-0.08708772063787537,0.036210317460317554
pair_d0c1af2e,amc_aime,-0.12236827760153414,-0.0037202380952381375
pair_d2343074,aops_forum,-0.9120129592648848,-0.006349206349206549
pair_d339e847,olympiads,0.587846065452602,0.02430555555555547
pair_d43fae54,olympiads,0.1489727038735989,-0.01984126984126977
pair_d71a4f84,math_train,0.2811295196556762,-0.03224206349206338
pair_d72cfd93,olympiads,-0.05558727858983605,0.01656746031746037
pair_d746cf8d,aops_forum,-0.6693359414578033,-0.015873015873015928
pair_d869cc1a,math_test,-0.05256858912281918,0.01835317460317465
pair_d92632b4,aops_forum,0.18940052849111152,-0.02777777777777779
pair_d96197fd,inequalities,0.322532192047978,0.011309523809523658
pair_d9e524cd,olympiads,0.0,0.0
pair_db1d04db,aops_forum,0.2204419860060573,-0.03050595238095244
pair_db881e0a,number_theory,0.04495138786226627,0.004464285714285698
pair_dd457978,secondary_math,-0.2693266001286508,-0.003968253968253954
pair_de1e8e19,olympiads,0.4187551047804837,-0.0034474206349206504
pair_de483a80,cn_k12,-0.3953049264942585,-0.007440476190476275
pair_de5a08c0,olympiads,-0.6275107734118962,-0.05897817460317467
pair_debcd118,math_test,1.430060843252634,0.015376984126984183
pair_df433d2d,amc_aime,-0.056582648317630914,-0.0004960317460317443
pair_e21630bd,olympiads,0.9689793989029388,-0.0024801587301586103
pair_e23940b8,amc_aime,-0.05971979597924744,-0.02777777777777779
pair_e24e2569,olympiads,0.06988289826549474,0.0005456349206348632
pair_e289753a,cn_contest,-0.5710393131683312,0.010813492063492247
pair_e38bc8a1,olympiads,0.3089055403081693,0.002827380952380887
pair_e39b5195,olympiads,-1.4258708703626897,-0.052579365079365115
pair_e45dd21b,amc_aime,0.07061756721395342,-0.005456349206349187
pair_e4b3d3b7,math_test,-0.7097041325791731,0.042038690476190355
pair_e5328112,math_train,0.07192246607980109,-0.02363591269841281
pair_e5e14291,olympiads_ref,-0.15146722275201427,0.029365079365079372
pair_e653c233,olympiads,-1.1504297784586945,0.018849206349206504
pair_e662ae99,number_theory,0.7105811946082778,-0.0009920634920635996
pair_e6f73d93,math_test,0.2122317482292786,0.004241071428571441
pair_e7575bee,olympiads,0.397241377550552,-0.07343750000000016
pair_e83bd10d,math_test,0.3228214073570345,0.0
pair_e8903db6,olympiads_ref,-0.05174126771373656,0.01041666666666663
pair_e8d98c67,olympiads,0.6944106046067172,-0.004960317460317443
pair_e970e4c4,olympiads,0.11190670730219575,-0.0174603174603174
pair_eabc1c29,math_train,0.2169233726888327,0.038690476190476275
pair_eb63c4a0,math_test,-0.2907343881097827,-0.022817460317460347
pair_ebc61bc9,olympiads,-1.0088500343428812,-0.024801587301587102
pair_ec20e9b4,math_train,1.5987746140332435,0.04315476190476186
pair_ec7f806f,math_train,-0.5236336529268194,-0.023040674603174605
pair_ec8eb018,amc_aime,1.0053646360818516,0.002083333333333437
pair_edc1fe33,math_test,-0.09122848744384894,-0.007440476190476275
pair_ee1554cd,unknown,-1.2510985981117126,-0.020337301587301404
pair_ee294964,aops_forum,0.11134511912891695,0.022321428571428492
pair_ee52321c,math_train,1.3339952131123591,0.012400793650793718
pair_eeb3bb08,olympiads,0.9326406360262959,0.010912698412698374
pair_eed4f922,aops_forum,0.3225265497884359,-0.0009920634920635996
pair_f0d3d3dd,olympiads,-0.12891173550209253,0.008234126984126844
pair_f1a813ba,olympiads,-1.0820653024691425,-0.009871031746031544
pair_f2ee8d3a,olympiads,0.5890412128022038,0.0064484126984125645
pair_f39ff433,secondary_math,-1.3995323423069128,-0.027281746031746046
pair_f46b4569,olympiads,0.702917568781932,-0.012896825396825462
pair_f4b1f0c5,secondary_math,-0.49235702981651525,0.006919642857142638
pair_f508c4f1,cn_k12,0.5511944358295513,0.00352182539682544
pair_f54301fd,cn_k12,0.38955860215675675,0.012400793650793607
pair_f549052a,olympiads,0.6192305272451967,-0.007440476190476275
pair_f5a9005d,cn_k12,0.41539983141156356,-0.0074652777777779455
pair_f5d4e5bf,cn_k12,-0.3112276534836108,-0.028124999999999956
pair_f5e39d77,olympiads,2.582816293497347,-0.062003968253968256
pair_f700873e,cn_k12,0.5217261014662539,0.03670634920634919
pair_f7ca2998,olympiads,0.42551530717071023,0.0067708333333332815
pair_f8026f2d,amc_aime,-0.0398251458919679,0.007886904761904678
pair_f827a253,amc_aime,0.18144164415559788,0.008432539682539653
pair_f85a44af,cn_k12,0.17112906271098335,-0.0023809523809523725
pair_f9baa4be,math_train,0.028375635123317356,-0.007440476190476275
pair_fc9929da,math_test,0.40352665341829985,0.0225198412698413
pair_fccad9e3,olympiads,-0.14352054680223877,0.022321428571428603
pair_fd852ae5,cn_contest,0.11591585678692738,-0.004960317460317554
pair_fe3e5ba4,olympiads_ref,1.1265367734839624,0.013417658730158877
