pair,source,delta_log_interior_per_constant,delta_mean_theorem_belief
pair_00b23e63,cn_contest,-0.36203301569605423,0.016294642857142883
pair_01eb3f84,olympiads,0.2615893396796133,-0.0002480158730158166
pair_064daf4b,olympiads,0.0764611660944773,0.06279761904761882
pair_06e244fd,olympiads,-0.008313787464831787,-0.0014880952380952328
pair_070c0d6f,amc_aime,-0.8854843386448071,-0.02876984126984128
pair_0a7bd2c7,secondary_math,0.018646820346034473,0.0024801587301588324
pair_0a891d0e,cn_contest,0.17390635986867023,0.0
pair_0a983018,olympiads_ref,0.04368993168826124,-0.003472222222221988
pair_0b123512,math_train,-1.4902418546628493,-0.010416666666666852
pair_0bc9ff8b,math_test,0.5144288255024498,-0.004141865079365092
pair_0c9ecd6b,math_train,0.5407150646019974,0.002083333333333326
pair_0f3deadd,math_train,0.0,0.0
pair_0f421760,amc_aime,-1.4819309913791179,0.03618551587301588
pair_0f905113,math_test,0.2719944625364604,0.012499999999999845
pair_11362c17,secondary_math,-0.00316712092162784,0.0014880952380953438
pair_121126b4,math_train,-0.086069856845525,0.012872023809523903
pair_136afae1,olympiads,-0.1402137933174123,0.018576388888888906
pair_13d805d4,amc_aime,0.34975371127430455,-0.00942460317460303
pair_13dbafa5,math_train,-0.06504204070205034,-0.006249999999999978
pair_1435e660,olympiads,0.40860012991471545,-0.022098214285714235
pair_149000e5,aops_forum,0.19991508011945766,-0.005629960317460436
pair_149fe16f,olympiads_ref,-0.2982894886703499,-0.02430555555555569
pair_152731e7,olympiads,0.2695619087842452,0.003472222222222321
pair_1565703f,cn_k12,-0.26414919858375924,0.01388888888888884
pair_171e8749,amc_aime,1.4041958868311308,0.0006200396825396526
pair_17275427,amc_aime,-0.026388368324898034,-0.016865079365079305
pair_17a4d7d8,olympiads,0.8058691866843235,-0.027281746031746268
pair_19517b6c,olympiads,-0.7521892327506341,0.01736111111111105
pair_19f291ba,math_test,0.09650749826689632,0.009424603174603252
pair_1d99af92,cn_k12,0.9907100003352487,0.01041666666666663
pair_1e273c45,math_test,0.7951543725523057,-0.012971230158730251
pair_1e4638c2,olympiads,0.4696373321041443,0.00793650793650813
pair_1e6ca847,olympiads,0.033808479814587816,-0.01835317460317465
pair_1eac5349,olympiads_ref,0.4861964804574001,0.010937500000000044
pair_2000cc20,cn_k12,0.10194034713716182,-0.006225198412698418
pair_204207d6,olympiads_ref,-0.1598894173903433,-0.018526785714285676
pair_20f6251a,olympiads,0.03302746800444023,0.017857142857143016
pair_22599b6f,olympiads_ref,0.41199037212918005,-0.004464285714285698
pair_2347fae1,olympiads,0.5353284845547561,-0.006498015873015683
pair_2590c3a7,olympiads,-0.09307029641688404,-0.021354166666666674
pair_26771bf6,olympiads_ref,-0.09779655051508858,0.02001488095238102
pair_271fa579,olympiads,0.2013675969515362,0.0024801587301586103
pair_2748f3f1,olympiads,0.3519226029961789,-0.014533730158730274
pair_29059eae,math_train,0.46036133175350075,-0.006944444444444531
pair_2a4dc8cc,math_test,-0.19778259549956265,0.015079365079365026
pair_2a66f969,olympiads,-0.06722385011409142,0.015798611111111027
pair_2b09aabd,olympiads,-0.1952829209960855,-0.019444444444444486
pair_2d283418,olympiads,0.07772579629674317,0.030009920634920584
pair_2fba10ea,olympiads_ref,-0.1932727284561469,0.03241567460317463
pair_2fde2018,math_test,0.3713332089967491,-0.0004960317460317443
pair_301c1ff9,aops_forum,0.12512843369392376,0.001984126984127088
pair_326a8dc3,cn_contest,0.8211101757404421,-0.036706349206349076
pair_32d5762e,aops_forum,-0.11719329403922896,0.0064484126984126755
pair_32e87abf,cn_k12,-0.0034912173247400144,0.01741071428571428
pair_33135e91,olympiads,0.019070744529118024,0.017857142857142794
pair_33b83cd5,cn_k12,0.05153366477960699,0.02331349206349209
pair_34b2dbc3,math_train,-1.2742032997332373,-0.005456349206349187
pair_34e33ffa,secondary_math,0.7777586805940278,-0.003472222222222099
pair_358e95d5,number_theory,-0.44957300806782535,-0.008432539682539653
pair_3757881d,olympiads,-0.1473550143334784,-0.015376984126984183
pair_37c40664,math_train,0.028647236546339296,-0.014880952380952439
pair_37d880cd,number_theory,0.3261108149247585,-0.019568452380952284
pair_3b1172ec,cn_k12,-0.4478188367158166,0.0004960317460316332
pair_3b470502,math_train,-0.002793624257233294,-0.04414682539682546
pair_3cca9874,math_train,1.9056397065427737,0.011904761904761973
pair_3da844f5,inequalities,0.34998957570534334,0.016369047619047672
pair_3db79af4,cn_contest,-0.00025427645152069036,-0.009796626984126977
pair_3e5837da,amc_aime,1.0604074189162565,0.005009920634920562
pair_3e7604ad,aops_forum,0.03256306391157641,-0.015376984126984183
pair_40400f26,math_test,-1.2234149616118364,-0.017708333333333437
pair_412ad836,number_theory,0.0,0.0
pair_43cbe160,math_test,0.20226078741369427,-0.0024801587301587213
pair_44418174,math_train,0.05453257775876294,0.0024801587301587213
pair_4453d7a8,olympiads,-0.28112578976651476,-0.010416666666666519
pair_452bb14f,olympiads_ref,-0.7075334125075544,0.007936507936507908
pair_45b25f4e,olympiads_ref,-0.09369651105956091,0.024528769841269615
pair_47d24c12,olympiads_ref,0.825193192276553,0.024082341269841212
pair_4860e4db,olympiads,0.48397096079823315,0.023809523809523947
pair_48881c66,amc_aime,0.21264847182844507,-0.01212797619047612
pair_49366beb,cn_contest,-0.182133499023176,0.009424603174603141
pair_496aea54,number_theory,0.0,0.0
pair_496f71fb,olympiads_ref,0.0,0.0
pair_496fbd44,secondary_math,0.36603946744697613,0.014608134920635063
pair_49737f41,math_test,0.6463806591432436,-0.013417658730158766
pair_49f9b472,math_train,0.06555630682377471,0.006001984126983939
pair_4a23a011,number_theory,-0.033618689273996916,-0.019171626984127
pair_4c39d86a,cn_contest,-0.10668737198436005,-0.007936507936507908
pair_4c7ab903,cn_k12,0.5074726132525693,0.004464285714285587
pair_4cffc8e6,amc_aime,1.1890935405197898,-0.0064484126984127865
pair_4d25cb85,olympiads,0.43583614360254624,0.06294642857142863
pair_4d494975,amc_aime,0.8787597185227436,-0.012400793650793607
pair_4d68f3d1,math_train,-0.4051171278673041,0.018477182539682446
pair_4eec1381,amc_aime,-1.0804559605556088,0.018601190476190355
pair_4fd720f4,olympiads_ref,1.1016075018104776,0.0024801587301588324
pair_512e1ab2,olympiads,0.6477219530952885,-0.013070436507936378
pair_517e0184,olympiads,0.5316588644816244,-0.01984126984126977
pair_535c413d,math_test,0.2560117563705607,0.021106150793650746
pair_54aff7bc,math_test,0.2567933111052215,0.0013144841269840946
pair_564fee0e,cn_k12,-0.2808293779897404,0.020213293650793607
pair_567a7178,olympiads,0.5151097920484001,-0.00595238095238082
pair_5688be7b,olympiads_ref,0.11797238002423259,-0.0009424603174603696
pair_57c4dba0,aops_forum,-0.07466821023481497,-0.004960317460317443
pair_587b1256,olympiads,0.3463605885116509,-0.008928571428571397
pair_58e22ef3,math_train,0.4548829461060364,0.0064484126984126755
pair_59111b24,math_test,0.9171505260990473,0.015922619047619158
pair_5a6fca10,math_train,0.4604670412081999,0.013144841269841279
pair_5cf7a965,math_test,0.04085851868182211,0.008358134920634863
pair_5d026d45,amc_aime,-0.40053715070010426,-0.04846230158730169
